date,UK_CPI_lag1,UK_CPI_lag3,UK_CPI_lag6,UK_CPI_lag12,UK_POLICY_RATE_lag1,UK_POLICY_RATE_lag3,UK_POLICY_RATE_lag6,UK_POLICY_RATE_lag12,UK_UNEMPLOYMENT_lag1,UK_UNEMPLOYMENT_lag3,UK_UNEMPLOYMENT_lag6,UK_UNEMPLOYMENT_lag12,UK_GDP_lag1,UK_GDP_lag3,UK_GDP_lag6,UK_GDP_lag12,UK_M2_lag1,UK_M2_lag3,UK_M2_lag6,UK_M2_lag12
2001-01-01,,,,,,,,,,,,,,,,,,,,
2001-02-01,,,,,,,,,,,,,2.782729,,,,,,,
2001-03-01,0.2717392976499886,,,,-0.07610000000000028,,,,-0.10000000000000053,,,,2.67683,,,,-0.26019400000000026,,,
2001-04-01,0.2710028758865158,,,,-0.4429999999999996,,,,-0.09999999999999964,,,,2.571438,2.782729,,,-1.0662009999999995,,,
2001-05-01,0.6743113884890101,0.2717392976499886,,,-0.08579999999999988,-0.07610000000000028,,,-0.09999999999999964,-0.10000000000000053,,,2.466548,2.67683,,,0.03884000000000043,-0.26019400000000026,,
2001-06-01,0.6697948684127718,0.2710028758865158,,,0.2043999999999997,-0.4429999999999996,,,0.09999999999999964,-0.09999999999999964,,,2.419666,2.571438,,,-1.1767909999999997,-1.0662009999999995,,
2001-07-01,0.13342230131366623,0.6743113884890101,,,-0.7406999999999995,-0.08579999999999988,,,0.0,-0.09999999999999964,,,2.372974,2.466548,2.782729,,-1.3355190000000015,0.03884000000000043,,
2001-08-01,-0.6688988150796652,0.6697948684127718,0.2717392976499886,,0.5146999999999995,0.2043999999999997,-0.07610000000000028,,0.09999999999999964,0.09999999999999964,-0.10000000000000053,,2.32647,2.419666,2.67683,,0.5813520000000008,-1.1767909999999997,-0.26019400000000026,
2001-09-01,0.4018759594917655,0.13342230131366623,0.2710028758865158,,-0.4897,-0.7406999999999995,-0.4429999999999996,,0.0,0.0,-0.09999999999999964,,2.215978,2.372974,2.571438,,0.8327170000000006,-1.3355190000000015,-1.0662009999999995,
2001-10-01,0.26702285558788924,-0.6688988150796652,0.6743113884890101,,0.04800000000000004,0.5146999999999995,-0.08579999999999988,,0.0,0.09999999999999964,-0.09999999999999964,,2.105922,2.32647,2.466548,,0.38984099999999877,0.5813520000000008,0.03884000000000043,
2001-11-01,-0.13342230131366103,0.4018759594917655,0.6697948684127718,,-0.2553000000000001,-0.4897,0.2043999999999997,,0.0,0.0,0.09999999999999964,,1.996298,2.215978,2.419666,,0.27543300000000137,0.8327170000000006,-1.1767909999999997,
2001-12-01,0.0,0.26702285558788924,0.13342230131366623,,-1.0211999999999999,0.04800000000000004,-0.7406999999999995,,0.10000000000000053,0.0,0.0,,1.817414,2.105922,2.372974,,-0.1686740000000011,0.38984099999999877,-1.3355190000000015,
2002-01-01,0.13342230131366623,-0.13342230131366103,-0.6688988150796652,,1.0080000000000005,-0.2553000000000001,0.5146999999999995,,0.0,0.0,0.09999999999999964,,1.639515,1.996298,2.32647,2.782729,-0.6859850000000005,0.27543300000000137,0.5813520000000008,
2002-02-01,-0.26702285558789207,0.0,0.4018759594917655,0.2717392976499886,-0.8156000000000003,-1.0211999999999999,-0.4897,-0.07610000000000028,-0.10000000000000053,0.10000000000000053,0.0,-0.10000000000000053,1.462594,1.817414,2.215978,2.67683,-2.0196499999999995,-0.1686740000000011,0.8327170000000006,-0.26019400000000026
2002-03-01,0.26702285558788924,0.13342230131366623,0.26702285558788924,0.2710028758865158,0.2889000000000004,1.0080000000000005,0.04800000000000004,-0.4429999999999996,0.10000000000000053,0.0,0.0,-0.09999999999999964,1.501869,1.639515,2.105922,2.571438,-0.8439069999999997,-0.6859850000000005,0.38984099999999877,-1.0662009999999995
