country,break_name,break_date,y_form,variable,coef_pre,se_pre,coef_post,se_post,delta,se_delta,z_stat,p_value,n_pre,n_post
USA,GFC_2008,2008-09,yoy_pct,const,7.154094961357108,1.535651829732577,0.6276681071477721,0.4766869650144437,-6.526426854209336,1.6079356345251177,-4.058885638253069,4.930745248299395e-05,80,206
USA,GFC_2008,2008-09,yoy_pct,POLICY_RATE,-0.8407535911446619,0.9045521596828687,1.9128672852408326,2.0141148543832905,2.7536208763854946,2.207911514584397,1.2471608840283703,0.21233851230856926,80,206
USA,GFC_2008,2008-09,yoy_pct,UNEMPLOYMENT,1.9135575735430232,0.7202831580375075,0.3110367813543909,0.14267410181063164,-1.6025207921886324,0.7342776907137759,-2.18244515999234,0.029076694454570395,80,206
USA,GFC_2008,2008-09,yoy_pct,GDP,-0.20463553292716713,0.18300632451509596,0.42012322047945033,0.07830430731052164,0.6247587534066175,0.19905496566502737,3.13862430570042,0.0016974292282099235,80,206
USA,GFC_2008,2008-09,yoy_pct,M2,-0.555439914381553,0.12061379330770387,-0.010649175337990773,0.034854991202906936,0.5447907390435622,0.12554902447979527,4.339267001881293,1.4295874708469825e-05,80,206
USA,COVID_2020,2020-03,yoy_pct,const,0.48131207603627324,0.7131490548266012,2.0608598705684034,0.6365335284413791,1.5795477945321301,0.9559061184185959,1.6524089176720163,0.09845121884038432,218,68
USA,COVID_2020,2020-03,yoy_pct,POLICY_RATE,-1.848222863107287,0.832665115202412,4.22351705248803,1.5709816381874089,6.071739915595317,1.7780085774812902,3.4149103623540924,0.0006380300466528599,218,68
USA,COVID_2020,2020-03,yoy_pct,UNEMPLOYMENT,1.0583008371628062,0.6156196087497574,0.31790879318442544,0.09245662521811857,-0.7403920439783808,0.6225236784443849,-1.1893395699076625,0.23430607015844496,218,68
USA,COVID_2020,2020-03,yoy_pct,GDP,0.3855388380651379,0.07933530045237797,0.31455154641583993,0.08687463279795092,-0.07098729164929796,0.11764901921243497,-0.6033819246815695,0.5462546439628064,218,68
USA,COVID_2020,2020-03,yoy_pct,M2,0.008321017318642952,0.07897672426453807,-0.02773959328679164,0.03326066992957537,-0.03606061060543459,0.08569477895251866,-0.4208028895834468,0.673899021451398,218,68
USA,ENERGY_2022,2022-02,yoy_pct,const,0.7536684956477477,0.43980395314723003,-1.4398694680171231,0.4391508516629191,-2.1935379636648706,0.6215150744110702,-3.529339921068534,0.00041659765396184767,241,45
USA,ENERGY_2022,2022-02,yoy_pct,POLICY_RATE,-1.9175669000637245,0.7066459548409599,3.1286204824114847,0.46880278853947327,5.0461873824752095,0.8480121225757791,5.950607601159945,2.671488807948208e-09,241,45
USA,ENERGY_2022,2022-02,yoy_pct,UNEMPLOYMENT,0.04656708589958073,0.062108016398994784,-0.8050653461048894,0.4143656749881877,-0.8516324320044701,0.41899441321983544,-2.032562738629264,0.04209671924343206,241,45
USA,ENERGY_2022,2022-02,yoy_pct,GDP,0.3389368177778812,0.05978850436061798,0.8459760584834314,0.07559193252629354,0.5070392407055502,0.09637844944145631,5.2609192578216755,1.4333697118118494e-07,241,45
USA,ENERGY_2022,2022-02,yoy_pct,M2,-0.0022160404373166827,0.03188874842116418,0.05301450503699537,0.03248835202447887,0.055230545474312054,0.04552345871234699,1.2132326285509647,0.22504089260381432,241,45
JAPAN,GFC_2008,2008-09,first_diff,const,0.018586573571433916,0.05729832875372165,0.06884360904581298,0.023177939622142926,0.05025703547437906,0.06180869973634188,0.8131061758095722,0.4161571859235238,91,206
