date,GERMANY_CPI_roll3_mean,GERMANY_CPI_roll3_std,GERMANY_CPI_roll12_mean,GERMANY_CPI_roll12_std,GERMANY_POLICY_RATE_roll3_mean,GERMANY_POLICY_RATE_roll3_std,GERMANY_POLICY_RATE_roll12_mean,GERMANY_POLICY_RATE_roll12_std,GERMANY_UNEMPLOYMENT_roll3_mean,GERMANY_UNEMPLOYMENT_roll3_std,GERMANY_UNEMPLOYMENT_roll12_mean,GERMANY_UNEMPLOYMENT_roll12_std,GERMANY_GDP_roll3_mean,GERMANY_GDP_roll3_std,GERMANY_GDP_roll12_mean,GERMANY_GDP_roll12_std,GERMANY_M2_roll3_mean,GERMANY_M2_roll3_std,GERMANY_M2_roll12_mean,GERMANY_M2_roll12_std
2001-01-01,,,,,,,,,,,,,,,,,,,,
2001-02-01,,,,,,,,,,,,,,,,,,,,
2001-03-01,,,,,,,,,,,,,3.1832030000000002,0.23894522662108142,,,,,,
2001-04-01,0.27987666666666655,0.24682780927872455,,,0.10276666666666667,0.2727963037383999,,,-0.03333333333333351,0.05773502691896288,,,2.944825,0.2378097241220381,,,0.4075863333333336,0.6277219178237554,,
2001-05-01,0.2176833333333311,0.1942042255805258,,,-0.11296666666666659,0.35696428859667906,,,0.0,0.10000000000000053,,,2.813843,0.12042406632812148,,,0.13476299999999983,0.18183704021183283,,
2001-06-01,0.24877999999999645,0.14250828432059393,,,-0.08063333333333311,0.347909332058416,,,0.03333333333333351,0.05773502691896289,,,2.7898453333333335,0.08262550455115625,,,0.4378890000000002,0.5755074572783571,,
2001-07-01,0.1554866666666707,0.1077277867280937,,,-0.18623333333333333,0.1983917925049652,,,0.06666666666666672,0.05773502691896262,,,2.8724233333333333,0.08253050455639536,,,0.6470623333333331,0.38881931186135005,,
2001-08-01,0.0,0.1615830198381061,,,-0.05410000000000004,0.05289621914655117,,,0.033333333333333215,0.05773502691896237,,,3.0208559999999998,0.19013241870601658,,,0.5577706666666667,0.5169847157086305,,
2001-09-01,-0.031096666666665367,0.1425028288608181,,,-0.18433333333333346,0.2777087923227013,,,0.06666666666666672,0.05773502691896262,,,3.235273,0.28038401284488423,,,0.41472233333333336,0.33064474875813965,,
2001-10-01,-0.09329333333333523,0.09329000017865756,,,-0.1780666666666666,0.2829598086890315,,,0.06666666666666672,0.05773502691896262,,,3.5158039999999997,0.28067801283142974,,,0.47122333333333327,0.380936193815097,,
2001-11-01,-0.09329333333333523,0.09329000017865756,,,-0.328,0.27165978723395917,,,0.06666666666666672,0.05773502691896262,,,3.359887,0.5319539218137227,,,0.5958180000000001,0.169310613066635,,
2001-12-01,0.15548666666666597,0.5138151766280726,,,-0.21586666666666657,0.22813411260338362,,,0.06666666666666643,0.057735026918962366,,,2.773425,1.0201187382510921,2.9954365833333334,0.5151665553999295,0.5209566666666667,0.18872713555377532,,
2002-01-01,0.2176833333333358,0.4787381409845434,0.13993833333333447,0.2798769697184625,-0.2258999999999999,0.2151908687653823,-0.12185833333333329,0.2497370815963108,0.033333333333333215,0.05773502691896238,0.03333333333333329,0.06513389472789306,1.7621650000000002,1.002349281563568,2.773804333333334,0.8052414782603846,-0.15771266666666625,0.9867935720819898,0.34203983333333343,0.6338559072991035
2002-02-01,0.3731700000000018,0.3363715857500441,0.1243899999999994,0.26486850308648074,-0.07476666666666665,0.08292420233763627,-0.14245833333333333,0.22660506878039963,0.06666666666666643,0.057735026918962366,0.041666666666666595,0.06685579234215222,1.130593,0.5446772845997901,2.58129475,0.9598628663536098,-0.8422643333333335,1.1027287507371584,0.11152183333333328,0.8046352295686916
2002-03-01,0.18658333333333607,0.09329500004465184,0.13993833333333328,0.26236724420806373,-0.024966666666666804,0.018103130484346457,-0.12644999999999998,0.22809557606008443,0.033333333333333215,0.05773502691896238,0.04999999999999997,0.05222329678670932,0.8727033333333334,0.1099500000742802,2.4178116666666667,1.0547625703637875,-1.0812536666666668,0.6970215312415639,0.07307858333333339,0.8131106320105703
2002-04-01,0.12438999999999585,0.19420262433860497,0.10106666666666679,0.2592065948001327,0.0075333333333332435,0.03890981024540308,-0.14566666666666664,0.19824282783465014,0.06666666666666703,0.05773502691896288,0.058333333333333424,0.0514928650544438,0.9826456666666669,0.1099350000970308,2.2832594999999998,1.115714601836501,-0.7116956666666668,0.8100560722890329,0.06221933333333333,0.8158882959372157
2002-05-01,0.06219333333333547,0.14250282886081964,0.08551750000000051,0.2530277735429297,0.009000000000000044,0.0379557637256838,-0.11196666666666666,0.18288978466096267,0.06666666666666703,0.05773502691896288,0.05833333333333335,0.05149286505444374,1.1490463333333334,0.20067921360303873,2.1650955833333336,1.1321481546833843,-0.19123,0.10924988587179528,0.030023583333333326,0.8131426141980329
2002-06-01,0.0,0.09329000000001027,0.07774333333333416,0.25419769955805516,0.028166666666666746,0.030540519532798616,-0.09925000000000002,0.1879628856014834,0.10000000000000024,0.0,0.06666666666666665,0.04923659639173308,1.3716536666666668,0.2789475883321702,2.06326375,1.1176028029692615,-0.16558900000000007,0.07348787093800146,-0.07779091666666667,0.7458679276016705
2002-07-01,0.06219333333333547,0.05386100661270201,0.07774333333333298,0.2541976995580551,-0.004833333333333319,0.04266641927011542,-0.10031666666666665,0.18759489638984087,0.09999999999999964,0.0,0.06666666666666665,0.04923659639173308,1.6502176666666666,0.27818008788612747,1.9777080833333336,1.0818628444616392,-0.182764,0.086400659285681,-0.14523724999999996,0.7181065854342398
2002-08-01,0.0,0.09328999999999604,0.08551750000000051,0.2466947874352598,-0.005766666666666698,0.04274182182983403,-0.09988333333333332,0.18781777838848976,0.09999999999999964,0.0,0.07499999999999996,0.04522670168666451,1.7781703333333336,0.14024689553189207,1.8544241666666668,1.007262113637651,-0.11786266666666645,0.198625980602573,-0.13888474999999997,0.7201810356459153
2002-09-01,0.0,0.09328999999999604,0.08551750000000051,0.2466947874352598,-0.00996666666666668,0.03635963879541819,-0.05565833333333333,0.14026741640901705,0.13333333333333344,0.057735026918963366,0.08333333333333333,0.05773502691896274,1.7560190000000002,0.1721256372566276,1.69345025,0.8614288881904959,-0.03328499999999993,0.18371855278115065,-0.18979274999999998,0.6806456313824566
2002-10-01,-0.06219333333333547,0.0538610066127019,0.08551833333333292,0.24669412849383837,-0.0004333333333333596,0.02326463696972882,-0.05590833333333334,0.14019140460185994,0.13333333333333344,0.057735026918963366,0.08333333333333333,0.05773502691896274,1.5842693333333333,0.17137363712757483,1.4948244166666667,0.5514379786049398,-0.003789666666666728,0.13442563311115133,-0.26399049999999996,0.6156361657296241
2002-11-01,-0.1243900000000006,0.14250828432059076,0.07774333333333416,0.2572920086500002,0.003866666666666685,0.022050018896438015,-0.016916666666666653,0.05639467791352008,0.13333333333333344,0.057735026918963366,0.09166666666666663,0.0514928650544439,1.402994666666667,0.1862400250384807,1.3652010833333332,0.38183854451217314,-0.02296966666666685,0.11202754178028645,-0.2935816666666667,0.5882800069795667
