country,equation,n_residuals,resid_mean,resid_std,resid_min,resid_max,lb_stat_lag12,lb_pvalue_lag12,lb_reject_wn_lag12_5pct,lb_stat_lag24,lb_pvalue_lag24,lb_reject_wn_lag24_5pct
USA,USA_CPI,274,1.574409702366244e-14,0.2967818122731036,-1.3700012544747433,0.8276498111215036,50.050565838273194,1.3688243248333689e-06,True,67.93814089505312,4.467890232238476e-06,True
USA,USA_POLICY_RATE,274,-3.643780330181706e-15,0.08315397978932931,-0.6796528754883111,0.267886913512671,8.418827827276521,0.751604074474047,False,22.93749532034362,0.5234904679649532,False
USA,USA_UNEMPLOYMENT,274,3.737480722314761e-15,0.3616113576088316,-2.091079751848391,3.211098894783434,32.08411301105627,0.0013430212655378625,True,52.74254707498797,0.0006254445557081933,True
USA,USA_GDP,274,2.692088239273555e-15,0.25386924457743576,-2.776783129278466,0.6687724196789349,18.99446443880041,0.08866212491128729,False,43.636618626262695,0.008406484743037838,True
USA,USA_M2,274,-1.7919161693803987e-14,0.2873518699741685,-0.9316011141514577,0.9981339911333826,40.68626440759504,5.5284026131450514e-05,True,68.86618172310199,3.2426150336940252e-06,True
JAPAN,JAPAN_CPI,292,-2.494199671760626e-16,0.27016323080424276,-0.9295826426971839,1.8387967121574886,36.54989893643309,0.0002642008846440437,True,67.01966254089304,6.1245721830477025e-06,True
JAPAN,JAPAN_POLICY_RATE,292,2.6377302168962408e-17,0.02277048915502671,-0.12231600858212498,0.1501075649907946,19.53300858270229,0.07645177522206818,False,45.45836041475868,0.0051393582572846945,True
JAPAN,JAPAN_UNEMPLOYMENT,292,-4.486517702252345e-17,0.10141099159044982,-0.3580135283229442,0.3050890300410439,16.987777512007263,0.15005765803272908,False,48.32999886485162,0.0022969951444045495,True
JAPAN,JAPAN_GDP,292,7.255991849981674e-15,0.375562422194876,-2.2721632528281455,1.4847059919740346,69.67197616646781,3.688979738312002e-10,True,87.03257963600643,4.4412984730236996e-09,True
JAPAN,JAPAN_M2,292,-8.307662016458792e-17,0.14987287686766643,-0.5903902849385116,0.45087582518848457,39.68151628159329,8.120502832083153e-05,True,50.482095372479115,0.001228959975045318,True
UK,UK_CPI,278,2.643768497488682e-16,0.18898218081840354,-0.5412653959074122,0.7747207362082618,10.946539054961844,0.5335057885156809,False,20.784123598403678,0.6514253958899519,False
UK,UK_POLICY_RATE,278,-6.64336691174082e-16,0.1292945965951932,-0.9769965617460076,0.42074648718848845,24.575308316461008,0.016968642494355302,True,45.57175219091133,0.004981844964015175,True
UK,UK_UNEMPLOYMENT,278,1.5954463968983814e-16,0.07833449858614824,-0.19129601792627626,0.20191836305797428,3.1593300980838364,0.9943107701449226,False,12.181961018618372,0.9777795451517626,False
UK,UK_GDP,278,-9.642167160629416e-15,0.7636252846308489,-6.162654800959463,3.5755966312919405,20.393915425620204,0.059991779865581456,False,29.562133930367192,0.19969033573294775,False
UK,UK_M2,278,1.7863408594058726e-15,0.6329999415856156,-3.1341152516259365,2.3743166805635667,26.96912383840399,0.007806668196796003,True,48.124643929182234,0.002435938270278189,True
GERMANY,GERMANY_CPI,278,1.4398953652107921e-15,0.26780462570064706,-1.0636480864573434,1.3212833146873688,9.52335335536639,0.6576976483613535,False,21.481931693205496,0.6101579739637424,False
GERMANY,GERMANY_POLICY_RATE,278,8.007184044508772e-17,0.07945410196271267,-0.2693707637143235,0.3242893583855367,4.496697991922738,0.9727181828828191,False,14.947305337399106,0.9222910801515967,False
GERMANY,GERMANY_UNEMPLOYMENT,278,-7.219444866065204e-16,0.053947791715849354,-0.15238171116801402,0.293375699448821,4.259003445929282,0.9782961928469252,False,20.61399800285248,0.6613783995287481,False
GERMANY,GERMANY_GDP,278,-9.271560338020732e-15,0.3343245134737948,-2.578742214782283,1.4913856615809031,27.38238870717559,0.006804541542121619,True,47.51815036203202,0.002894422014988742,True
GERMANY,GERMANY_M2,278,-1.6733217529422323e-15,0.2127891884439215,-0.7577283227755236,0.6935420290421587,16.42357706567161,0.17259639787495354,False,31.622682342142255,0.13662833139655636,False
