date,UK_CPI_roll3_mean,UK_CPI_roll3_std,UK_CPI_roll12_mean,UK_CPI_roll12_std,UK_POLICY_RATE_roll3_mean,UK_POLICY_RATE_roll3_std,UK_POLICY_RATE_roll12_mean,UK_POLICY_RATE_roll12_std,UK_UNEMPLOYMENT_roll3_mean,UK_UNEMPLOYMENT_roll3_std,UK_UNEMPLOYMENT_roll12_mean,UK_UNEMPLOYMENT_roll12_std,UK_GDP_roll3_mean,UK_GDP_roll3_std,UK_GDP_roll12_mean,UK_GDP_roll12_std,UK_M2_roll3_mean,UK_M2_roll3_std,UK_M2_roll12_mean,UK_M2_roll12_std
2001-01-01,,,,,,,,,,,,,,,,,,,,
2001-02-01,,,,,,,,,,,,,,,,,,,,
2001-03-01,,,,,,,,,,,,,2.676999,0.10564560138027501,,,,,,
2001-04-01,0.4056845206751715,0.23263798306136202,,,-0.20163333333333325,0.20908592332659132,,,-0.09999999999999994,5.117875266520903e-16,,,2.5716053333333333,0.10514109986743192,,,-0.42918499999999976,0.571574467135298,,
2001-05-01,0.5383697109294325,0.23155748335791154,,,-0.10813333333333326,0.32427730930999954,,,-0.033333333333333215,0.11547005383792475,,,2.485884,0.07771161861652345,,,-0.7347173333333329,0.67219844390651,,
2001-06-01,0.4925095194051494,0.31098685243255875,,,-0.20736666666666656,0.4841356662479361,,,0.0,0.09999999999999964,,,2.419729333333333,0.04678703214923229,,,-0.8244900000000003,0.7518661191801377,,
2001-07-01,0.04477278488225759,0.6737352945543815,,,-0.007200000000000095,0.6539022939247111,,,0.06666666666666643,0.05773502691896237,,,2.3730366666666667,0.046598031603634085,,,-0.6436526666666668,1.063849599103339,,
2001-08-01,-0.04453351809141117,0.5571273280945066,,,-0.23856666666666668,0.6643103591946559,,,0.033333333333333215,0.05773502691896237,,,2.3051406666666665,0.0806420569512788,,,0.026183333333333298,1.185947310912393,,
2001-09-01,-3.497202527569243e-15,0.5831942716791371,,,0.02433333333333317,0.502618069047794,,,0.033333333333333215,0.05773502691896237,,,2.2161233333333334,0.11027407182712176,,,0.6013033333333334,0.2221110749610058,,
2001-10-01,0.1784921712553312,0.27841393384064306,,,-0.23233333333333336,0.26958472385009746,,,0.0,0.0,,,2.1060659999999998,0.1098400707938583,,,0.4993303333333336,0.29433365378313975,,
2001-11-01,0.0445335180914094,0.20390317946681288,,,-0.4095,0.5510266690460635,,,0.03333333333333351,0.05773502691896288,,,1.9732113333333334,0.14563297068086276,,,0.165533333333333,0.29503085238044746,,
2001-12-01,1.7300975467075357e-15,0.13342230131366395,,,-0.08949999999999984,1.024709905290273,,,0.03333333333333351,0.05773502691896288,,,1.8177423333333333,0.17839172661402442,2.2826485,0.3436790835261341,-0.1930753333333334,0.4811732655523725,,
2002-01-01,-0.04453351809140862,0.20390317946681671,0.14610398968033791,0.38131186989207716,-0.2762666666666666,1.1169482948343374,-0.17935833333333331,0.5807601467956118,0.0,0.10000000000000053,-0.008333333333333378,0.07929614610987591,1.6398409999999999,0.17741022464051873,2.1726372499999997,0.37856758877237706,-0.9581030000000004,0.9550205194586125,-0.3829025833333333,0.8765795605940024
2002-02-01,0.0444741004378878,0.27791193251746127,0.14571095284182964,0.38117300428054,0.1604333333333335,0.9185624656675963,-0.1489416666666666,0.5960176422927784,0.0,0.10000000000000053,0.008333333333333378,0.07929614610987591,1.5346593333333332,0.09290675180164522,2.0747238333333335,0.3881333981148121,-1.1831806666666667,0.7286944138157864,-0.4315453333333333,0.8853034023734806
2002-03-01,0.08877058064945333,0.3081263594255377,0.14532002501365024,0.3810352049558078,-0.18033333333333346,0.5706622147412018,-0.11321666666666667,0.5896031097015152,0.0,0.10000000000000053,0.01666666666666668,0.0717740562565274,1.5018333333333331,0.0392215121627463,1.9888570833333334,0.3821877655732862,-1.045080333333333,0.8911786110664534,-0.3653355833333333,0.8629519272145791
2002-04-01,0.35461327350185395,0.15232731152439025,0.13333617788700855,0.364801131946263,-0.00550000000000006,0.2901001206480274,-0.13032500000000002,0.5917100458916436,0.03333333333333351,0.05773502691896288,0.024999999999999984,0.06215815605080624,1.5410016666666664,0.03911501196896794,1.9149863333333332,0.3668234993030972,-0.7308216666666665,0.41433555662811905,-0.45831175,0.8754604254038014
2002-05-01,0.3536726370671841,0.1531451482816508,0.09953668437626755,0.3274567724962101,-0.04336666666666685,0.23455467024413154,-0.13275,0.5902714175391152,0.0,0.0,0.01666666666666668,0.05773502691896276,1.580063,0.03900801245897087,1.8482685833333334,0.3383938197776658,-0.3447183333333334,0.6985080050123499,-0.3340455833333334,0.8700214841120001
2002-06-01,0.26490205641772985,0.2652533064185895,0.08841815926679536,0.32846518754020665,-0.18083333333333332,0.31578482125227814,-0.10658333333333336,0.5673872236093721,0.0,0.0,0.01666666666666668,0.05773502691896276,1.6190126666666664,0.03889351568491342,1.7886779166666666,0.29816580698617895,-0.24258500000000005,0.7359244568112951,-0.21985933333333327,0.8147997699248051
2002-07-01,3.3676765080296414e-15,0.2642009462838748,0.12214298166644498,0.25654098448032414,0.036333333333333474,0.41154028154402245,-0.11944166666666663,0.5536085989517625,0.0,0.0,0.008333333333333378,0.05149286505444399,1.6578453333333334,0.03877201599520777,1.7361885,0.2457138463162894,-0.23724766666666675,0.7268504880966464,-0.3567105,0.8058587908463074
2002-08-01,3.3676765080296414e-15,0.2642009462838748,0.11067006389912115,0.24574495948267377,0.06993333333333347,0.4321575214355678,-0.05562499999999996,0.5511804243868543,0.033333333333333215,0.057735026918962366,0.01666666666666668,0.05773502691896276,1.7278193333333334,0.08971614712153403,1.7039382500000002,0.19772769699726078,-0.534793,0.5490792872809902,-0.4742896666666667,0.7142655740923785
2002-09-01,0.08783492126684515,0.30487220306080853,0.1103768895835075,0.24554348898894018,0.1235000000000001,0.3399401564981695,-0.08179166666666664,0.5532631815926854,0.0,0.09999999999999964,0.008333333333333378,0.06685579234215225,1.8288963333333335,0.13226001754624442,1.6918711666666664,0.17395434718330366,-0.45986199999999994,0.6680970473224681,-0.48515066666666656,0.7007951037568079
2002-10-01,0.2197327227384358,0.0764191035737676,0.13245311953722108,0.23323167519147028,0.07579999999999994,0.29746393058655013,-0.042408333333333305,0.5566000481140889,0.0,0.09999999999999964,0.008333333333333378,0.06685579234215225,1.961038,0.1320235177269554,1.6999315,0.1907706691990045,-0.09959033333333345,0.4314752264607242,-0.5064406666666668,0.6791341133334057
2002-11-01,0.13166574064380918,0.13175246736404847,0.13245311953722108,0.23323167519147028,-0.16166666666666676,0.339060943391204,0.006333333333333339,0.48396546333077306,-0.06666666666666672,0.057735026918962616,-0.008333333333333378,0.06685579234215225,2.1103086666666666,0.15854339739747336,1.7382125833333333,0.252569120057517,-0.02006133333333319,0.30157509622038264,-0.5206883333333333,0.6731711095780967
