country,form,horizon,alpha,n_origins,rmse,mae,bias,med_abs_error,naive_rmse,naive_mae,rmse_ratio_vs_naive,mase
USA,primary,1,10.0,58,1.4915983389314165,0.8600915499408293,-0.013884761075381804,0.5811228363262708,0.5002055101361321,0.3785844834032257,2.9819710273193,2.6748562091556805
USA,primary,3,10.0,58,2.632841066812941,1.8977587262643425,0.7840155924710366,1.4402154793251514,1.172128701168857,0.8963687285300652,2.2462047590741943,5.901966729910061
USA,primary,6,10.0,58,7.493427697911536,5.05965175481868,3.396994608002109,3.372371640376819,1.8872278021774094,1.4691705081478081,3.9706005227699133,15.735349235175319
USA,primary,12,10.0,58,8.01153838040415,5.4789278905283005,4.236977308790917,3.608611988876765,3.2615517533345355,2.619698429333348,2.4563578892204725,17.039284118654678
JAPAN,primary,1,3162.2776601683795,58,0.33147957552749885,0.2665369636424489,0.11766253381459348,0.2311971608602706,0.4466349276766079,0.3224137931034476,0.7421711894585887,0.9783689574525566
JAPAN,primary,3,3162.2776601683795,58,0.34778708316870577,0.2831444626858254,0.14830898725271646,0.25383797108851436,0.3993529248931191,0.3051724137931028,0.8708765142055385,1.0393295885894789
JAPAN,primary,6,3162.2776601683795,58,0.3566694881008774,0.2942148598821167,0.15881636300003027,0.27981637461250114,0.3648334527916289,0.26551724137930993,0.9776227628571817,1.0799653518828982
JAPAN,primary,12,3162.2776601683795,58,0.37056787032044797,0.30559301747161244,0.18903183959973693,0.2811401003919847,0.40407407992714084,0.30862068965517153,0.9170790425044476,1.1217308016968277
UK,primary,1,100.0,51,0.44800104434888655,0.3446488592351189,0.04399216462892508,0.2666756260357434,0.5809651677977955,0.44578139567436986,0.7711323658991084,1.0974380912526305
UK,primary,3,100.0,51,0.41214248444088625,0.3039276809690175,0.07275460272496082,0.22966362879693597,0.687956484960593,0.471884554919311,0.5990821998930561,0.9677728654657617
UK,primary,6,100.0,51,0.45004547676643336,0.32742643392139165,0.08448599203354727,0.28129096166020656,0.4520049453365679,0.3488128939668292,0.9956649399738857,1.042598085093945
UK,primary,12,100.0,51,0.4613933991144149,0.3212458994520862,0.05240868596741654,0.2254356275957008,0.5234125613766526,0.3879119335683125,0.881509984974151,1.022917898233705
GERMANY,primary,1,31.622776601683796,51,0.5954753697138561,0.40950152118487937,0.024605233904815678,0.2476603056206727,0.638171793515836,0.4541764705882355,0.9330957208767322,1.015364237333911
GERMANY,primary,3,31.622776601683796,51,0.6327199438655269,0.4248106729208686,0.025464641672398324,0.2710432417515307,0.8313087089690854,0.5761352941176494,0.7611130943764194,1.0533234740460597
GERMANY,primary,6,31.622776601683796,51,0.6418604520163326,0.4700985301913344,0.08340772165368492,0.364273430518291,0.6117920654704088,0.4471647058823525,1.0491480492196383,1.1656152929503247
GERMANY,primary,12,31.622776601683796,51,0.7131501206780093,0.5579590525201857,0.04955196167716039,0.5052845222341245,0.706013703694145,0.5120470588235301,1.0101080431534455,1.3834665770873549
USA,first_diff_secondary,1,31.622776601683796,58,1.0214281379010852,0.7660164086664768,0.05705379004105295,0.5556489331648792,0.9076225860018545,0.6446896551724196,1.1253886292104658,1.6335739414904598
USA,first_diff_secondary,3,31.622776601683796,58,1.496964484964559,1.0966488099399878,0.3856194544405277,0.806574089347389,1.0915550122772562,0.8590689655172438,1.3714054428109101,2.3386665071615815
USA,first_diff_secondary,6,31.622776601683796,58,1.7480683148158138,1.1218244271974787,0.5800033539631677,0.7671287112387506,1.0985794510843645,0.8608448275862045,1.5912079122637552,2.3923549554082313
USA,first_diff_secondary,12,31.622776601683796,58,2.6583699755037076,1.4685559837261524,0.22762909533036593,0.5746718086420715,1.232262091467948,0.9316896551724111,2.157308898739951,3.13177989334619
