country,horizon,shock,response,orth_irf,orth_se,ci_lo,ci_up,cum_irf,cum_se,cum_ci_lo,cum_ci_up
USA,0,GDP,GDP,0.29296415315931573,0.012514808384408369,0.2684351287258753,0.31749317759275614,0.29296415315931573,0.012514808384408369,0.2684351287258753,0.31749317759275614
USA,0,GDP,UNEMPLOYMENT,-0.05204952598819864,0.025111660586768607,-0.1012683807382651,-0.0028306712381321736,-0.05204952598819864,0.025111660586768607,-0.1012683807382651,-0.0028306712381321736
USA,0,GDP,CPI,0.0068623909396564545,0.020688204437634392,-0.03368648975810695,0.04741127163741986,0.0068623909396564545,0.020688204437634392,-0.03368648975810695,0.04741127163741986
USA,0,GDP,POLICY_RATE,-0.003310744937184297,0.005795392728293433,-0.014669714684639425,0.008048224810270833,-0.003310744937184297,0.005795392728293433,-0.014669714684639425,0.008048224810270833
USA,0,GDP,M2,0.06703433730115538,0.019827148414211793,0.028173126409300267,0.10589554819301049,0.06703433730115538,0.019827148414211793,0.028173126409300267,0.10589554819301049
USA,0,UNEMPLOYMENT,GDP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,0,UNEMPLOYMENT,UNEMPLOYMENT,0.4140393576903899,0.017686884791945683,0.37937306349817634,0.4487056518826035,0.4140393576903899,0.017686884791945683,0.37937306349817634,0.4487056518826035
USA,0,UNEMPLOYMENT,CPI,0.010907933826604365,0.020680878740995338,-0.029626588505746496,0.05144245615895522,0.010907933826604365,0.020680878740995338,-0.029626588505746496,0.05144245615895522
USA,0,UNEMPLOYMENT,POLICY_RATE,0.025271656509712248,0.005692200207173262,0.014114944103652655,0.03642836891577184,0.025271656509712248,0.005692200207173262,0.014114944103652655,0.03642836891577184
USA,0,UNEMPLOYMENT,M2,0.016384425224514894,0.01960678297812595,-0.022044869412611967,0.054813719861641755,0.016384425224514894,0.01960678297812595,-0.022044869412611967,0.054813719861641755
USA,0,CPI,GDP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,0,CPI,UNEMPLOYMENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,0,CPI,CPI,0.3422425525219644,0.01461987727718355,0.3135875930586846,0.3708975119852442,0.3422425525219644,0.01461987727718355,0.3135875930586846,0.3708975119852442
USA,0,CPI,POLICY_RATE,0.0005672604432087256,0.005588839254029767,-0.010386864494689618,0.011521385381107068,0.0005672604432087256,0.005588839254029767,-0.010386864494689618,0.011521385381107068
USA,0,CPI,M2,0.019401971059978464,0.019576749978399102,-0.018968458897683775,0.0577724010176407,0.019401971059978464,0.019576749978399102,-0.018968458897683775,0.0577724010176407
USA,0,POLICY_RATE,GDP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,0,POLICY_RATE,UNEMPLOYMENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,0,POLICY_RATE,CPI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,0,POLICY_RATE,POLICY_RATE,0.0925108812011755,0.003951868988817492,0.08476521798309321,0.10025654441925778,0.0925108812011755,0.003951868988817492,0.08476521798309321,0.10025654441925778
USA,0,POLICY_RATE,M2,-0.08116720750561042,0.01924941825405483,-0.1188960672835579,-0.04343834772766295,-0.08116720750561042,0.01924941825405483,-0.1188960672835579,-0.04343834772766295
USA,0,M2,GDP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,0,M2,UNEMPLOYMENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,0,M2,CPI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,0,M2,POLICY_RATE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,0,M2,M2,0.313422925880709,0.013388763841508822,0.28718094875135175,0.3396649030100663,0.313422925880709,0.013388763841508822,0.28718094875135175,0.3396649030100663
USA,1,GDP,GDP,0.36983554163691396,0.026738578339811407,0.3174279280908836,0.4222431551829443,0.6627996947962297,0.03559500930786682,0.5930334765528107,0.7325659130396487
USA,1,GDP,UNEMPLOYMENT,0.020962880258286694,0.033501815307476784,-0.044700677744367805,0.08662643826094119,-0.031086645729911946,0.03420283247902096,-0.09812419738879302,0.03595090592896913
USA,1,GDP,CPI,0.015389745232963561,0.03694487352525526,-0.05702220687653675,0.08780169734246387,0.022252136172620014,0.05364869414229276,-0.0828993043462738,0.1274035766915138
USA,1,GDP,POLICY_RATE,0.006974146558097032,0.007469410709465233,-0.007665898432454825,0.021614191548648888,0.0036634016209127346,0.010956728627501787,-0.017811786488990768,0.025138589730816237
USA,1,GDP,M2,-0.013624461872488142,0.029999335845420395,-0.07242316012951211,0.04517423638453583,0.053409875428667236,0.0444465888738791,-0.0337054387641358,0.14052518962147026
USA,1,UNEMPLOYMENT,GDP,0.04381739331106914,0.025988339392345516,-0.007119751897928073,0.09475453852006635,0.04381739331106914,0.025988339392345516,-0.007119751897928073,0.09475453852006635
USA,1,UNEMPLOYMENT,UNEMPLOYMENT,-0.19163327627758892,0.038572186742578285,-0.2672347622930423,-0.11603179026213548,0.222406081412801,0.03887240497240746,0.1462161676668824,0.2985959951587196
USA,1,UNEMPLOYMENT,CPI,0.14778934413161207,0.04020533070793557,0.06898689594405835,0.2265917923191658,0.15869727795821645,0.05588519780142851,0.04916229026741657,0.2682322656490163
USA,1,UNEMPLOYMENT,POLICY_RATE,0.023901759385527556,0.008807438472998773,0.006639179978449962,0.04116433879260515,0.049173415895239804,0.011769583618128725,0.026105032003707503,0.0722417997867721
USA,1,UNEMPLOYMENT,M2,-0.0395364196205886,0.03421041337639111,-0.10658882983831516,0.027515990597137968,-0.023151994396073704,0.04735925486901162,-0.11597613393933648,0.06967214514718909
USA,1,CPI,GDP,-0.02882331452609283,0.020509258594714405,-0.06902146137173307,0.011374832319547404,-0.02882331452609283,0.020509258594714405,-0.06902146137173307,0.011374832319547404
USA,1,CPI,UNEMPLOYMENT,0.022277202293347655,0.030218937789550766,-0.036951915774171847,0.08150632036086716,0.022277202293347655,0.030218937789550766,-0.036951915774171847,0.08150632036086716
USA,1,CPI,CPI,0.4295646835207633,0.0299762334446567,0.3708112659692362,0.48831810107229046,0.7718072360427277,0.04060625103520027,0.6922189840137352,0.8513954880717203
USA,1,CPI,POLICY_RATE,-0.004829729696334822,0.007049229500016386,-0.018646219516366937,0.008986760123697295,-0.004262469253126096,0.010357761718008571,-0.02456368222042289,0.016038743714170703
USA,1,CPI,M2,-0.003685037255550964,0.029112011575737028,-0.060744579943995534,0.053374505432893606,0.0157169338044275,0.04383496505439172,-0.07019959770218026,0.10163346531103526
USA,1,POLICY_RATE,GDP,0.008785447545578758,0.01760798893530494,-0.02572621076761892,0.043297105858776434,0.008785447545578758,0.01760798893530494,-0.02572621076761892,0.043297105858776434
USA,1,POLICY_RATE,UNEMPLOYMENT,-0.14664634219298522,0.02553473593682317,-0.19669442462915865,-0.09659825975681181,-0.14664634219298522,0.02553473593682317,-0.19669442462915865,-0.09659825975681181
USA,1,POLICY_RATE,CPI,0.010072379477566153,0.020317313034831228,-0.029749554070703052,0.04989431302583536,0.010072379477566153,0.020317313034831228,-0.029749554070703052,0.04989431302583536
USA,1,POLICY_RATE,POLICY_RATE,0.03904628079466494,0.005931275239096116,0.027420981326036556,0.050671580263293325,0.13155716199584044,0.007998782874524303,0.11587954756177281,0.14723477642990807
USA,1,POLICY_RATE,M2,-0.1220974870781904,0.026090616182264596,-0.173235094795429,-0.0709598793609518,-0.2032646945838008,0.04130494008300873,-0.2842223771464979,-0.1223070120211037
USA,1,M2,GDP,0.0472021433655927,0.019086433080696987,0.0097927345274266,0.0846115522037588,0.0472021433655927,0.019086433080696987,0.0097927345274266,0.0846115522037588
USA,1,M2,UNEMPLOYMENT,-0.011893014993080918,0.027039351231552555,-0.06489014340692392,0.04110411342076209,-0.011893014993080918,0.027039351231552555,-0.06489014340692392,0.04110411342076209
USA,1,M2,CPI,-0.007373083880546468,0.022190064589388867,-0.05086561047574864,0.03611944271465571,-0.007373083880546468,0.022190064589388867,-0.05086561047574864,0.03611944271465571
USA,1,M2,POLICY_RATE,-0.0024606861862469433,0.0062175980743721685,-0.014647178412016394,0.009725806039522507,-0.0024606861862469433,0.0062175980743721685,-0.014647178412016394,0.009725806039522507
USA,1,M2,M2,0.2704256916780652,0.024391825140920278,0.22261771440186146,0.3182336689542689,0.5838486175587743,0.03291738871050694,0.5193305356861807,0.6483666994313678
USA,2,GDP,GDP,0.446424851721171,0.036977176320929304,0.37394958613214957,0.5189001173101925,1.1092245465174007,0.06909113501805697,0.973805921882009,1.2446431711527923
USA,2,GDP,UNEMPLOYMENT,-0.1768920743033533,0.0369745034486881,-0.24936210106278198,-0.10442204754392462,-0.20797872003326523,0.033616447552254604,-0.27386695723568427,-0.1420904828308462
USA,2,GDP,CPI,0.05150415391461784,0.04601844285206573,-0.03869199407543099,0.14170030190466665,0.07375629008723786,0.09367231771538301,-0.10984145263491282,0.2573540328093885
USA,2,GDP,POLICY_RATE,-0.007313124313023504,0.006922171141072053,-0.020880579749524727,0.0062543311234777195,-0.003649722692110769,0.014879558256865853,-0.03281365687556784,0.025514211491346302
USA,2,GDP,M2,-0.088357538564146,0.03166597128327117,-0.15042284227935748,-0.026292234848934497,-0.03494766313547876,0.06685993707665931,-0.165993139805731,0.09609781353477348
USA,2,UNEMPLOYMENT,GDP,0.037317433388967085,0.0461098841756853,-0.053057939595376115,0.1276928063733103,0.08113482670003622,0.06998800471720124,-0.05604166254567819,0.21831131594575062
USA,2,UNEMPLOYMENT,UNEMPLOYMENT,-0.1341702314692342,0.035031906222323286,-0.20283276766498787,-0.06550769527348056,0.08823584994356679,0.0452005392217845,-0.000357206931130824,0.1768289068182644
USA,2,UNEMPLOYMENT,CPI,0.23686075958590497,0.05986665831622503,0.11952210928610392,0.35419940988570603,0.39555803754412144,0.1085064759990039,0.1828853445860738,0.608230730502169
USA,2,UNEMPLOYMENT,POLICY_RATE,0.010921428723107371,0.009600791549898013,-0.007896122714692736,0.02973898016090748,0.060094844618347174,0.018900316247754293,0.023050224772748762,0.09713946446394559
USA,2,UNEMPLOYMENT,M2,-0.1427266075051071,0.04353200474865043,-0.22804933681246195,-0.05740387819775225,-0.1658786019011808,0.08212243811945902,-0.32683858061532045,-0.004918623187041143
USA,2,CPI,GDP,-0.054894223165146895,0.031892059297711446,-0.11740265938866132,0.007614213058367535,-0.08371753769123973,0.04963251036565815,-0.1809972580079297,0.01356218262545024
USA,2,CPI,UNEMPLOYMENT,0.004348191661907501,0.033551357737194754,-0.06141246950299421,0.07010885282680922,0.026625393955255157,0.03240684481942636,-0.036892021890820505,0.09014280980133083
USA,2,CPI,CPI,0.37455022396590826,0.04098899109873691,0.2942118014123839,0.4548886465194326,1.146357460008636,0.07583898590120965,0.997713047642265,1.2950018723750067
USA,2,CPI,POLICY_RATE,-0.0025583895043498365,0.006994542782118323,-0.016267693357301747,0.011150914348602076,-0.006820858757475933,0.014502862625636447,-0.03524646950372337,0.021604751988771504
USA,2,CPI,M2,-0.0483481203365921,0.030647144605966636,-0.1084165237642867,0.011720283091102505,-0.032631186532164604,0.06608138013044809,-0.16215069158784284,0.09688831852351365
USA,2,POLICY_RATE,GDP,-0.02262515232365711,0.02938720398393328,-0.08022407213216634,0.03497376748485211,-0.013839704778078353,0.04448810784423733,-0.10103639615278351,0.07335698659662682
USA,2,POLICY_RATE,UNEMPLOYMENT,0.13216140251969416,0.029590166563666292,0.07416467605490823,0.1901581289844801,-0.014484939673291064,0.030580199264762107,-0.0744221302322248,0.04545225088564266
USA,2,POLICY_RATE,CPI,-0.03794347406931046,0.03470658175758589,-0.1059683743141788,0.03008142617555789,-0.027871094591744305,0.051871936778192296,-0.1295400906770012,0.07379790149351259
USA,2,POLICY_RATE,POLICY_RATE,0.018870167057162893,0.006621476976736758,0.005892072182758848,0.03184826193156694,0.15042732905300332,0.012192108490387725,0.1265307964118434,0.17432386169416325
