variant_id,date,actual,predicted,residual
USA_yoy_pct,2020-01-01,2.599767976845202,2.6516214982328608,-0.0518535213876587
USA_yoy_pct,2024-03-01,3.4868349120836584,3.305401532502329,0.1814333795813292
USA_yoy_pct,2024-02-01,3.157074141648697,3.1198171076493177,0.0372570339993791
USA_yoy_pct,2024-01-01,3.0883429864855705,2.957337904077656,0.1310050824079143
USA_yoy_pct,2023-12-01,3.3159099427102934,3.366840706562595,-0.0509307638523015
USA_yoy_pct,2023-11-01,3.133346274591186,3.058433684684988,0.0749125899061984
USA_yoy_pct,2023-10-01,3.2512659098611785,3.2782831615751835,-0.027017251714005
USA_yoy_pct,2024-04-01,3.3607951262196734,3.500623240970132,-0.1398281147504585
USA_yoy_pct,2023-09-01,3.687206638119256,3.707647974314611,-0.020441336195355
USA_yoy_pct,2023-07-01,3.287749268428297,3.5598261242148066,-0.2720768557865094
USA_yoy_pct,2023-06-01,3.070617072997095,3.03595534535865,0.0346617276384448
USA_yoy_pct,2023-05-01,4.131851231385042,4.20854337425478,-0.0766921428697378
USA_yoy_pct,2023-04-01,4.950079879124369,4.740727889747446,0.2093519893769233
USA_yoy_pct,2023-03-01,4.917719362889961,4.962041730954925,-0.0443223680649644
USA_yoy_pct,2023-02-01,5.957820738137087,6.148493719944329,-0.1906729818072419
USA_yoy_pct,2023-08-01,3.722504803505289,3.478116434694873,0.2443883688104158
USA_yoy_pct,2023-01-01,6.327178517960097,5.965881663169713,0.3612968547903836
USA_yoy_pct,2024-05-01,3.244278584003113,3.382779509700433,-0.1385009256973202
USA_yoy_pct,2024-07-01,2.9414757935583014,2.9416574153291584,-0.000181621770857
USA_yoy_pct,2025-09-01,3.022571584713329,3.07824819156045,-0.0556766068471206
USA_yoy_pct,2025-08-01,2.9385917430316155,2.888722670658757,0.049869072372858
USA_yoy_pct,2025-07-01,2.742618052167134,2.7391247878853577,0.0034932642817762
USA_yoy_pct,2025-06-01,2.680453865910226,2.7335099592484933,-0.0530560933382671
USA_yoy_pct,2025-05-01,2.3772651073680877,2.496780581860245,-0.1195154744921578
