country,root_index,root_real,root_imag,abs_root,is_stable_overall
USA,0,9.17632728673377,-0.0,9.17632728673377,True
USA,1,-1.77334182806131,0.36936082330912173,1.8113996403188946,True
USA,2,-1.77334182806131,-0.36936082330912173,1.8113996403188946,True
USA,3,0.9430273290009984,-1.0340125545133672,1.3994579329633372,True
USA,4,0.9430273290009984,1.0340125545133672,1.3994579329633372,True
USA,5,1.291998878255502,0.5039536729586029,1.3868058284785012,True
USA,6,1.291998878255502,-0.5039536729586029,1.3868058284785012,True
USA,7,0.37500223525858895,-1.3171040511085201,1.3694487058285219,True
USA,8,0.37500223525858895,1.3171040511085201,1.3694487058285219,True
USA,9,1.1197317125158364,-0.6065719554587157,1.2734711010316087,True
USA,10,1.1197317125158364,0.6065719554587157,1.2734711010316087,True
USA,11,-1.1431169389735323,0.480630784366716,1.2400493083136586,True
USA,12,-1.1431169389735323,-0.480630784366716,1.2400493083136586,True
USA,13,-0.9002446187874066,-0.8179520225311745,1.2163411876683787,True
USA,14,-0.9002446187874066,0.8179520225311745,1.2163411876683787,True
USA,15,1.2003409395551865,-0.18523159417690255,1.214548934647569,True
USA,16,1.2003409395551865,0.18523159417690255,1.214548934647569,True
USA,17,-0.1859313963318776,-1.186977281979982,1.2014514355888493,True
USA,18,-0.1859313963318776,1.186977281979982,1.2014514355888493,True
USA,19,-0.6371058052532865,-1.0023785256691302,1.1877148293298596,True
USA,20,-0.6371058052532865,1.0023785256691302,1.1877148293298596,True
USA,21,-0.017547592117920164,-1.179098329835457,1.179228896105375,True
USA,22,-0.017547592117920164,1.179098329835457,1.179228896105375,True
USA,23,-1.1585234252009604,-0.0,1.1585234252009604,True
USA,24,0.2278027045390615,-1.1224184105551973,1.1453022136312172,True
USA,25,0.2278027045390615,1.1224184105551973,1.1453022136312172,True
USA,26,0.819403962097602,0.7859707329363844,1.1354174765846288,True
USA,27,0.819403962097602,-0.7859707329363844,1.1354174765846288,True
USA,28,0.3050094161310377,1.0902501303902155,1.1321113420262505,True
USA,29,0.3050094161310377,-1.0902501303902155,1.1321113420262505,True
USA,30,-1.1284541912258064,-0.0,1.1284541912258064,True
USA,31,-0.8335344307767717,-0.7512475896762916,1.1221196853655115,True
USA,32,-0.8335344307767717,0.7512475896762916,1.1221196853655115,True
