country,form,alpha,origin_date,target_date,horizon,n_train_origin,actual,forecast,naive_forecast,error,abs_error,sq_error,naive_error,naive_abs_error,naive_sq_error
USA,primary,10.0,2020-01-01,2020-02-01,1,204,2.3413166797595197,2.5340055066260927,2.599767976845202,-0.19268882686657296,0.19268882686657296,0.03712898399921613,-0.25845129708568226,0.25845129708568226,0.0667970729652716
USA,primary,10.0,2020-02-01,2020-03-01,1,205,1.4940399642909163,2.05590816803246,2.3413166797595197,-0.5618682037415437,0.5618682037415437,0.3156958783757488,-0.8472767154686034,0.8472767154686034,0.7178778325752647
USA,primary,10.0,2020-03-01,2020-04-01,1,206,0.3130472940411133,0.33556423486530673,1.4940399642909163,-0.02251694082419342,0.02251694082419342,0.0005070126240802283,-1.180992670249803,1.180992670249803,1.39474368718376
USA,primary,10.0,2020-04-01,2020-05-01,1,207,0.1982013035848551,9.134977272825685,0.3130472940411133,-8.93677596924083,8.93677596924083,79.86596472440038,-0.1148459904562582,0.1148459904562582,0.013189601523878951
USA,primary,10.0,2020-05-01,2020-06-01,1,208,0.7166562831830481,3.417078611009024,0.1982013035848551,-2.700422327825976,2.700422327825976,7.292280748621062,0.518454979598193,0.518454979598193,0.2687955658701627
USA,primary,10.0,2020-06-01,2020-07-01,1,209,0.9968647625897997,-0.0672333610165774,0.7166562831830481,1.0640981236063771,1.0640981236063771,1.1323048166626126,0.28020847940675164,0.28020847940675164,0.07851679193144397
USA,primary,10.0,2020-07-01,2020-08-01,1,210,1.2810698495523853,0.5790230014808815,0.9968647625897997,0.7020468480715039,0.7020468480715039,0.49286977688713324,0.2842050869625856,0.2842050869625856,0.08077253145541086
USA,primary,10.0,2020-08-01,2020-09-01,1,211,1.3910228912373812,-0.1263544954723761,1.2810698495523853,1.5173773867097573,1.5173773867097573,2.3024341336981324,0.10995304168499587,0.10995304168499587,0.012089671375782438
USA,primary,10.0,2020-09-01,2020-10-01,1,212,1.2303863428671624,1.6593210878066729,1.3910228912373812,-0.42893474493951045,0.42893474493951045,0.1839850154163229,-0.1606365483702188,0.1606365483702188,0.02580410067229764
USA,primary,10.0,2020-10-01,2020-11-01,1,213,1.1757452138405844,1.7837226685288132,1.2303863428671624,-0.6079774546882288,0.6079774546882288,0.3696365854091773,-0.05464112902657803,0.05464112902657803,0.002985652981299148
USA,primary,10.0,2020-11-01,2020-12-01,1,214,1.3204191315779434,0.7160767185522428,1.1757452138405844,0.6043424130257007,0.6043424130257007,0.3652297521817266,0.14467391773735905,0.14467391773735905,0.020930542473476133
USA,primary,10.0,2020-12-01,2021-01-01,1,215,1.3738437137002402,0.8577900145692157,1.3204191315779434,0.5160536991310245,0.5160536991310245,0.26631142038681394,0.05342458212229673,0.05342458212229673,0.002854185974942027
USA,primary,10.0,2021-01-01,2021-02-01,1,216,1.6698167791706853,0.9311939115714483,1.3738437137002402,0.738622867599237,0.738622867599237,0.54556374054052,0.2959730654704451,0.2959730654704451,0.08760005548397239
USA,primary,10.0,2021-02-01,2021-03-01,1,217,2.6678187820641908,0.8058778485860749,1.6698167791706853,1.8619409334781158,1.8619409334781158,3.4668240397613572,0.9980020028935055,0.9980020028935055,0.9960079977794486
USA,primary,10.0,2021-03-01,2021-04-01,1,218,4.133077115360573,2.6898216269920034,2.6678187820641908,1.4432554883685693,1.4432554883685693,2.0829864047059976,1.465258333296382,1.465258333296382,2.1469819832944914
USA,primary,10.0,2021-04-01,2021-05-01,1,219,4.918257089467626,6.169821175145156,4.133077115360573,-1.25156408567753,1.25156408567753,1.566412660557832,0.7851799741070531,0.7851799741070531,0.6165075917387526
USA,primary,10.0,2021-05-01,2021-06-01,1,220,5.295632620349999,2.539642411021511,4.918257089467626,2.7559902093284885,2.7559902093284885,7.595482033914486,0.3773755308823734,0.3773755308823734,0.14241229130875316
USA,primary,10.0,2021-06-01,2021-07-01,1,221,5.245169381309234,4.0336034259033315,5.295632620349999,1.2115659554059022,1.2115659554059022,1.4678920642986166,-0.05046323904076555,0.05046323904076555,0.0025465384944854444
USA,primary,10.0,2021-07-01,2021-08-01,1,222,5.152015301793966,3.355011897613197,5.245169381309234,1.7970034041807694,1.7970034041807694,3.229221234637274,-0.09315407951526744,0.09315407951526744,0.008677682530336768
USA,primary,10.0,2021-08-01,2021-09-01,1,223,5.351215590949132,3.950401409408218,5.152015301793966,1.4008141815409143,1.4008141815409143,1.9622803712061416,0.19920028915516585,0.19920028915516585,0.039680755199501684
USA,primary,10.0,2021-09-01,2021-10-01,1,224,6.235042390298062,4.5546676698766415,5.351215590949132,1.6803747204214208,1.6803747204214208,2.823659201031368,0.8838267993489302,0.8838267993489302,0.781149811247374
USA,primary,10.0,2021-10-01,2021-11-01,1,225,6.901970403700863,6.0595657497561835,6.235042390298062,0.8424046539446799,0.8424046539446799,0.7096456009876558,0.6669280134028011,0.6669280134028011,0.4447929750614068
USA,primary,10.0,2021-11-01,2021-12-01,1,226,7.174340285065539,6.929226303975396,6.901970403700863,0.24511398109014326,0.24511398109014326,0.06008086372585911,0.27236988136467577,0.27236988136467577,0.07418535227460755
USA,primary,10.0,2021-12-01,2022-01-01,1,227,7.558805726967832,7.295839868664719,7.174340285065539,0.26296585830311336,0.26296585830311336,0.0691510426330931,0.38446544190229304,0.38446544190229304,0.14781367601712547
USA,primary,10.0,2022-01-01,2022-02-01,1,228,7.937278766517819,7.464389495129369,7.558805726967832,0.47288927138844983,0.47288927138844983,0.22362426299429894,0.3784730395499869,0.3784730395499869,0.14324184166620596
USA,primary,10.0,2022-02-01,2022-03-01,1,229,8.572204966013853,7.8949604460651415,7.937278766517819,0.6772445199487116,0.6772445199487116,0.4586601398005608,0.634926199496034,0.634926199496034,0.4031312788064776
USA,primary,10.0,2022-03-01,2022-04-01,1,230,8.231750770777225,8.994815899178379,8.572204966013853,-0.7630651284011538,0.7630651284011538,0.5822683901818694,-0.340454195236628,0.340454195236628,0.11590905905422003
USA,primary,10.0,2022-04-01,2022-05-01,1,231,8.538171195642065,8.407911462130656,8.231750770777225,0.13025973351140863,0.13025973351140863,0.01696759817446319,0.30642042486483945,0.30642042486483945,0.09389347677434871
USA,primary,10.0,2022-05-01,2022-06-01,1,232,8.979361103105798,7.543279981708464,8.538171195642065,1.4360811213973346,1.4360811213973346,2.062328987233826,0.441189907463734,0.441189907463734,0.19464853444785815
USA,primary,10.0,2022-06-01,2022-07-01,1,233,8.462576727730099,8.854631773712143,8.979361103105798,-0.392055045982044,0.392055045982044,0.15370715907998264,-0.5167843753756998,0.5167843753756998,0.2670660906324522
USA,primary,10.0,2022-07-01,2022-08-01,1,234,8.222579178218826,8.802620736217055,8.462576727730099,-0.5800415579982285,0.5800415579982285,0.3364482090050123,-0.23999754951127272,0.23999754951127272,0.0575988237714158
USA,primary,10.0,2022-08-01,2022-09-01,1,235,8.192106896425821,8.089270243026698,8.222579178218826,0.10283665339912318,0.10283665339912318,0.010575377282331393,-0.03047228179300454,0.03047228179300454,0.000928559957672276
USA,primary,10.0,2022-09-01,2022-10-01,1,236,7.758813957693,7.627109403110564,8.192106896425821,0.13170455458243602,0.13170455458243602,0.017346089697757867,-0.43329293873282104,0.43329293873282104,0.1877427707557242
USA,primary,10.0,2022-10-01,2022-11-01,1,237,7.122856456533988,7.506861100257778,7.758813957693,-0.38400464372378984,0.38400464372378984,0.14745956640143476,-0.6359575011590124,0.6359575011590124,0.4044419432804153
USA,primary,10.0,2022-11-01,2022-12-01,1,238,6.404600402357152,7.068166016090362,7.122856456533988,-0.6635656137332093,0.6635656137332093,0.44031932372913074,-0.7182560541768357,0.7182560541768357,0.5158917593616775
USA,primary,10.0,2022-12-01,2023-01-01,1,239,6.327178517960097,6.809875257648647,6.404600402357152,-0.4826967396885502,0.4826967396885502,0.232996142505956,-0.07742188439705533,0.07742188439705533,0.0059941481835909995
USA,primary,10.0,2023-01-01,2023-02-01,1,240,5.957820738137087,5.8547752203014465,6.327178517960097,0.10304551783564087,0.10304551783564087,0.01061837874601538,-0.36935777982300966,0.36935777982300966,0.13642516951578287
USA,primary,10.0,2023-02-01,2023-03-01,1,241,4.917719362889961,5.57028484918011,5.957820738137087,-0.6525654862901495,0.6525654862901495,0.42584171389709935,-1.0401013752471266,1.0401013752471266,1.0818108707909642
USA,primary,10.0,2023-03-01,2023-04-01,1,242,4.950079879124369,5.563836510345004,4.917719362889961,-0.6137566312206344,0.6137566312206344,0.3766972023673018,0.03236051623440872,0.03236051623440872,0.0010472030109574303
USA,primary,10.0,2023-04-01,2023-05-01,1,243,4.131851231385042,4.796312384862976,4.950079879124369,-0.6644611534779337,0.6644611534779337,0.44150862448122613,-0.8182286477393275,0.8182286477393275,0.6694981199813285
USA,primary,10.0,2023-05-01,2023-06-01,1,244,3.070617072997095,4.032295596058066,4.131851231385042,-0.9616785230609715,0.9616785230609715,0.9248255817167315,-1.061234158387947,1.061234158387947,1.126217938929374
USA,primary,10.0,2023-06-01,2023-07-01,1,245,3.287749268428297,3.665385989665076,3.070617072997095,-0.3776367212367786,0.3776367212367786,0.14260949322646443,0.2171321954312022,0.2171321954312022,0.04714639029277379
USA,primary,10.0,2023-07-01,2023-08-01,1,246,3.722504803505289,2.8310478093997773,3.287749268428297,0.8914569941055115,0.8914569941055115,0.794695572339634,0.4347555350769916,0.4347555350769916,0.18901237528008127
USA,primary,10.0,2023-08-01,2023-09-01,1,247,3.687206638119256,2.8586372772687847,3.722504803505289,0.8285693608504712,0.8285693608504712,0.6865271857401583,-0.03529816538603292,0.03529816538603292,0.0012459604796197326
USA,primary,10.0,2023-09-01,2023-10-01,1,248,3.2512659098611785,3.827391881520258,3.687206638119256,-0.5761259716590796,0.5761259716590796,0.3319211352201186,-0.4359407282580774,0.4359407282580774,0.19004431855418288
