country,indicator,chow_test_input,base_form_tested,break_name,break_date,window,start,end,adf_stat,adf_pvalue,adf_usedlag,adf_nobs,adf_crit_5pct,adf_maxlag,adf_error,kpss_stat,kpss_pvalue,kpss_lags,kpss_crit_5pct,kpss_interp_flag,kpss_error,classification,n_obs,small_sample_flag,hard_warn_flag,col_key
USA,GDP,level,level,GFC_2008,2008-09,post_break,2008-09,2025-10,-3.0983221845311557,0.026677603760256,13,192,-2.876714157488788,14,,0.6840121387488939,0.014998896477373283,9,0.463,False,,Trend-stationary (conflict),206,False,False,GFC_2008|post_break
USA,GDP,level,level,COVID_2020,2020-03,pre_break,2001-01,2020-02,-1.4914348912175817,0.5377440406436601,13,216,-2.875015740963014,14,,0.16462998891916375,0.1,9,0.463,True,,Inconclusive,230,False,False,COVID_2020|pre_break
USA,GDP,level,level,COVID_2020,2020-03,post_break,2020-03,2025-10,-3.478347604178366,0.008560900719692954,7,60,-2.9110731481481484,10,,0.18697567922508454,0.1,5,0.463,True,,Stationary,68,False,False,COVID_2020|post_break
USA,GDP,level,level,ENERGY_2022,2022-02,pre_break,2001-01,2022-01,-2.312699249678113,0.16790491661953666,15,237,-2.8738137461081323,15,,0.12568097707702103,0.1,9,0.463,True,,Inconclusive,253,False,False,ENERGY_2022|pre_break
USA,GDP,level,level,ENERGY_2022,2022-02,post_break,2022-02,2025-10,-3.2604662650561376,0.016740807964821545,4,40,-2.937069375,9,,0.8674550526858723,0.01,4,0.463,True,,Trend-stationary (conflict),45,True,False,ENERGY_2022|post_break
USA,M2,level,level,GFC_2008,2008-09,pre_break,2001-01,2008-08,-1.7558771572656486,0.4025768480465395,4,87,-2.895382030636155,11,,0.7290794447521065,0.010901868658899408,5,0.463,False,,Non-stationary,92,False,False,GFC_2008|pre_break
USA,M2,level,level,GFC_2008,2008-09,post_break,2008-09,2025-10,-2.599725086121075,0.0930540998596896,14,191,-2.8767942675230356,14,,0.1238379225613406,0.1,9,0.463,True,,Inconclusive,206,False,False,GFC_2008|post_break
USA,M2,level,level,COVID_2020,2020-03,pre_break,2001-01,2020-02,-3.20646142938232,0.019613699581430718,13,216,-2.875015740963014,14,,0.17179928790355248,0.1,9,0.463,True,,Stationary,230,False,False,COVID_2020|pre_break
USA,M2,level,level,COVID_2020,2020-03,post_break,2020-03,2025-10,-1.8154292062137105,0.3728288721498416,3,64,-2.907887369384766,10,,0.8235524285280692,0.01,5,0.463,True,,Non-stationary,68,False,False,COVID_2020|post_break
USA,M2,level,level,ENERGY_2022,2022-02,pre_break,2001-01,2022-01,-0.9969282302374433,0.7543830091496898,13,239,-2.8737103617125186,15,,0.3975654110498592,0.0782045642026469,10,0.463,False,,Inconclusive,253,False,False,ENERGY_2022|pre_break
USA,M2,level,level,ENERGY_2022,2022-02,post_break,2022-02,2025-10,-2.636757816578953,0.08563562232898275,9,35,-2.9485102040816327,9,,0.22752885265034772,0.1,4,0.463,True,,Inconclusive,45,True,False,ENERGY_2022|post_break
JAPAN,CPI,yoy_pct,yoy_pct,GFC_2008,2008-09,pre_break,2002-01,2008-08,-1.0770471757629116,0.7241379024936343,0,79,-2.898885703483903,11,,0.9191312158552456,0.01,5,0.463,True,,Non-stationary,80,False,False,GFC_2008|pre_break
JAPAN,CPI,yoy_pct,yoy_pct,GFC_2008,2008-09,post_break,2008-09,2025-10,-2.3182099691913987,0.16616213532185908,13,192,-2.876714157488788,14,,0.9107451957492456,0.01,9,0.463,True,,Non-stationary,206,False,False,GFC_2008|post_break
JAPAN,CPI,yoy_pct,yoy_pct,COVID_2020,2020-03,pre_break,2002-01,2020-02,-2.8552641622223587,0.05080296989667537,13,204,-2.8758145932936805,14,,0.479850345429145,0.04620487715559798,9,0.463,False,,Non-stationary,218,False,False,COVID_2020|pre_break
JAPAN,CPI,yoy_pct,yoy_pct,COVID_2020,2020-03,post_break,2020-03,2025-10,-1.009890774085198,0.7496397960504524,0,67,-2.905755128523123,10,,0.8914445302081101,0.01,5,0.463,True,,Non-stationary,68,False,False,COVID_2020|post_break
JAPAN,CPI,yoy_pct,yoy_pct,ENERGY_2022,2022-02,pre_break,2002-01,2022-01,-3.0222898797449638,0.0328645904220491,13,227,-2.8743581895178485,14,,0.33766822358152,0.1,9,0.463,True,,Stationary,241,False,False,ENERGY_2022|pre_break
JAPAN,CPI,yoy_pct,yoy_pct,ENERGY_2022,2022-02,post_break,2022-02,2025-10,-3.7102405347916934,0.003971396002621395,0,44,-2.929885661157025,9,,0.1637413210611402,0.1,3,0.463,True,,Stationary,45,True,False,ENERGY_2022|post_break
JAPAN,POLICY_RATE,first_diff,first_diff,GFC_2008,2008-09,pre_break,2001-02,2008-08,-2.882863959410322,0.047377281844088556,6,84,-2.8966159448223734,11,,0.567858413602829,0.02638324017954302,3,0.463,False,,Trend-stationary (conflict),91,False,False,GFC_2008|pre_break
JAPAN,POLICY_RATE,first_diff,first_diff,GFC_2008,2008-09,post_break,2008-09,2025-10,-2.383596888754299,0.1464196860984322,12,193,-2.8766348847254934,14,,0.8303099245099304,0.01,5,0.463,True,,Non-stationary,206,False,False,GFC_2008|post_break
JAPAN,POLICY_RATE,first_diff,first_diff,COVID_2020,2020-03,pre_break,2001-02,2020-02,-4.16391067583501,0.0007579709346284952,8,220,-2.874768966942149,14,,0.07547547095589698,0.1,6,0.463,True,,Stationary,229,False,False,COVID_2020|pre_break
JAPAN,POLICY_RATE,first_diff,first_diff,COVID_2020,2020-03,post_break,2020-03,2025-10,-2.1445678552587375,0.22697516389632977,6,61,-2.910236235808284,10,,0.5655243912515836,0.026908920889282966,0,0.463,False,,Non-stationary,68,False,False,COVID_2020|post_break
JAPAN,POLICY_RATE,first_diff,first_diff,ENERGY_2022,2022-02,pre_break,2001-02,2022-01,-4.569824721676837,0.00014676249575351969,6,245,-2.873410402808354,15,,0.06989578007515475,0.1,6,0.463,True,,Stationary,252,False,False,ENERGY_2022|pre_break
JAPAN,POLICY_RATE,first_diff,first_diff,ENERGY_2022,2022-02,post_break,2022-02,2025-10,-5.742688236697949,6.222770915116737e-07,0,44,-2.929885661157025,9,,0.3296430421107656,0.1,1,0.463,True,,Stationary,45,True,False,ENERGY_2022|post_break
JAPAN,UNEMPLOYMENT,first_diff,first_diff,GFC_2008,2008-09,pre_break,2001-02,2008-08,-8.510924884112889,1.1680837224862432e-13,1,89,-2.8946066061911946,11,,0.22036210833150158,0.1,9,0.463,True,,Stationary,91,False,False,GFC_2008|pre_break
JAPAN,UNEMPLOYMENT,first_diff,first_diff,GFC_2008,2008-09,post_break,2008-09,2025-10,-11.527498038814482,3.903835625567956e-21,1,204,-2.8758145932936805,14,,0.14976122839578646,0.1,2,0.463,True,,Stationary,206,False,False,GFC_2008|post_break
JAPAN,UNEMPLOYMENT,first_diff,first_diff,COVID_2020,2020-03,pre_break,2001-02,2020-02,-8.478734936938798,1.4119821065352544e-13,2,226,-2.8744153028455948,14,,0.18065322682583174,0.1,3,0.463,True,,Stationary,229,False,False,COVID_2020|pre_break
JAPAN,UNEMPLOYMENT,first_diff,first_diff,COVID_2020,2020-03,post_break,2020-03,2025-10,-4.860437543649992,4.161543725741671e-05,3,64,-2.907887369384766,10,,0.17318549249390547,0.1,3,0.463,True,,Stationary,68,False,False,COVID_2020|post_break
JAPAN,UNEMPLOYMENT,first_diff,first_diff,ENERGY_2022,2022-02,pre_break,2001-02,2022-01,-3.161500843864778,0.022324142672689774,14,237,-2.8738137461081323,15,,0.10695057909277697,0.1,3,0.463,True,,Stationary,252,False,False,ENERGY_2022|pre_break
JAPAN,UNEMPLOYMENT,first_diff,first_diff,ENERGY_2022,2022-02,post_break,2022-02,2025-10,-5.994446702435071,1.714839555690549e-07,3,41,-2.9351348158036012,9,,0.4720277477043978,0.0479667234900005,34,0.463,False,,Trend-stationary (conflict),45,True,False,ENERGY_2022|post_break
JAPAN,GDP,level,level,GFC_2008,2008-09,pre_break,2001-01,2008-08,-1.7950935113863788,0.3829003355430035,1,90,-2.894232085048011,11,,0.2872071278823678,0.1,5,0.463,True,,Inconclusive,92,False,False,GFC_2008|pre_break
JAPAN,GDP,level,level,GFC_2008,2008-09,post_break,2008-09,2025-10,-4.340813785345343,0.0003772195889566544,13,192,-2.876714157488788,14,,0.09864475748808203,0.1,9,0.463,True,,Stationary,206,False,False,GFC_2008|post_break
JAPAN,GDP,level,level,COVID_2020,2020-03,pre_break,2001-01,2020-02,-2.1216378504012634,0.23590338903457236,13,216,-2.875015740963014,14,,0.06616699594923163,0.1,9,0.463,True,,Inconclusive,230,False,False,COVID_2020|pre_break
JAPAN,GDP,level,level,COVID_2020,2020-03,post_break,2020-03,2025-10,-4.427294622319803,0.0002655017216033104,9,58,-2.912836594776334,10,,0.16913357432761533,0.1,4,0.463,True,,Stationary,68,False,False,COVID_2020|post_break
JAPAN,GDP,level,level,ENERGY_2022,2022-02,pre_break,2001-01,2022-01,-3.5791286753946965,0.006172810192737787,13,239,-2.8737103617125186,15,,0.05378053839175997,0.1,9,0.463,True,,Stationary,253,False,False,ENERGY_2022|pre_break
JAPAN,GDP,level,level,ENERGY_2022,2022-02,post_break,2022-02,2025-10,-3.665007139955368,0.004633167511491824,9,35,-2.9485102040816327,9,,0.1887047803411412,0.1,4,0.463,True,,Stationary,45,True,False,ENERGY_2022|post_break
JAPAN,M2,first_diff,first_diff,GFC_2008,2008-09,pre_break,2001-02,2008-08,-7.627246295544986,2.0531192126246433e-11,0,90,-2.894232085048011,11,,0.21581697878125713,0.1,3,0.463,True,,Stationary,91,False,False,GFC_2008|pre_break
JAPAN,M2,first_diff,first_diff,GFC_2008,2008-09,post_break,2008-09,2025-10,-4.5338970786152215,0.0001706917285310235,12,193,-2.8766348847254934,14,,0.09942808566356662,0.1,7,0.463,True,,Stationary,206,False,False,GFC_2008|post_break
JAPAN,M2,first_diff,first_diff,COVID_2020,2020-03,pre_break,2001-02,2020-02,-5.113346345092763,1.3178088320663696e-05,12,216,-2.875015740963014,14,,0.09369760631848527,0.1,6,0.463,True,,Stationary,229,False,False,COVID_2020|pre_break
JAPAN,M2,first_diff,first_diff,COVID_2020,2020-03,post_break,2020-03,2025-10,-3.18316792813984,0.020979893892771127,0,67,-2.905755128523123,10,,0.16859656498816272,0.1,4,0.463,True,,Stationary,68,False,False,COVID_2020|post_break
JAPAN,M2,first_diff,first_diff,ENERGY_2022,2022-02,pre_break,2001-02,2022-01,-6.209509637965523,5.5518078807936454e-08,12,239,-2.8737103617125186,15,,0.03383950940548337,0.1,8,0.463,True,,Stationary,252,False,False,ENERGY_2022|pre_break
JAPAN,M2,first_diff,first_diff,ENERGY_2022,2022-02,post_break,2022-02,2025-10,-3.595807532814973,0.005841686418276431,0,44,-2.929885661157025,9,,0.22860310565746458,0.1,3,0.463,True,,Stationary,45,True,False,ENERGY_2022|post_break
UK,CPI,yoy_pct,yoy_pct,GFC_2008,2008-09,pre_break,2002-01,2008-08,1.2125456089993343,0.9960714255512326,0,79,-2.898885703483903,11,,1.1608755668858468,0.01,5,0.463,True,,Non-stationary,80,False,False,GFC_2008|pre_break
UK,CPI,yoy_pct,yoy_pct,GFC_2008,2008-09,post_break,2008-09,2025-03,-2.1427566848760105,0.22767293046431714,12,186,-2.8772078537639385,14,,0.4726042195187676,0.04783688749577308,9,0.463,False,,Non-stationary,199,False,False,GFC_2008|post_break
UK,CPI,yoy_pct,yoy_pct,COVID_2020,2020-03,pre_break,2002-01,2020-02,-2.1342137802830563,0.23098140805763046,13,204,-2.8758145932936805,14,,0.23893010498566977,0.1,9,0.463,True,,Inconclusive,218,False,False,COVID_2020|pre_break
UK,CPI,yoy_pct,yoy_pct,COVID_2020,2020-03,post_break,2020-03,2025-03,-2.3835033047792806,0.1464467136082025,9,51,-2.920142229157715,10,,0.3599341816173302,0.09442492171666801,5,0.463,False,,Inconclusive,61,False,False,COVID_2020|post_break
UK,CPI,yoy_pct,yoy_pct,ENERGY_2022,2022-02,pre_break,2002-01,2022-01,-2.068467212536108,0.25738161496798795,12,228,-2.8743015807562924,14,,0.20476654635463906,0.1,9,0.463,True,,Inconclusive,241,False,False,ENERGY_2022|pre_break
UK,CPI,yoy_pct,yoy_pct,ENERGY_2022,2022-02,post_break,2022-02,2025-03,-0.3320403480370593,0.920842280110349,0,37,-2.9435394610388332,9,,0.668032886200728,0.01645155579993382,4,0.463,False,,Non-stationary,38,True,False,ENERGY_2022|post_break
UK,POLICY_RATE,first_diff,first_diff,GFC_2008,2008-09,pre_break,2001-02,2008-08,-3.460281208458177,0.00906770849521269,11,79,-2.898885703483903,11,,0.20381164782843833,0.1,0,0.463,True,,Stationary,91,False,False,GFC_2008|pre_break
UK,POLICY_RATE,first_diff,first_diff,GFC_2008,2008-09,post_break,2008-09,2025-03,-4.734334350528533,7.250460069536492e-05,5,193,-2.8766348847254934,14,,0.5374372470980299,0.03323485425720048,8,0.463,False,,Trend-stationary (conflict),199,False,False,GFC_2008|post_break
UK,POLICY_RATE,first_diff,first_diff,COVID_2020,2020-03,pre_break,2001-02,2020-02,-3.4026334075469102,0.010869425844851108,13,215,-2.875078880098608,14,,0.1275444330579893,0.1,8,0.463,True,,Stationary,229,False,False,COVID_2020|pre_break
UK,POLICY_RATE,first_diff,first_diff,COVID_2020,2020-03,post_break,2020-03,2025-03,-1.530264287362777,0.5184904654800957,3,57,-2.913766394626147,10,,0.28731232710096344,0.1,4,0.463,True,,Inconclusive,61,False,False,COVID_2020|post_break
UK,POLICY_RATE,first_diff,first_diff,ENERGY_2022,2022-02,pre_break,2001-02,2022-01,-3.6208915607340377,0.005373959720369697,14,237,-2.8738137461081323,15,,0.11544024790799663,0.1,8,0.463,True,,Stationary,252,False,False,ENERGY_2022|pre_break
UK,POLICY_RATE,first_diff,first_diff,ENERGY_2022,2022-02,post_break,2022-02,2025-03,-0.5975750357838422,0.8715290284879006,2,35,-2.9485102040816327,9,,0.7832236890896197,0.01,3,0.463,True,,Non-stationary,38,True,False,ENERGY_2022|post_break
UK,UNEMPLOYMENT,first_diff,first_diff,GFC_2008,2008-09,pre_break,2001-02,2008-08,-8.021701840346436,2.068002342594796e-12,0,90,-2.894232085048011,11,,0.35493607680059375,0.09657927724112338,2,0.463,False,,Stationary,91,False,False,GFC_2008|pre_break
UK,UNEMPLOYMENT,first_diff,first_diff,GFC_2008,2008-09,post_break,2008-09,2025-03,-5.81870728745651,4.232410897257868e-07,1,197,-2.8763259091636213,14,,0.23775168185162626,0.1,7,0.463,True,,Stationary,199,False,False,GFC_2008|post_break
UK,UNEMPLOYMENT,first_diff,first_diff,COVID_2020,2020-03,pre_break,2001-02,2020-02,-3.6865814014103155,0.004305906955796406,4,224,-2.8745310704320794,14,,0.41228779713618685,0.07185870813095395,8,0.463,False,,Stationary,229,False,False,COVID_2020|pre_break
UK,UNEMPLOYMENT,first_diff,first_diff,COVID_2020,2020-03,post_break,2020-03,2025-03,-4.8218677956387745,4.9382515442168164e-05,0,60,-2.9110731481481484,10,,0.11957157920009374,0.1,4,0.463,True,,Stationary,61,False,False,COVID_2020|post_break
UK,UNEMPLOYMENT,first_diff,first_diff,ENERGY_2022,2022-02,pre_break,2001-02,2022-01,-6.398879711495318,2.0186093214063033e-08,1,250,-2.8731715065600003,15,,0.3143087802383106,0.1,8,0.463,True,,Stationary,252,False,False,ENERGY_2022|pre_break
UK,UNEMPLOYMENT,first_diff,first_diff,ENERGY_2022,2022-02,post_break,2022-02,2025-03,-4.130974462821656,0.0008604375944564275,3,34,-2.9512301791166293,9,,0.0959199865728801,0.1,1,0.463,True,,Stationary,38,True,False,ENERGY_2022|post_break
UK,GDP,level,level,GFC_2008,2008-09,pre_break,2001-01,2008-08,-2.560008872353306,0.10154746906780543,4,87,-2.895382030636155,11,,0.09989999325563739,0.1,5,0.463,True,,Inconclusive,92,False,False,GFC_2008|pre_break
UK,GDP,level,level,GFC_2008,2008-09,post_break,2008-09,2025-03,-3.910896310537549,0.0019561037270079,13,185,-2.8772932777920364,14,,0.1068405050846549,0.1,8,0.463,True,,Stationary,199,False,False,GFC_2008|post_break
