country,indicator,transform,regression,subperiod,start,end,adf_stat,adf_pvalue,adf_usedlag,adf_nobs,adf_crit_5pct,adf_maxlag,adf_error,kpss_stat,kpss_pvalue,kpss_lags,kpss_crit_5pct,kpss_interp_flag,kpss_error,classification,n_obs,small_sample_flag,hard_warn_flag
UK,CPI,yoy_pct,c,full,2002-01,2025-03,-2.4285538833873623,0.13383891521027363,12,266,-2.8724677563219485,15,,0.49055829081540975,0.04379317774427709,10,0.463,False,,Non-stationary,279,False,False
UK,CPI,yoy_pct,c,pre_2020,2002-01,2019-12,-2.087316630787043,0.24964513691833412,13,202,-2.8759570379821047,14,,0.23771309640601324,0.1,9,0.463,True,,Inconclusive,216,False,False
UK,CPI,yoy_pct,c,post_2020,2020-01,2025-03,-2.278492220384552,0.17899850593722016,9,53,-2.9178502070837,10,,0.3867567357591422,0.08286347596588697,5,0.463,False,,Inconclusive,63,False,False
UK,POLICY_RATE,first_diff,c,full,2001-02,2025-03,-3.620210953375608,0.005386187785406423,14,275,-2.8721080938842976,15,,0.3454783828349793,0.1,9,0.463,True,,Stationary,290,False,False
UK,POLICY_RATE,first_diff,c,pre_2020,2001-02,2019-12,-3.385885862423268,0.011449535460828759,13,213,-2.875206950587861,14,,0.12613834309414831,0.1,8,0.463,True,,Stationary,227,False,False
UK,POLICY_RATE,first_diff,c,post_2020,2020-01,2025-03,-2.359921577909048,0.1533691242587562,3,59,-2.911939409384601,10,,0.28656421813570254,0.1,4,0.463,True,,Inconclusive,63,False,False
UK,UNEMPLOYMENT,first_diff,c,full,2001-02,2025-03,-7.3576343373854876,9.686000581255903e-11,1,288,-2.87162848654246,15,,0.20363935957415827,0.1,8,0.463,True,,Stationary,290,False,False
UK,UNEMPLOYMENT,first_diff,c,pre_2020,2001-02,2019-12,-3.712950574366891,0.003934636709219866,4,222,-2.874648939216792,14,,0.4567810976677401,0.05268056135011203,8,0.463,False,,Stationary,227,False,False
UK,UNEMPLOYMENT,first_diff,c,post_2020,2020-01,2025-03,-5.024656757127388,1.983002912967867e-05,0,62,-2.9094272025108254,10,,0.12525790212098692,0.1,4,0.463,True,,Stationary,63,False,False
UK,GDP,level,c,full,2001-01,2025-03,-4.4688682463926925,0.00022374093099988325,13,277,-2.872031361137725,15,,0.044406367843800934,0.1,10,0.463,True,,Stationary,291,False,False
