is_original,p,d,q,P,D,Q,s,n_params,aic,bic,hqic,llf,delta_aic_vs_original,converged,runtime_sec,error
True,3,0,0,1,0,2,12,7,-119.14629258206799,-92.68015100285834,-108.43804381379785,67.57314629103399,0.0,True,0.7238955000011629,
False,3,0,0,1,0,3,12,8,-100.65524867669069,-71.43203202724632,-88.81734937188736,59.327624338345345,18.491043905377296,True,1.829812400001174,
False,3,0,0,2,0,3,12,9,-106.8209513279466,-74.35071060634175,-93.66772987816512,63.4104756639733,12.325341254121383,True,2.3731663999988086,
False,3,0,0,0,0,3,12,7,-38.10791437055844,-12.13172179327455,-27.585337210733258,27.05395718527922,81.03837821150955,True,0.6518839000000298,
False,3,0,0,1,1,3,12,8,-99.83003100412387,-71.1939790514951,-88.21734339286002,58.915015502061934,19.31626157794412,True,2.868736099999296,
False,4,0,0,1,0,3,12,9,-99.09287128897073,-66.62263056736586,-85.93964983918926,59.54643564448536,20.05342129309726,True,2.8699331999996502,
False,3,0,1,1,0,3,12,9,-98.04062691311408,-65.62315676251765,-84.90753006135162,59.02031345655704,21.105665668953904,True,3.783297899999525,
