country,equation,regressor,coef,std_err,t_stat,p_value,ci_lo,ci_hi,signif_5pct
GERMANY,GERMANY_CPI,const,0.1370750769782271,0.062103877863278034,2.207190302673184,0.02730076697511351,0.015351476366202155,0.25879867759025205,True
GERMANY,GERMANY_CPI,GERMANY_D_GFC_2008,-0.04374307394896911,0.05229534218828818,-0.8364621421057573,0.4028949659052692,-0.14624194463801393,0.058755796740075715,False
GERMANY,GERMANY_CPI,GERMANY_D_COVID_2020,0.2821402959065614,0.18485361024058655,1.526290428081748,0.1269375514150504,-0.08017278016498819,0.644453371978111,False
GERMANY,GERMANY_CPI,GERMANY_D_ENERGY_2022,-0.59718620917771,0.22345063450803015,-2.672564392097302,0.007527392628342834,-1.035149452813449,-0.15922296554197096,True
GERMANY,GERMANY_CPI,GERMANY_P_GFC,-0.24143680962223257,0.1670522257606312,-1.4452774186210897,0.14837997805062977,-0.5688591721130697,0.08598555286860454,False
GERMANY,GERMANY_CPI,GERMANY_P_COVID,-0.3918931400250961,0.286657741742462,-1.367111656022112,0.17159031031591154,-0.9537423138403216,0.16995603379012936,False
GERMANY,GERMANY_CPI,GERMANY_GDP_x_D_COVID_2020,0.004211910505312238,0.03134383186640713,0.13437765118394376,0.8931039531107858,-0.057221999952845735,0.06564582096347021,False
GERMANY,GERMANY_CPI,GERMANY_GDP_x_D_ENERGY_2022,0.14043360485751796,0.036609397635851186,3.8359987851860433,0.00012505502541887713,0.06867918549124964,0.2121880242237863,True
GERMANY,GERMANY_CPI,L1.GERMANY_CPI,-0.17137476930857184,0.06093957311963989,-2.812208234083287,0.004920263884414055,-0.29081633262306605,-0.051933205994077664,True
GERMANY,GERMANY_CPI,L1.GERMANY_POLICY_RATE,-0.2386418581589019,0.20490575754705107,-1.1646420335656222,0.244163921824479,-0.640257142951122,0.16297342663331818,False
GERMANY,GERMANY_CPI,L1.GERMANY_UNEMPLOYMENT,-0.3312080168954656,0.32838177827682646,-1.0086065634745927,0.3131633583245992,-0.9748363023180455,0.3124202685271143,False
GERMANY,GERMANY_CPI,L1.GERMANY_GDP,-0.017217604654849502,0.04417814295728238,-0.3897312902332245,0.6967352562170479,-0.10380676485112297,0.06937155554142396,False
GERMANY,GERMANY_CPI,L1.GERMANY_M2,0.06975787098787048,0.06596146057891654,1.0575549779467346,0.2902583774333686,-0.05952659174680594,0.1990423337225469,False
GERMANY,GERMANY_CPI,L2.GERMANY_CPI,0.057530816084725114,0.060593112103442696,0.9494613180869514,0.3423860366890822,-0.061231683638022574,0.17629331580747282,False
GERMANY,GERMANY_CPI,L2.GERMANY_POLICY_RATE,-0.16654408326086825,0.20053900583607775,-0.8304822424272053,0.4062661836795749,-0.5596005346995806,0.22651236817784412,False
GERMANY,GERMANY_CPI,L2.GERMANY_UNEMPLOYMENT,-0.1859689037466995,0.3297035979705172,-0.56404875437037,0.5727209523262913,-0.8321879557689131,0.46025014827551414,False
GERMANY,GERMANY_CPI,L2.GERMANY_GDP,0.017194274978819982,0.036629007345427296,0.4694168972877308,0.638771672744855,-0.054598579418217524,0.08898712937585748,False
GERMANY,GERMANY_CPI,L2.GERMANY_M2,-0.029933813949732702,0.060792684484356006,-0.49239171133223564,0.6224424576619825,-0.14908747553907048,0.08921984763960507,False
GERMANY,GERMANY_POLICY_RATE,const,-0.012006577300820803,0.017622089828187297,-0.6813367437053783,0.49565843857541714,-0.0465458733640679,0.022532718762426296,False
GERMANY,GERMANY_POLICY_RATE,GERMANY_D_GFC_2008,-0.0068897123991762555,0.014838899749007794,-0.46430075785348823,0.6424322810964802,-0.035973955907231535,0.02219453110887902,False
GERMANY,GERMANY_POLICY_RATE,GERMANY_D_COVID_2020,0.02788113754304873,0.05245255267144115,0.531549679148965,0.5950379248579605,-0.07492586569297592,0.13068814077907337,False
GERMANY,GERMANY_POLICY_RATE,GERMANY_D_ENERGY_2022,-0.11062543358423953,0.06340452945844617,-1.7447560060632705,0.08102734977184843,-0.23489831132279404,0.013647444154314972,False
GERMANY,GERMANY_POLICY_RATE,GERMANY_P_GFC,-0.18205652143293796,0.047401377009552874,-3.840743305753498,0.00012266232872625227,-0.2749632203716616,-0.08914982249421433,True
GERMANY,GERMANY_POLICY_RATE,GERMANY_P_COVID,-0.006414115388598276,0.08133966265443036,-0.07885593791860797,0.9371472105004102,-0.16583985419128178,0.15301162341408525,False
GERMANY,GERMANY_POLICY_RATE,GERMANY_GDP_x_D_COVID_2020,-0.008078272618723679,0.008893870072419846,-0.9082966754568005,0.3637214985244871,-0.025510257960666576,0.009353712723219219,False
GERMANY,GERMANY_POLICY_RATE,GERMANY_GDP_x_D_ENERGY_2022,0.027908683189133997,0.010387984066229532,2.6866313050924666,0.0072176573445241095,0.0075482344193241145,0.048269131958943876,True
GERMANY,GERMANY_POLICY_RATE,L1.GERMANY_CPI,0.02160197135673524,0.017291716210859485,1.2492670532707935,0.2115674140979953,-0.012289792416549348,0.05549373513001983,False
GERMANY,GERMANY_POLICY_RATE,L1.GERMANY_POLICY_RATE,0.2361823233925046,0.05814238643448711,4.062136728058572,4.862558130135584e-05,0.12222324598090988,0.35014140080409933,True
