is_original,p,d,q,P,D,Q,s,n_params,aic,bic,hqic,llf,delta_aic_vs_original,converged,runtime_sec,error
True,0,0,3,0,0,2,12,6,340.1059837884969,363.1591175615684,349.4361827278035,-163.05299189424846,0.0,True,0.20163089999914519,
False,0,0,3,0,0,3,12,7,330.965563587617,356.81443252245367,341.43953523951694,-157.4827817938085,-9.14042020087993,True,0.49231180000060704,
False,0,0,3,1,0,3,12,8,331.1521680926427,360.23214564433397,342.93538620103016,-156.57608404632134,-8.953815695854246,True,0.9631167999996251,
False,0,0,3,2,0,3,12,9,331.0297560273676,363.3408421959135,344.12222059224257,-155.5148780136838,-9.076227761129303,True,1.5469622999989951,
False,0,0,3,0,1,3,12,7,334.389597233083,359.7078850244711,344.6594158561888,-159.1947986165415,-5.716386555413919,True,1.5083151000017097,
False,0,0,4,0,0,3,12,8,331.9377720054933,360.96949206891213,343.7025304561114,-156.96888600274664,-8.168211783003642,True,0.7321735999994416,
False,1,0,3,0,0,3,12,8,331.6247387578266,360.7047163095179,343.4079568662141,-156.8123693789133,-8.481245030670323,True,1.1078469999993104,
