country,equation,n_residuals,resid_mean,resid_std,resid_min,resid_max,lb_stat_lag12,lb_pvalue_lag12,lb_reject_wn_lag12_5pct,lb_stat_lag24,lb_pvalue_lag24,lb_reject_wn_lag24_5pct
USA,USA_CPI,284,1.2040446886779867e-15,0.3608547996055161,-1.6479241957982138,1.5211659803724875,96.23999487701266,3.0250581283219207e-15,True,122.7970757669465,3.072441987306636e-15,True
USA,USA_POLICY_RATE,284,-7.040534039964461e-16,0.09395646085168818,-0.7711837230941988,0.24199096703016526,30.621380824746716,0.0022493804737536583,True,42.389681925548004,0.011666841359493477,True
USA,USA_UNEMPLOYMENT,284,-1.8265905220285368e-15,0.46621713210445626,-3.5141051701772232,5.43135134302962,48.90480932038199,2.1733873336371614e-06,True,57.8077330308311,0.0001293960811083603,True
USA,USA_GDP,284,5.882618336112449e-15,0.44803105717133174,-3.547922985722842,2.5276985271140138,98.58540619089234,1.0533663299303985e-15,True,143.86838624815044,4.52216758545596e-19,True
USA,USA_M2,284,1.1977899110744647e-15,0.3858693560009865,-1.4145549009247107,1.3009153363907249,78.67382262554071,7.384625643819564e-12,True,122.51701792088934,3.4482345727139497e-15,True
JAPAN,JAPAN_CPI,295,-1.0537710064238774e-17,0.2793645322040478,-0.9762765729027657,1.898201001519859,38.59897442817746,0.0001224974055139189,True,78.8252549278624,9.351545071430104e-08,True
JAPAN,JAPAN_POLICY_RATE,295,-6.209722002140706e-18,0.023299441499540968,-0.13394380589626115,0.15559242487028208,23.176056720877895,0.026267921239579217,True,46.87186943990068,0.0034725145799963312,True
JAPAN,JAPAN_UNEMPLOYMENT,295,6.586068790149234e-18,0.10507455322668097,-0.3479337054902768,0.2839308702720925,22.056128926608164,0.03689553693492636,True,51.536941195352156,0.0008987410030116599,True
JAPAN,JAPAN_GDP,295,-4.696807914346425e-16,0.4439132225653155,-2.898340767070038,2.3710233756563994,99.98578517335889,5.603569697951633e-16,True,139.64625790942222,2.704966675002672e-18,True
JAPAN,JAPAN_M2,295,3.3005613308347874e-16,0.1650419300756458,-0.9592790581018817,0.7425363127184492,59.65900525119237,2.604496123959956e-08,True,68.31556979870201,3.922695231763324e-06,True
UK,UK_CPI,288,1.4186183092432555e-16,0.3043576722252092,-0.8691542645163874,1.3342096745999228,169.20354608826926,6.94633673079778e-30,True,289.6369028392933,2.0328168671799266e-47,True
UK,UK_POLICY_RATE,288,-3.469446951953614e-18,0.18700485729937333,-1.121997060843814,0.9035199028474403,58.528403708905934,4.1805462555318696e-08,True,81.58891659619191,3.38992384140439e-08,True
UK,UK_UNEMPLOYMENT,288,6.1679056923619804e-18,0.0869278968883072,-0.23074227109510553,0.2311644844694642,18.815035169614138,0.09309103272338685,False,27.45202162144132,0.2838281699328541,False
UK,UK_GDP,288,1.6961740653995446e-16,1.0429108957213853,-8.385193286650317,7.053800716257239,135.28534332796588,5.34440088101031e-23,True,153.27666466045318,8.135125734083094e-21,True
UK,UK_M2,288,2.636779683484747e-16,0.8042333962619808,-4.13006319599591,2.911408280001821,86.64884960766034,2.191719536566926e-13,True,106.00562136451279,2.7910799980745375e-12,True
GERMANY,GERMANY_CPI,288,-3.808681765033523e-16,0.3535683186741536,-1.2229126975064333,1.3528206179601505,94.78816379478823,5.80392974305719e-15,True,160.0918176136979,4.318276531947866e-22,True
GERMANY,GERMANY_POLICY_RATE,288,-1.148772435202419e-16,0.10032566220411886,-0.4796911465029372,0.39018786673695005,19.36577026408327,0.08007542616696796,False,36.52872273793927,0.048729420128368305,True
GERMANY,GERMANY_UNEMPLOYMENT,288,-9.868649107779169e-17,0.062228231264781136,-0.16681492775254103,0.3022602514508096,23.326322603299428,0.0250799039141012,True,39.35467311104652,0.025057351338265685,True
GERMANY,GERMANY_GDP,288,8.15705527814872e-16,0.44265150218046284,-3.2815645177613764,2.5593605946468223,85.25042321575322,4.073782436360483e-13,True,112.5679206697037,2.0021452125813844e-13,True
GERMANY,GERMANY_M2,288,1.2150774213953102e-15,0.31600013532163523,-1.4192079456511641,1.0111249874959487,95.9856847941945,3.391078804964181e-15,True,126.57077834298224,6.455665960806591e-16,True
