country,variable,horizon,n_obs,rmse,mae,medae,rmse_trimmed,mae_trimmed,mase,medase,rmse_to_mae_ratio
USA,CPI,1,58,2.0800466866185747,1.19059888945619,0.4915634909288915,1.308985674122179,0.9069147640284586,3.73325898834838,1.541353546610811,1.7470591523637677
USA,CPI,3,58,6.268473303440743,3.703294623432327,1.4025978152763035,4.8026131172882085,3.0467788915543204,11.6121038427524,4.398005866870697,1.6926747506875188
USA,CPI,6,58,11.785474991488595,6.5819714868300485,2.9990084116380276,7.370032003246837,5.010351060108674,20.63852438623092,9.4037338754733,1.7905691349575585
USA,CPI,12,58,18.996277745721017,10.306926499115624,4.912929973325354,11.047160959446986,7.5910564370131945,32.318546855561614,15.40505383002706,1.8430593977119147
JAPAN,CPI,1,58,0.32013226120514654,0.24290432630540937,0.20829982732409508,0.27209939584830534,0.22439422044847565,0.8926240283743492,0.7654595280527716,1.3179356089468603
JAPAN,CPI,3,58,0.33177484444150834,0.2625254701617254,0.2283088589095052,0.2845825811526797,0.24367940787309147,0.9647277440089413,0.8389886522528153,1.2637815456044046
JAPAN,CPI,6,58,0.32039565774314877,0.24787438323303684,0.209551593191367,0.27506903848653746,0.22916940211295764,0.9108879774092079,0.7700595131910392,1.2925726876824206
JAPAN,CPI,12,58,0.34337306466851997,0.28140327471444615,0.25153737084551225,0.30846168864914275,0.26835569395737485,1.0340998387880453,0.9243487123753776,1.2202170177904206
UK,CPI,1,51,0.8942602202343346,0.6018280472386829,0.3581597971933524,0.7405776745900106,0.5272578118481742,1.8953614209796459,1.1279671415462424,1.4859065215345042
UK,CPI,3,51,0.9957258885167478,0.6182280568264654,0.3134978178238171,0.6372803771395174,0.48059014345883433,1.9470106347691978,0.9873113627569334,1.6106125846634696
UK,CPI,6,51,5.230650730916874,1.7781148626258196,0.425067153876359,1.4779504923303632,0.9262258107808787,5.599889084855003,1.3386811872251432,2.94168326290943
UK,CPI,12,51,138.7548858646566,25.106181774800493,0.3398063007523221,10.214211279070772,2.876978881337342,79.06791413658891,1.0701657325656806,5.526721948772284
GERMANY,CPI,1,51,0.8091257302925479,0.587822262475524,0.4457855053295315,0.6159289789051,0.5098893000827759,1.4785121030680388,1.1212560446865651,1.3764802423185503
GERMANY,CPI,3,51,1.3592018903386822,0.6999552160068876,0.4425543377724208,0.631397404068945,0.5205268911248411,1.7605530183792213,1.1131288935982244,1.941841219632125
GERMANY,CPI,6,51,1.0038501366541555,0.6188439241010344,0.4255012752912466,0.6310745171130422,0.5175446654457174,1.55653892358593,1.0702364057114775,1.6221378243511102
GERMANY,CPI,12,51,1.9149229261056786,0.8999382720359567,0.4802416721043616,0.8143675064424721,0.660442462013939,2.2635577319168,1.2079214584587057,2.127838081353616
