country,lag,aic,aic_delta_from_lag12,bic,bic_delta_from_lag12,hqic,hqic_delta_from_lag12,fpe,fpe_delta_from_lag12,is_extension_zone
USA,0,1.3942821132719236,12.324909629110104,1.4612781390277232,8.30514808376213,1.4211909130253022,10.71038164390739,4.032079655668355,4.032061012897921,False
USA,1,-8.402769334810996,2.5278581810271845,-8.0007931802762,-1.1569232355417922,-8.241316536290725,1.0478741945913619,0.00022425384330440376,0.00020561107287051146,False
USA,2,-9.757765404110673,1.1728621117275075,-9.020809120796878,-2.1769391760624712,-9.461768606823508,-0.17257787594142115,5.785708264172063e-05,3.9214312207828324e-05,False
USA,3,-9.70788038513301,1.2227471307051712,-8.635943973040217,-1.7920740283058096,-9.277339589078952,0.011851141803134624,6.0845690833079616e-05,4.220292039918731e-05,False
USA,4,-9.885846123915341,1.0447813919228395,-8.47892958304355,-1.6350596383091434,-9.32076132909439,-0.031570598212303125,5.097187968424985e-05,3.232910925035755e-05,False
USA,5,-10.015860143288158,0.9147673725500223,-8.27396347363737,-1.4300935289029626,-9.316231349700315,-0.027040618818228168,4.4822550262514155e-05,2.617977982862185e-05,False
USA,6,-10.090211004443294,0.8404165113948867,-8.013334206013507,-1.1694642612791002,-9.256038212088557,0.033152518793530206,4.169996530909861e-05,2.3057194875206304e-05,False
USA,7,-10.088325304863467,0.8423022109747134,-7.6764683776546825,-0.8325984329202756,-9.119608513741838,0.16958221714024901,4.190282804303124e-05,2.3260057609138933e-05,False
USA,8,-10.161746652690114,0.7688808631480661,-7.414909596702333,-0.5710396519679257,-9.058485862801593,0.23070486808049395,3.909010852502781e-05,2.0447338091135508e-05,False
USA,9,-10.323589453175272,0.6070380626629088,-7.241772268408492,-0.39790232367408507,-9.085784664519856,0.20340606636223058,3.341755011484608e-05,1.4774779680953776e-05,False
USA,10,-10.506694002693695,0.423933513144485,-7.089896689147918,-0.2460267444135109,-9.134345215271388,0.15484551561069893,2.800268019559983e-05,9.359909761707527e-06,False
USA,11,-10.588618516711627,0.3420089991265538,-6.836841074386851,0.007028870347555838,-9.081725730522425,0.20746500035966164,2.6000766231986675e-05,7.357995798094371e-06,False
USA,12,-10.93062751583818,0.0,-6.843869944734407,0.0,-9.289190730882087,0.0,1.8642770433892304e-05,0.0,False
USA,13,-11.599954068182912,-0.6693265523447316,-7.1782163683001405,-0.33434642356573363,-9.823973284459925,-0.5347825535778377,9.652687755870021e-06,-8.990082678022283e-06,True
USA,14,-11.74703880681242,-0.8164112909742389,-6.99032097815065,-0.146451033416243,-9.83651402432254,-0.5473232934404528,8.441836781084432e-06,-1.0200933652807872e-05,True
USA,15,-11.825306807947008,-0.8946792921088278,-6.733608850506243,0.11026109422816432,-9.780238026690236,-0.49104729580814954,7.925728828078997e-06,-1.0717041605813307e-05,True
USA,16,-11.847204954025807,-0.9165774381876268,-6.420526867806043,0.42334307692836415,-9.667592174002142,-0.37840144312005464,7.891088391036618e-06,-1.0751682042855686e-05,True
USA,17,-11.778973545018008,-0.8483460291798277,-6.017315330019246,0.8265546147151612,-9.46481676622745,-0.17562603534536336,8.619550346626436e-06,-1.0023220087265868e-05,True
USA,18,-11.709631391045951,-0.7790038752077706,-5.612993047268191,1.2308768974662163,-9.2609306134885,0.02826011739358769,9.451940444139516e-06,-9.190829989752787e-06,True
JAPAN,0,-15.34128766314849,3.8289505058820357,-15.276212183187534,-0.07557829177534714,-15.31518283678471,2.2626609240551456,2.1745204148248518e-07,2.125536811959824e-07,False
JAPAN,1,-18.502654983211983,0.6675831858185433,-18.112202103446243,-2.911568212034057,-18.346026025029293,-0.7681822641894378,9.213262441434584e-09,4.314902154931796e-09,False
JAPAN,2,-19.031386199232536,0.1388519697979902,-18.315555919662014,-3.1149220282498273,-18.74423310923094,-1.1663893483910854,5.4307873155303615e-09,5.324270290275733e-10,False
JAPAN,3,-19.113038002081904,0.057200166948621955,-18.0718303227066,-2.871196431294413,-18.6953607802614,-1.1175170194215447,5.0071042459139965e-09,1.0874395941120833e-10,False
JAPAN,4,-19.066044137349465,0.104194031681061,-17.69945905816938,-2.498825166757195,-18.517842783710055,-0.9399990228702002,5.2522049359159155e-09,3.5384464941312727e-10,False
JAPAN,5,-19.231983237080563,-0.06174506805003688,-17.540020758095697,-2.33938686668351,-18.553257751622244,-0.9754139907823891,4.454854487666639e-09,-4.435057988361496e-10,False
JAPAN,6,-19.203146702619318,-0.032908533588791755,-17.18580682382967,-1.9851729324174823,-18.39389708534209,-0.816053324502235,4.5938836608125755e-09,-3.0447662569021266e-10,False
JAPAN,7,-19.12599851761871,0.04423965141181441,-16.78328123902428,-1.5826473476120935,-18.186224768522578,-0.6083810076827234,4.9753748579713496e-09,7.701457146856138e-11,False
JAPAN,8,-19.050707097274287,0.11953107175623856,-16.382612418875077,-1.1819785274628902,-17.98040921635925,-0.4025654555193938,5.383163971506506e-09,4.848036850037178e-10,False
JAPAN,9,-19.008114354581767,0.16212381444875845,-16.014642276377778,-0.8140083849655912,-17.80729234184782,-0.22944858100796495,5.642569836311825e-09,7.442095498090368e-10,False
JAPAN,10,-18.94345657767116,0.22678159135936582,-15.624607099662386,-0.42397320825019946,-17.612110433118303,-0.034266672278448596,6.0532020564396445e-09,1.1548417699368563e-09,False
JAPAN,11,-18.88943558064144,0.28080258838908634,-15.245208702827883,-0.0445748114156963,-17.427565304269677,0.15027845657017735,6.433093966999329e-09,1.5347336804965408e-09,False
JAPAN,12,-19.170238169030526,0.0,-15.200633891412187,0.0,-17.577843760839855,0.0,4.898360286502788e-09,0.0,False
JAPAN,13,-19.226540503169502,-0.05630233413897656,-14.931558825746384,0.2690750656658025,-17.503621963159926,0.07422179767992887,4.675776253737329e-09,-2.22584032765459e-10,True
JAPAN,14,-19.33784692148364,-0.16760875245311269,-14.717487844255738,0.48314604715644904,-17.484404249655153,0.09343951118470173,4.2316476051731665e-09,-6.667126813296217e-10,True
JAPAN,15,-19.281505132987263,-0.11126696395673719,-14.33576865595458,0.8648652354576072,-17.297538329339872,0.28030543149998266,4.537178845385974e-09,-3.611814411168146e-10,True
JAPAN,16,-19.230339338409543,-0.060101169379016994,-13.959225461572077,1.24140842984011,-17.115848402943243,0.46199535789661184,4.849548926910011e-09,-4.881135959277756e-11,True
JAPAN,17,-19.23404539269042,-0.063807223659893,-13.63755411604817,1.5630797753640167,-16.98903032540521,0.5888134354346448,4.917592058316972e-09,1.923177181418407e-11,True
JAPAN,18,-19.19081438316663,-0.020576214136102777,-13.2689457067196,1.931688184692586,-16.815275184062514,0.7625685767773405,5.2388809810981636e-09,3.4052069459537537e-10,True
UK,0,-7.405670205316786,3.826446865487,-7.339387079098111,-0.15054070763358673,-7.379059832351918,2.229824487594887,0.0006077967408688875,0.0005940312030286625,False
UK,1,-9.909608254012944,1.322508816790842,-9.511909496700886,-2.323063125236362,-9.749946016223733,-0.14106169627692822,4.969667816795287e-05,3.5931140327727884e-05,False
UK,2,-10.56536287164078,0.666754199163007,-9.83624848323534,-2.6474021117708153,-10.272648769027226,-0.6637644490804213,2.5799842137836213e-05,1.2034304297611223e-05,False
UK,3,-10.581633224834919,0.6504838459688678,-9.521103205336097,-2.332256833871573,-10.155867257397022,-0.5469829374502169,2.5395124766967896e-05,1.1629586926742906e-05,False
UK,4,-10.618642358714833,0.6134747120889532,-9.226696708122628,-2.037850336658104,-10.059824526452594,-0.4509402065057895,2.4493498748825755e-05,1.0727960908600765e-05,False
UK,5,-10.677112342660163,0.5550047281436239,-8.953751060974575,-1.7649046895100513,-9.98524264557358,-0.37635832562677507,2.3134514005133204e-05,9.368976164908215e-06,False
UK,6,-10.831187335107781,0.4009297356960051,-8.776410422328812,-1.5875640508642883,-10.006265773196859,-0.3973814532500537,1.987170181981789e-05,6.106163979592902e-06,False
UK,7,-10.755151067660186,0.47696600314360005,-8.368958523787835,-1.1801121523233116,-9.79717764092492,-0.18829332097811502,2.150251635987599e-05,7.736978519651002e-06,False
UK,8,-10.827827922860372,0.4042891479434143,-8.11021974789464,-0.9213733764301155,-9.736802631300762,-0.12791831135395704,2.0070620799005402e-05,6.305082958780412e-06,False
UK,9,-10.800511672121052,0.4316053986827342,-7.751487866061937,-0.562641494597413,-9.5764345157371,0.03244980420970478,2.072631881045581e-05,6.9607809702308196e-06,False
UK,10,-10.723262106782883,0.5088549640209035,-7.342822669630386,-0.1539762981658619,-9.366133085574587,0.2427512343722178,2.252659384005059e-05,8.7610559998256e-06,False
UK,11,-10.804940477557905,0.427176593245882,-7.093085409312025,0.0957609621524993,-9.314759591525267,0.29412472842153825,2.0914078706182884e-05,7.148540865957895e-06,False
UK,12,-11.232117070803787,0.0,-7.188846371464524,0.0,-9.608884319946805,0.0,1.376553784022499e-05,0.0,False
UK,13,-11.340388526205862,-0.10827145540207539,-6.9657021957732175,0.2231441756913064,-9.584103910524536,0.024780409422268335,1.2484652338273896e-05,-1.2808855019510932e-06,True
UK,14,-11.358126147903878,-0.12600907710009146,-6.652024186377851,0.536822185086673,-9.46878966739821,0.1400946525485942,1.2418881150512214e-05,-1.3466566897127758e-06,True
UK,15,-11.408842615010233,-0.17672554420644637,-6.371325022390826,0.8175213490736981,-9.386454269680225,0.22243005026657947,1.1977015026948075e-05,-1.788522813276914e-06,True
UK,16,-11.425417538196282,-0.19330046739249518,-6.056484314483493,1.132362056981031,-9.26997732804193,0.3389069919048744,1.1978639089924876e-05,-1.7868987503001136e-06,True
UK,17,-11.354292469009941,-0.12217539820615464,-5.653943614203769,1.5349027572607552,-9.065800394031246,0.5430839259155587,1.3110126495511251e-05,-6.554113447137381e-07,True
UK,18,-11.255860249522408,-0.02374317871862175,-5.224095763622854,1.9647506078416699,-8.834316309719371,0.7745680102274335,1.4784673770185392e-05,1.0191359299604027e-06,True
GERMANY,0,-10.8439060007654,5.183566876823868,-10.777622874546724,1.2065793037032808,-10.817295627800533,3.5869444989317536,1.9523223835253317e-05,1.940940959099878e-05,False
GERMANY,1,-14.724303447812515,1.3031694297767533,-14.326604690500456,-2.3424025122504517,-14.564641210023304,-0.160401083291017,4.030248321894554e-07,2.8921058793491875e-07,False
GERMANY,2,-15.495639315891031,0.531833561698237,-14.766524927485591,-2.782322749235586,-15.202925213277478,-0.7986850865451913,1.863911099946187e-07,7.257686574008202e-08,False
GERMANY,3,-15.654493816294279,0.3729790612949895,-14.593963796795457,-2.609761618545452,-15.228727848856382,-0.8244877221240952,1.590871085654074e-07,4.5272864310870734e-08,False
GERMANY,4,-15.696179677254799,0.3312932003344695,-14.304234026662593,-2.3200318484125884,-15.137361844992558,-0.7331217182602714,1.5272297901150886e-07,3.890873475697219e-08,False
GERMANY,5,-15.87967500734482,0.1477978702444478,-14.156313725659233,-2.1721115474092283,-15.187805310258238,-0.7835651835259512,1.2729640051128587e-07,1.3482156256749197e-08,False
GERMANY,6,-15.777853369459475,0.2496195081297934,-13.723076456680506,-1.738874278430501,-14.952931807548552,-0.5486916808162654,1.412294602406747e-07,2.7415215986138028e-08,False
GERMANY,7,-15.809661631929167,0.21781124566010135,-13.423469088056816,-1.4392669098068112,-14.8516882051939,-0.4474480784616137,1.371965656115044e-07,2.338232135696772e-08,False
GERMANY,8,-15.877697262266594,0.14977561532267458,-13.160089087300861,-1.1758869090508561,-14.786671970706983,-0.38243184397469676,1.2865611035979414e-07,1.4841866105257474e-08,False
GERMANY,9,-15.807359342040538,0.22011353554873025,-12.758335535981423,-0.7741333577314187,-14.583282185656586,-0.17904205892429914,1.386998078363188e-07,2.4885563581782136e-08,False
GERMANY,10,-15.761599836041398,0.26587304154787006,-12.381160398888902,-0.3969582206388971,-14.404470814833102,-0.00023068810081561253,1.460741120111717e-07,3.225986775663503e-08,False
GERMANY,11,-15.772087891090045,0.25538498649922303,-12.060232822844165,-0.07603064459416053,-14.281907005057407,0.12233312167487931,1.4562435861423469e-07,3.1810114359698015e-08,False
GERMANY,12,-16.02747287758927,0.0,-11.984202178250005,0.0,-14.404240126732287,0.0,1.1381424425453667e-07,0.0,False
GERMANY,13,-15.955647354690466,0.07182552289880206,-11.580961024257821,0.40324115399218385,-14.199362739009143,0.204877387723144,1.2359332361290382e-07,9.779079358367153e-09,True
GERMANY,14,-15.946089673111587,0.08138320447768166,-11.23998771158556,0.7442144666644452,-14.05675319260592,0.34748693412636733,1.2634417639584625e-07,1.2529932141309579e-08,True
GERMANY,15,-15.917620926212862,0.10985195137640602,-10.880103333593453,1.1040988446565514,-13.895232580882851,0.5090075458494354,1.3188975264801753e-07,1.8075508393480855e-08,True
GERMANY,16,-15.819705849930747,0.20776702765852129,-10.450772626217958,1.5334295520320467,-13.664265639776396,0.7399744869558909,1.4790822128868798e-07,3.4093977034151306e-08,True
GERMANY,17,-15.762646769630804,0.2648261079584646,-10.062297914824631,1.9219042634253736,-13.47415469465211,0.9300854320801761,1.596183933406672e-07,4.580414908613052e-08,True
GERMANY,18,-15.809877445248416,0.2175954323408522,-9.778112959348862,2.206089218901143,-13.38833350544538,1.0159066212869075,1.5560631121026242e-07,4.1792066955725746e-08,True
