country,equation,regressor,coef,std_err,t_stat,p_value,ci_lo,ci_hi,signif_5pct
USA,USA_CPI,const,0.0950633150891758,0.19121669229192295,0.4971496680009839,0.6190835117027913,-0.27972140180299315,0.4698480319813448,False
USA,USA_CPI,USA_D_GFC_2008,-0.1377788449637109,0.18102773505402942,-0.7610924642159916,0.4466018412033068,-0.49259320566960857,0.21703551574218677,False
USA,USA_CPI,USA_D_COVID_2020,0.04119777034924731,0.17879204486219705,0.2304228377778232,0.8177632165751046,-0.3092346375806589,0.39163017827915353,False
USA,USA_CPI,USA_D_ENERGY_2022,0.09226908098024865,0.20820358183261667,0.443167596676735,0.6576445146693203,-0.31580993941168,0.5003481013721773,False
USA,USA_CPI,USA_P_GFC,-0.26963046653919304,0.15081096206863437,-1.7878704759968553,0.07379690719027189,-0.5652199521937165,0.02595901911533033,False
USA,USA_CPI,USA_P_COVID,-0.06357745267670933,0.24907446627823132,-0.2552547984010912,0.7985263094028118,-0.5517634065820427,0.42460850122862404,False
USA,USA_CPI,USA_M2_x_D_GFC_2008,0.010047442027508893,0.02939457817594299,0.34181276449586495,0.7324918028892781,-0.047565931197339366,0.06766081525235715,False
USA,USA_CPI,USA_POLICY_RATE_x_D_COVID_2020,0.2582608588906345,0.4590069638404746,0.5626512868776249,0.5736723612016531,-0.6413927902366958,1.1579145080179647,False
USA,USA_CPI,USA_POLICY_RATE_x_D_ENERGY_2022,0.3343574849034089,0.5734690003816938,0.5830436949178852,0.5598638858573055,-0.789641755844711,1.4583567256515289,False
USA,USA_CPI,L1.USA_CPI,1.2602931456511106,0.05571421949737435,22.62067308886028,2.7130937803777775e-113,1.1510932754362568,1.3694930158659644,True
USA,USA_CPI,L1.USA_POLICY_RATE,0.17340110860127386,0.20125700558655082,0.8615904231304014,0.38891294288750977,-0.22106262234836574,0.5678648395509135,False
USA,USA_CPI,L1.USA_UNEMPLOYMENT,0.052060540144484156,0.04007663566689334,1.2990247129823456,0.19393544823803144,-0.026489665762626784,0.1306107460515951,False
USA,USA_CPI,L1.USA_GDP,0.13864429474139642,0.04498674844334277,3.081891880139056,0.0020568953325113756,0.05047026779244458,0.22681832169034827,True
USA,USA_CPI,L1.USA_M2,-0.0034247829889801143,0.05337454073696943,-0.06416510459279638,0.9488387626150337,-0.10803888283344018,0.10118931685547997,False
USA,USA_CPI,L2.USA_CPI,-0.37673869982473507,0.056162428052825765,-6.708020163771744,1.9728267670350888e-11,-0.4868170588082736,-0.26666034084119655,True
USA,USA_CPI,L2.USA_POLICY_RATE,-0.4886319384309747,0.2071284332872683,-2.3590770744318172,0.018320450261560182,-0.8946036676740206,-0.08266020918792882,True
USA,USA_CPI,L2.USA_UNEMPLOYMENT,0.03320925390887084,0.037955653365612976,0.8749488143170189,0.38160175697049925,-0.041183826687730594,0.10760233450547227,False
USA,USA_CPI,L2.USA_GDP,-0.08732915369808324,0.04466997137870347,-1.954985664927416,0.050584762284100214,-0.17488229760034202,0.0002239902041755587,False
USA,USA_CPI,L2.USA_M2,0.004051746176773674,0.03652858102453123,0.1109198896626363,0.9116798732551743,-0.06754427263130754,0.07564776498485488,False
USA,USA_POLICY_RATE,const,0.10194341930442702,0.049787459341418525,2.047572233106894,0.0406019323963094,0.004359998995246708,0.19952683961360734,True
USA,USA_POLICY_RATE,USA_D_GFC_2008,-0.13119897509953563,0.04713454087424502,-2.7834995879046445,0.005377593079016921,-0.22358267521305586,-0.03881527498601539,True
USA,USA_POLICY_RATE,USA_D_COVID_2020,-0.055783341785576174,0.04655242990269903,-1.1982906564097946,0.23080388282250208,-0.1470261043948663,0.035459420823713936,False
USA,USA_POLICY_RATE,USA_D_ENERGY_2022,0.07499689249308285,0.05421036856658862,1.3834418484161635,0.166529426335718,-0.03125542989743084,0.18124921488359652,False
USA,USA_POLICY_RATE,USA_P_GFC,-0.05966379993781427,0.03926694135452058,-1.5194409821519117,0.12865153288802167,-0.1366270049926746,0.017299405117046064,False
USA,USA_POLICY_RATE,USA_P_COVID,0.07193679563849066,0.06485199965639599,1.1092456056811186,0.2673242434267482,-0.05517312368804546,0.1990467149650268,False
USA,USA_POLICY_RATE,USA_M2_x_D_GFC_2008,0.02185663962538734,0.007653523069830489,2.855761905460804,0.004293369626294838,0.0068557344085195815,0.0368575448422551,True
USA,USA_POLICY_RATE,USA_POLICY_RATE_x_D_COVID_2020,0.9174213908767922,0.11951252934941027,7.676361598829463,1.6367070577603476e-14,0.6831768333519481,1.1516659484016363,True
USA,USA_POLICY_RATE,USA_POLICY_RATE_x_D_ENERGY_2022,-0.11242896419188717,0.1493152307879009,-0.7529638041519696,0.4514716650739595,-0.40508681653617296,0.1802288881523986,False
USA,USA_POLICY_RATE,L1.USA_CPI,-0.01652163575984967,0.014506418894275383,-1.1389189765069823,0.2547369498927414,-0.04495421679262942,0.01191094527293008,False
USA,USA_POLICY_RATE,L1.USA_POLICY_RATE,0.3761915279345631,0.05240167509810697,7.17899813756437,7.022410275885322e-13,0.27348424474227345,0.4788988111268528,True
USA,USA_POLICY_RATE,L1.USA_UNEMPLOYMENT,0.024138780295146548,0.010434831001888313,2.313289049988288,0.020706752326708662,0.003686511531445457,0.04459104905884764,True
USA,USA_POLICY_RATE,L1.USA_GDP,0.013138370703220128,0.011713286545121148,1.1216639030053064,0.2620053698998809,-0.009819670925217322,0.03609641233165758,False
USA,USA_POLICY_RATE,L1.USA_M2,-0.014950766786794675,0.013897232218366331,-1.0758089489960463,0.2820127091736869,-0.04218934193479268,0.012287808361203332,False
USA,USA_POLICY_RATE,L2.USA_CPI,-0.007797954056775074,0.014623119821184763,-0.5332619955338153,0.5938522315934317,-0.03645926890629721,0.02086336079274706,False
USA,USA_POLICY_RATE,L2.USA_POLICY_RATE,0.09885955140925877,0.05393043006411835,1.8330940675185383,0.06678858321195136,-0.0068440915164132005,0.20456319433493075,False
USA,USA_POLICY_RATE,L2.USA_UNEMPLOYMENT,0.00418708070412231,0.009882586745264255,0.4236826664970852,0.6717972580397005,-0.015182789316595629,0.02355695072484025,False
USA,USA_POLICY_RATE,L2.USA_GDP,0.0006138226074186084,0.011630806689220568,0.05277558331250568,0.957910716075793,-0.022182558503453704,0.02341020371829092,False
USA,USA_POLICY_RATE,L2.USA_M2,-0.0026943214715864916,0.009511017164662993,-0.2832842612877316,0.776958941031576,-0.02133591511432596,0.015947272171152976,False
USA,USA_UNEMPLOYMENT,const,0.6250072866564157,0.2470481146109103,2.5299010585074657,0.011409469547685238,0.1407929820190315,1.1092215912938,True
USA,USA_UNEMPLOYMENT,USA_D_GFC_2008,-0.6278407508245152,0.23388418710383924,-2.6844087178316514,0.007265822136107511,-1.08625375754804,-0.16942774410099026,True
USA,USA_UNEMPLOYMENT,USA_D_COVID_2020,-0.11333796152589154,0.23099572041128147,-0.4906496160365934,0.623674287641196,-0.5660895735320033,0.33941365048022015,False
USA,USA_UNEMPLOYMENT,USA_D_ENERGY_2022,0.2411906914396259,0.2689948337170301,0.8966368911506575,0.36991270596589565,-0.286039182645753,0.7684205655250048,False
USA,USA_UNEMPLOYMENT,USA_P_GFC,0.22995692236229429,0.19484472508725328,1.1802060448868577,0.23791827541461275,-0.15193873880872213,0.6118525835333107,False
USA,USA_UNEMPLOYMENT,USA_P_COVID,-0.808284138405365,0.32179919312596017,-2.511765584474236,0.012012885580654666,-1.4390105569322469,-0.177557719878483,True
USA,USA_UNEMPLOYMENT,USA_M2_x_D_GFC_2008,0.09349915247388284,0.03797720288489934,2.461981014169434,0.013817198073873582,0.019063834819480124,0.16793447012828555,True
USA,USA_UNEMPLOYMENT,USA_POLICY_RATE_x_D_COVID_2020,-5.443707859488786,0.5930277511387402,-9.179516218314745,4.3303247220967544e-20,-6.606042251720717,-4.281373467256855,True
USA,USA_UNEMPLOYMENT,USA_POLICY_RATE_x_D_ENERGY_2022,6.7692529205759016,0.7409103966499541,9.136398883297167,6.456654684859953e-20,5.317068543141992,8.221437298009812,True
USA,USA_UNEMPLOYMENT,L1.USA_CPI,0.030109809419274988,0.0719816492946738,0.418298409585107,0.6757289523132295,-0.11097422319828565,0.17119384203683563,False
USA,USA_UNEMPLOYMENT,L1.USA_POLICY_RATE,-2.061775897386811,0.26001999713753554,-7.929297438982167,2.2038911730365853e-15,-2.5714150917763807,-1.5521367029972413,True
USA,USA_UNEMPLOYMENT,L1.USA_UNEMPLOYMENT,-0.06905347456602638,0.051778205986008345,-1.3336397669839355,0.1823219435730824,-0.17053875829860274,0.032431809166549974,False
USA,USA_UNEMPLOYMENT,L1.USA_GDP,-0.027064521174181923,0.05812197278486545,-0.46565042233441417,0.6414657449028702,-0.14098358783251821,0.08685454548415436,False
