country,form,category,n_features,sum_abs_coef,mean_abs_coef,max_abs_coef,top_feature,top_feature_coef
USA,primary,base,4,0.11813866534104756,0.02953466633526189,0.06253909764141428,USA_POLICY_RATE,0.06253909764141428
USA,primary,lag,20,1.4624288725476355,0.07312144362738178,0.3895643467927136,USA_CPI_lag1,0.3895643467927136
USA,primary,rolling,20,1.8621403778476653,0.09310701889238326,0.713829379569579,USA_CPI_roll3_mean,0.713829379569579
USA,primary,split,3,0.045936638092595156,0.015312212697531719,0.045936638092595156,USA_D_GFC_2008,-0.045936638092595156
USA,primary,period,2,0.09281245829250237,0.046406229146251185,0.09281245829250237,USA_P_GFC,-0.09281245829250237
USA,primary,interaction,3,0.05701752587361079,0.01900584195787026,0.05701752587361079,USA_M2_x_D_GFC_2008,-0.05701752587361079
JAPAN,primary,base,4,0.005005885558958253,0.0012514713897395632,0.0027289482079272506,JAPAN_POLICY_RATE,0.0027289482079272506
JAPAN,primary,lag,20,0.026861798069003726,0.0013430899034501862,0.006886695616356789,JAPAN_CPI_lag12,0.006886695616356789
JAPAN,primary,rolling,20,0.035140228740865066,0.0017570114370432533,0.009968710339411107,JAPAN_CPI_roll3_mean,0.009968710339411107
JAPAN,primary,split,3,8.629977884891208e-05,2.876659294963736e-05,8.629977884891208e-05,JAPAN_D_GFC_2008,8.629977884891208e-05
JAPAN,primary,period,2,0.0026035365220633015,0.0013017682610316507,0.0026035365220633015,JAPAN_P_GFC,-0.0026035365220633015
JAPAN,primary,interaction,0,0.0,0.0,0.0,,0.0
UK,primary,base,4,0.037358302556195,0.00933957563904875,0.01764958188652422,UK_POLICY_RATE,0.01764958188652422
UK,primary,lag,20,0.2752206799172512,0.01376103399586256,0.09906678267404866,UK_CPI_lag12,0.09906678267404866
UK,primary,rolling,20,0.17957323073132278,0.00897866153656614,0.07946465193663065,UK_CPI_roll3_mean,0.07946465193663065
UK,primary,split,3,0.007547268764862131,0.0025157562549540436,0.007547268764862131,UK_D_GFC_2008,-0.007547268764862131
UK,primary,period,2,0.013628061607276675,0.006814030803638338,0.013628061607276675,UK_P_GFC,-0.013628061607276675
UK,primary,interaction,1,0.0,0.0,0.0,UK_GDP_x_D_ENERGY_2022,0.0
GERMANY,primary,base,4,0.07511639808730596,0.01877909952182649,0.04024521064318,GERMANY_UNEMPLOYMENT,-0.04024521064318
GERMANY,primary,lag,20,0.4606476020369619,0.023032380101848098,0.1253177894374261,GERMANY_CPI_lag12,0.1253177894374261
GERMANY,primary,rolling,20,0.43840031249400685,0.02192001562470034,0.15349300679409034,GERMANY_CPI_roll3_mean,0.15349300679409034
GERMANY,primary,split,3,0.008338513649643033,0.002779504549881011,0.008338513649643033,GERMANY_D_GFC_2008,-0.008338513649643033
GERMANY,primary,period,2,0.02251877013759113,0.011259385068795565,0.02251877013759113,GERMANY_P_GFC,-0.02251877013759113
GERMANY,primary,interaction,2,0.0,0.0,0.0,GERMANY_GDP_x_D_COVID_2020,0.0
USA,first_diff_secondary,base,4,0.10631245209027955,0.026578113022569887,0.07412498913307777,USA_POLICY_RATE,0.07412498913307777
USA,first_diff_secondary,lag,20,0.9105067214922421,0.04552533607461211,0.13609019122188074,USA_POLICY_RATE_lag3,-0.13609019122188074
USA,first_diff_secondary,rolling,20,0.8988181835228417,0.04494090917614209,0.35600586068109513,USA_CPI_roll3_mean,0.35600586068109513
USA,first_diff_secondary,split,3,0.003904026150064874,0.0013013420500216247,0.003904026150064874,USA_D_GFC_2008,-0.003904026150064874
USA,first_diff_secondary,period,2,0.0015780329782652176,0.0007890164891326088,0.0015780329782652176,USA_P_GFC,0.0015780329782652176
USA,first_diff_secondary,interaction,3,0.0012851994935858871,0.0004283998311952957,0.0012851994935858871,USA_M2_x_D_GFC_2008,0.0012851994935858871
