date,USA_CPI_roll3_mean,USA_CPI_roll3_std,USA_CPI_roll12_mean,USA_CPI_roll12_std,USA_POLICY_RATE_roll3_mean,USA_POLICY_RATE_roll3_std,USA_POLICY_RATE_roll12_mean,USA_POLICY_RATE_roll12_std,USA_UNEMPLOYMENT_roll3_mean,USA_UNEMPLOYMENT_roll3_std,USA_UNEMPLOYMENT_roll12_mean,USA_UNEMPLOYMENT_roll12_std,USA_GDP_roll3_mean,USA_GDP_roll3_std,USA_GDP_roll12_mean,USA_GDP_roll12_std,USA_M2_roll3_mean,USA_M2_roll3_std,USA_M2_roll12_mean,USA_M2_roll12_std
2001-01-01,,,,,,,,,,,,,,,,,,,,
2001-02-01,,,,,,,,,,,,,,,,,,,,
2001-03-01,,,,,,,,,,,,,4.257798333333334,0.4205686162237186,,,7.181039000000001,0.5249114526593984,,
2001-04-01,,,,,-0.39333333333333353,0.1850225211517052,,,0.06666666666666672,0.05773502691896263,,,3.8405929999999997,0.4138239700778583,,,7.558083333333333,0.3297352844333368,,
2001-05-01,,,,,-0.42666666666666675,0.21733231083604007,,,0.033333333333333215,0.11547005383792551,,,3.4848356666666667,0.3287810029675277,,,7.838653333333333,0.1638656325479308,,
2001-06-01,,,,,-0.4466666666666665,0.18339392937971896,,,0.06666666666666672,0.15275252316519508,,,3.1886150000000004,0.2390872078154748,,,8.108399333333333,0.37158330928922806,,
2001-07-01,,,,,-0.34333333333333327,0.21455380055672119,,,0.06666666666666643,0.152752523165195,,,2.9500723333333334,0.23799770685940086,,,8.425431666666668,0.3668071537829306,,
2001-08-01,,,,,-0.18666666666666668,0.06110100926607766,,,0.20000000000000018,0.10000000000000053,,,2.728839666666667,0.21306309432262827,,,8.686053333333334,0.15117076357991407,,
2001-09-01,,,,,-0.3000000000000001,0.24576411454889008,,,0.16666666666666666,0.11547005383792576,,,2.525025,0.1869954467707696,,,9.279583666666667,0.8809964642348649,,
2001-10-01,,,,,-0.4266666666666666,0.26558112382722765,,,0.2333333333333334,0.11547005383792551,,,2.338732333333333,0.18558793941507357,,,9.599888,0.7511664477271334,,
2001-11-01,,,,,-0.52,0.10392304845413215,,,0.19999999999999987,0.10000000000000009,,,2.3083923333333334,0.14244659692787692,,,10.111462666666666,0.3572523145290082,,
2001-12-01,,,,,-0.4166666666666666,0.15567059238447464,,,0.2333333333333334,0.05773502691896238,,,2.433327666666667,0.27984705649753255,3.1011915,0.8014090525534613,10.148976333333332,0.3906903858355536,8.679499583333333,1.2777041625349643
2002-01-01,,,,,-0.2533333333333334,0.15567059238447487,-0.3541666666666667,0.1910001586545429,0.13333333333333344,0.11547005383792527,0.125,0.12154310870109962,2.7128673333333335,0.2792320562548894,2.9605662500000007,0.6287347577092104,10.147110666666666,0.39390886365418853,8.932628416666667,1.1332115180547284
2002-02-01,,,,,-0.11666666666666663,0.14189197769195147,-0.3125,0.2120516660885008,0.06666666666666672,0.11547005383792529,0.125,0.12154310870109962,2.86873,0.14225565565910103,2.8476994166666665,0.4788371368263784,9.844907,0.5055606875153565,9.120269083333334,0.9946123948052656
2002-03-01,1.2317084729315624,0.11741837856829242,,,-0.030000000000000027,0.05291502622129141,-0.2983333333333333,0.2268693389810464,0.0,0.0,0.1166666666666667,0.12673044646258494,2.901367333333333,0.0905067514185219,2.76208375,0.36357947556236614,9.181356333333333,0.6738980454715173,9.179578916666667,0.9211404215966068
2002-04-01,1.3810721920967772,0.2543031169279521,,,0.006666666666666672,0.01527525231651797,-0.25416666666666665,0.23341178334878593,0.06666666666666672,0.11547005383792529,0.125,0.12880570286640705,2.811227666666667,0.08977174801870517,2.7032249166666666,0.2970871897270265,8.304497,1.188295794010478,9.119231833333334,1.0370486757147843
2002-05-01,1.4158958944331612,0.20674421950917993,,,0.003333333333333336,0.015275252316517966,-0.205,0.21786150730139628,0.033333333333333215,0.152752523165195,0.125,0.12880570286640705,2.8536846666666666,0.15784980535095364,2.6899116666666667,0.276222940884331,7.698218999999999,0.6812860206689899,9.0851605,1.082113275151787
2002-06-01,1.3180144852859972,0.29505690472844087,,,0.006666666666666672,0.011547005383790524,-0.18500000000000003,0.22524733879973727,0.033333333333333215,0.152752523165195,0.10833333333333332,0.13113721705515083,3.028498666666667,0.3069240000543036,2.7220546666666667,0.3269814777804942,7.293695,0.28545311034035736,8.975902833333334,1.2041558742094232
2002-07-01,1.2585556522726415,0.19879159583047956,,,-0.006666666666666672,0.011547005383790514,-0.17,0.23009879301172903,-0.03333333333333351,0.05773502691896291,0.10000000000000002,0.1348399724926486,3.3354319999999995,0.30694300004398417,2.799564833333333,0.42113384481072175,7.408806666666667,0.2043015009154823,8.865075583333333,1.286361842554098
2002-08-01,1.427431857694783,0.34073112169460235,,,-0.003333333333333336,0.015275252316517962,-0.15916666666666665,0.2356599373262372,-0.033333333333333215,0.057735026918962394,0.06666666666666665,0.13026778945578596,3.5533219999999996,0.18974902312265407,2.8960322499999998,0.480772632719294,7.378831000000001,0.16144196556962895,8.758354916666667,1.3437492049726496
2002-09-01,1.576360012077882,0.15030635263286615,,,0.0,0.01732050807568745,-0.10999999999999999,0.19849433241279202,-0.033333333333333215,0.057735026918962394,0.05833333333333335,0.1311372170551507,3.682109666666667,0.03970552586649583,3.0113258333333337,0.5003476304555814,6.8895290000000005,1.0001115828651221,8.378389166666667,1.504416893052154
2002-10-01,1.763497544198504,0.2558894351665591,,,0.006666666666666672,0.005773502691892263,-0.06166666666666668,0.13367758589119186,-0.033333333333333215,0.057735026918962394,0.03333333333333336,0.10730867399773206,3.7217376666666664,0.03955002498526378,3.145316166666667,0.46365289922523856,6.686097,0.8985823285893054,8.136627833333334,1.5058900922996172
2002-11-01,1.932183466572283,0.3777962421934044,,,-0.1333333333333333,0.23965252624024908,-0.06249999999999998,0.13598963864273558,0.06666666666666672,0.11547005383792526,0.03333333333333336,0.10730867399773206,3.7325646666666668,0.02510814677221308,3.2520753333333334,0.4312183217724425,6.471335666666666,0.6375772513243466,7.848323166666667,1.3711577133289303
2002-12-01,2.2536062429198,0.22662178596059276,1.5949223033038102,0.4550748314073379,-0.17,0.21377558326431934,-0.04833333333333334,0.12036560467126303,0.09999999999999994,0.10000000000000007,0.024999999999999984,0.09653072991634233,3.7147616666666665,0.046441113706876265,3.331684333333333,0.4103408249610269,6.635542,0.35418250990270234,7.500030583333334,1.179022360740105
2003-01-01,2.4970826963005934,0.25238793996249254,1.725052021217129,0.5449842131160183,-0.17,0.2137755832643193,-0.04083333333333333,0.1203372785385335,0.033333333333333215,0.20816659994661338,0.008333333333333304,0.11645001528813158,3.6684976666666667,0.04608661265850512,3.38422375,0.40319402669572457,6.513089000000001,0.3324954904641212,7.228122416666667,0.9877641898781886
2003-02-01,2.7945981259571853,0.33444878510937853,1.8925273361643533,0.6468975387173769,-0.02666666666666669,0.06429100507328596,-0.04,0.12075519939869327,0.0,0.17320508075688787,0.01666666666666668,0.11934162828797112,3.6695213333333334,0.047632256563541954,3.4522731666666666,0.38263184979793147,6.3936969999999995,0.1493214448730504,6.985520666666666,0.7179422481779304
