variant,country,break_name,break_date,F,p_value,reject_nom,alpha_bonf,reject_bonf,n_total,n_pre,n_post,error
classical,USA,GFC_2008,2008-09,9.693155711180635,1.527573667559068e-08,True,0.004166666666666667,True,286,80,206,
classical,USA,COVID_2020,2020-03,19.95037364846259,1.1102230246251565e-16,True,0.004166666666666667,True,286,218,68,
classical,USA,ENERGY_2022,2022-02,34.909694847519944,1.1102230246251565e-16,True,0.004166666666666667,True,286,241,45,
classical,JAPAN,GFC_2008,2008-09,1.5645248025509237,0.1700820030647,False,0.004166666666666667,False,297,91,206,
classical,JAPAN,COVID_2020,2020-03,4.094156654034589,0.0013183549617787893,True,0.004166666666666667,True,297,229,68,
classical,JAPAN,ENERGY_2022,2022-02,5.947261730331207,2.9841583124468052e-05,True,0.004166666666666667,True,297,252,45,
classical,UK,GFC_2008,2008-09,1.7133928093515252,0.13152463859097552,False,0.004166666666666667,False,290,91,199,
classical,UK,COVID_2020,2020-03,5.020681337115245,0.00020148796334584773,True,0.004166666666666667,True,290,229,61,
classical,UK,ENERGY_2022,2022-02,7.135420931941686,2.6600071626470267e-06,True,0.004166666666666667,True,290,252,38,
classical,GERMANY,GFC_2008,2008-09,0.8324857671152669,0.5274841569119574,False,0.004166666666666667,False,290,91,199,
classical,GERMANY,COVID_2020,2020-03,5.705360300478698,4.964894770886907e-05,True,0.004166666666666667,True,290,229,61,
classical,GERMANY,ENERGY_2022,2022-02,5.240904221280366,0.00012845708168107706,True,0.004166666666666667,True,290,252,38,
hac,USA,GFC_2008,2008-09,6.196285207616588,1.8325753786082406e-05,True,0.004166666666666667,True,286,80,206,
hac,USA,COVID_2020,2020-03,8.224634932469593,2.9402842636606175e-07,True,0.004166666666666667,True,286,218,68,
hac,USA,ENERGY_2022,2022-02,33.67273005315921,8.41426071765765e-27,True,0.004166666666666667,True,286,241,45,
hac,JAPAN,GFC_2008,2008-09,2.166060933535946,0.057968402213453875,False,0.004166666666666667,False,297,91,206,
hac,JAPAN,COVID_2020,2020-03,4.344526905095695,0.0007931892278172091,True,0.004166666666666667,True,297,229,68,
hac,JAPAN,ENERGY_2022,2022-02,11.595089867699453,3.2436884096014296e-10,True,0.004166666666666667,True,297,252,45,
hac,UK,GFC_2008,2008-09,2.1041548680695445,0.06508309415390974,False,0.004166666666666667,False,290,91,199,
hac,UK,COVID_2020,2020-03,4.825803420703408,0.00029993017798167346,True,0.004166666666666667,True,290,229,61,
hac,UK,ENERGY_2022,2022-02,8.45684034992924,1.8077208989130443e-07,True,0.004166666666666667,True,290,252,38,
hac,GERMANY,GFC_2008,2008-09,0.9087032889113343,0.47573192241699536,False,0.004166666666666667,False,290,91,199,
hac,GERMANY,COVID_2020,2020-03,3.670397602625733,0.003113630482031286,True,0.004166666666666667,True,290,229,61,
hac,GERMANY,ENERGY_2022,2022-02,4.689839510785218,0.000395735226122513,True,0.004166666666666667,True,290,252,38,
covid_dummy,USA,GFC_2008,2008-09,6.724044672983145,6.247976407433505e-06,True,0.004166666666666667,True,286,80,206,
covid_dummy,USA,ENERGY_2022,2022-02,27.6804681967281,1.1044496484733663e-22,True,0.004166666666666667,True,286,241,45,
covid_dummy,JAPAN,GFC_2008,2008-09,2.1652384078269984,0.058067857028329666,False,0.004166666666666667,False,297,91,206,
covid_dummy,JAPAN,ENERGY_2022,2022-02,11.599568584504699,3.238203168049535e-10,True,0.004166666666666667,True,297,252,45,
covid_dummy,UK,GFC_2008,2008-09,2.130688334162966,0.061985375353625825,False,0.004166666666666667,False,290,91,199,
covid_dummy,UK,ENERGY_2022,2022-02,8.522446813202539,1.5893404877101852e-07,True,0.004166666666666667,True,290,252,38,
covid_dummy,GERMANY,GFC_2008,2008-09,0.9093562283471446,0.4753080472797988,False,0.004166666666666667,False,290,91,199,
covid_dummy,GERMANY,ENERGY_2022,2022-02,4.8496972040504716,0.00028603190361648184,True,0.004166666666666667,True,290,252,38,
