country,form,feature_name,category,selected_alpha,coef_full_train,coef_fold_mean,coef_fold_std,coef_fold_min,coef_fold_max,abs_coef_full,sign_stable,n_folds_same_sign_as_full,rank_abs_full
USA,primary,USA_POLICY_RATE,base,10.0,0.06253909764141428,0.05338387532150425,0.015577453928531961,0.03697913618502647,0.0777694320038994,0.06253909764141428,True,5,15
USA,primary,USA_UNEMPLOYMENT,base,10.0,-0.018799799325865105,0.0034091497692340608,0.017414438437330933,-0.019097495691378513,0.02894250124608521,0.018799799325865105,False,2,39
USA,primary,USA_GDP,base,10.0,-0.015860127374210116,-0.02758996519278702,0.008792349402717644,-0.03623911723021538,-0.014430983267358796,0.015860127374210116,True,5,41
USA,primary,USA_M2,base,10.0,-0.02093964099955806,-0.05013522324657409,0.02499478008183154,-0.0896797511656736,-0.02282603691476645,0.02093964099955806,True,5,37
USA,primary,USA_CPI_lag1,lag,10.0,0.3895643467927136,0.3190444438039397,0.1568605612430424,0.10707304031999326,0.44457848347680134,0.3895643467927136,True,5,2
USA,primary,USA_CPI_lag3,lag,10.0,-0.18672779352371965,-0.13794211283490548,0.018127334442132836,-0.1633743488974544,-0.12291918550382648,0.18672779352371965,True,5,4
USA,primary,USA_CPI_lag6,lag,10.0,-0.0466394378420463,-0.034857998547837686,0.020538064438245397,-0.0639758712940371,-0.014813033926649788,0.0466394378420463,True,5,24
USA,primary,USA_CPI_lag12,lag,10.0,-0.15882823573560367,-0.23574779267721171,0.1073335830538364,-0.3537628768235361,-0.08461528129273695,0.15882823573560367,True,5,6
USA,primary,USA_POLICY_RATE_lag1,lag,10.0,0.05390782667532637,0.02945182988984437,0.04248650398069917,-0.023645978867715814,0.062249826846107865,0.05390782667532637,False,3,20
USA,primary,USA_POLICY_RATE_lag3,lag,10.0,-0.11389516006223316,-0.10622603235782668,0.050243130711478234,-0.16523567847211965,-0.03766667011454192,0.11389516006223316,True,5,7
USA,primary,USA_POLICY_RATE_lag6,lag,10.0,-0.024473967051272465,-0.026163881116137495,0.025953698450276817,-0.0433383889107544,0.019424787219858644,0.024473967051272465,False,4,36
USA,primary,USA_POLICY_RATE_lag12,lag,10.0,-0.014363796017582512,0.0012288655321284572,0.033180715090757706,-0.028201760330890235,0.040189409312775204,0.014363796017582512,False,3,42
USA,primary,USA_UNEMPLOYMENT_lag1,lag,10.0,0.017883174133263853,0.02209054464539722,0.013054053656534184,0.001327065213826478,0.03431491108970644,0.017883174133263853,True,5,40
USA,primary,USA_UNEMPLOYMENT_lag3,lag,10.0,0.0027702759393479605,0.0051755703471165985,0.014483262160515148,-0.008532143247474068,0.029482885467652778,0.0027702759393479605,False,3,47
USA,primary,USA_UNEMPLOYMENT_lag6,lag,10.0,0.010597964467537366,-0.003747321333824334,0.011985925990925125,-0.013626443667427051,0.009914556928118799,0.010597964467537366,False,2,44
USA,primary,USA_UNEMPLOYMENT_lag12,lag,10.0,0.03199904221181232,0.020204475554855023,0.020601703174031122,-0.009855262945040511,0.04083742826434206,0.03199904221181232,False,4,30
USA,primary,USA_GDP_lag1,lag,10.0,0.06008156239262862,0.031584225966955495,0.015256574706945103,0.00958646597418264,0.04669128185591026,0.06008156239262862,True,5,16
USA,primary,USA_GDP_lag3,lag,10.0,-0.046007029354598,-0.002141906474527731,0.030395775393071797,-0.03308332724383478,0.0377131978963057,0.046007029354598,False,3,25
USA,primary,USA_GDP_lag6,lag,10.0,-0.05700697412400383,-0.01773391301923986,0.02423848196127993,-0.042549970907433246,0.012685377324746325,0.05700697412400383,False,3,18
USA,primary,USA_GDP_lag12,lag,10.0,0.0656938680385712,0.10565829484344838,0.07357968375794799,0.03323581430901115,0.22004385430739573,0.0656938680385712,True,5,14
USA,primary,USA_M2_lag1,lag,10.0,-0.027211504326544803,-0.03509564787350157,0.023770396226713807,-0.059208150950501005,-0.001251204636054451,0.027211504326544803,True,5,35
USA,primary,USA_M2_lag3,lag,10.0,-0.030395571467310287,-0.0401263811882439,0.020051040265711195,-0.06645084138187074,-0.023765483257132045,0.030395571467310287,True,5,32
USA,primary,USA_M2_lag6,lag,10.0,0.030596644062217848,0.044090803025009874,0.06232978158044931,-0.031191135258028538,0.1093748272877707,0.030596644062217848,False,4,31
USA,primary,USA_M2_lag12,lag,10.0,-0.09378469832930149,-0.09391775367681972,0.04823646260312326,-0.1470719427233742,-0.031332265886431725,0.09378469832930149,True,5,9
USA,primary,USA_CPI_roll3_mean,rolling,10.0,0.713829379569579,0.48596874378606164,0.24074114171532876,0.14060191307371306,0.7190065874505993,0.713829379569579,True,5,1
USA,primary,USA_CPI_roll3_std,rolling,10.0,-0.0198769080303692,0.00492998501833116,0.05144998684880585,-0.030818512974398634,0.09517693585909065,0.0198769080303692,False,4,38
USA,primary,USA_CPI_roll12_mean,rolling,10.0,0.22438310820360585,0.17103819912500465,0.049668209714262536,0.11535762102967766,0.22950744602589732,0.22438310820360585,True,5,3
USA,primary,USA_CPI_roll12_std,rolling,10.0,-0.055247965774525516,0.007130650199884213,0.05252302420093654,-0.05977125513548485,0.07919266280138779,0.055247965774525516,False,2,19
USA,primary,USA_POLICY_RATE_roll3_mean,rolling,10.0,-0.032318977773839755,-0.0163821532103148,0.013633516185533745,-0.028398404086394453,0.004535381206447794,0.032318977773839755,False,4,29
USA,primary,USA_POLICY_RATE_roll3_std,rolling,10.0,0.03813218018165637,0.06374570055850973,0.019963489696402947,0.046479616688265425,0.09636159363135306,0.03813218018165637,True,5,28
USA,primary,USA_POLICY_RATE_roll12_mean,rolling,10.0,0.013459733918802681,0.020386671400930013,0.044095536669286096,-0.057629823002131306,0.05115149627453173,0.013459733918802681,False,4,43
USA,primary,USA_POLICY_RATE_roll12_std,rolling,10.0,-0.07511581712719062,-0.06988905498128802,0.02837093225861805,-0.10443722970974952,-0.0397285259225892,0.07511581712719062,True,5,11
USA,primary,USA_UNEMPLOYMENT_roll3_mean,rolling,10.0,0.04391775236679922,0.02890936354851483,0.03077767003806986,-0.013648521667401603,0.06342767813140661,0.04391775236679922,False,4,27
USA,primary,USA_UNEMPLOYMENT_roll3_std,rolling,10.0,0.04771643590645376,0.05462885128652255,0.038445001246105,0.01963388694594596,0.11353652621139465,0.04771643590645376,True,5,22
USA,primary,USA_UNEMPLOYMENT_roll12_mean,rolling,10.0,0.11209851097306467,0.0676173210128365,0.04570341827751938,-0.007816843161558978,0.11524050547975923,0.11209851097306467,False,4,8
USA,primary,USA_UNEMPLOYMENT_roll12_std,rolling,10.0,0.008833102119102482,0.0754546494901806,0.05987872008455099,0.013541447760232472,0.1564204318056666,0.008833102119102482,True,5,45
USA,primary,USA_GDP_roll3_mean,rolling,10.0,0.02877600115378315,0.015252483434583543,0.006303070169326832,0.005068141283395694,0.02235935157293952,0.02877600115378315,True,5,34
USA,primary,USA_GDP_roll3_std,rolling,10.0,0.046983830633702206,0.05975247448847922,0.06294973169896641,-0.006440331412717555,0.13237032430637277,0.046983830633702206,False,3,23
USA,primary,USA_GDP_roll12_mean,rolling,10.0,-0.006665546673656789,0.010418422437243632,0.016551322454354714,-0.010363592751567322,0.030763350364080254,0.006665546673656789,False,2,46
USA,primary,USA_GDP_roll12_std,rolling,10.0,-0.17209619397396056,-0.13472063004402596,0.10058935348059685,-0.2342346960143724,-0.00151019757920514,0.17209619397396056,True,5,5
USA,primary,USA_M2_roll3_mean,rolling,10.0,-0.04936640158608028,-0.05838624622965207,0.023093193041962216,-0.08386386156629366,-0.024465864317035478,0.04936640158608028,True,5,21
USA,primary,USA_M2_roll3_std,rolling,10.0,0.029261947476631203,-0.024253458688268226,0.04907750109802779,-0.07874008547468297,0.0356288421872944,0.029261947476631203,False,2,33
USA,primary,USA_M2_roll12_mean,rolling,10.0,0.07318220768610176,0.0309964925498731,0.05800030224289668,-0.04029821097239888,0.08552532375201682,0.07318220768610176,False,3,12
USA,primary,USA_M2_roll12_std,rolling,10.0,0.0708783767187604,-0.0179463376716753,0.07278116633776593,-0.08469133770360329,0.08132543700649367,0.0708783767187604,False,2,13
USA,primary,USA_D_GFC_2008,split,10.0,-0.045936638092595156,-0.04244313139506057,0.041982015421383884,-0.09628616560752508,0.0,0.045936638092595156,False,3,26
USA,primary,USA_D_COVID_2020,split,10.0,0.0,0.0,0.0,0.0,0.0,0.0,True,5,49
USA,primary,USA_D_ENERGY_2022,split,10.0,0.0,0.0,0.0,0.0,0.0,0.0,True,5,50
USA,primary,USA_P_GFC,period,10.0,-0.09281245829250237,-0.05913147342840401,0.06215031492675912,-0.13132950698876356,0.0,0.09281245829250237,False,3,10
USA,primary,USA_P_COVID,period,10.0,0.0,0.0,0.0,0.0,0.0,0.0,True,5,51
USA,primary,USA_M2_x_D_GFC_2008,interaction,10.0,-0.05701752587361079,-0.04537299209642695,0.04401171004834391,-0.09895571000279381,0.0,0.05701752587361079,False,3,17
