country,n_obs,p_star,n_endog,n_exog,log_likelihood,aic,bic,hqic,max_abs_root,is_stable,lb12_any_reject,lb24_any_reject
USA,286,2,5,8,-320.8678665156539,-11.26073838475339,-10.04013080508679,-10.771371991082487,5.697252912798787,True,True,True
JAPAN,297,2,5,5,842.0310350072598,-19.355697433790862,-18.35583971003769,-18.955329414816987,10.616970441757479,True,True,True
UK,290,2,5,6,-450.8493987973395,-10.468208951509647,-9.387126865358415,-10.034976460382303,49.59411407570844,True,True,True
GERMANY,290,2,5,7,294.2548528566217,-15.607821810217711,-14.463146660175228,-15.149105054906405,3.727266643117277,True,True,True
