country,root_index,root_real,root_imag,abs_root,is_stable_overall
USA,0,-5.697252912798787,-0.0,5.697252912798787,True
USA,1,-0.3841028422402299,3.307173651607087,3.3294042342889485,True
USA,2,-0.3841028422402299,-3.307173651607087,3.3294042342889485,True
USA,3,1.5355352277377232,1.6344486683074502,2.242608054242992,True
USA,4,1.5355352277377232,-1.6344486683074502,2.242608054242992,True
USA,5,1.597650336899399,0.8182018020238561,1.794976542417713,True
USA,6,1.597650336899399,-0.8182018020238561,1.794976542417713,True
USA,7,1.4905874172357745,-0.0,1.4905874172357745,True
USA,8,1.1620095031178048,0.07685033678417327,1.1645480065673242,True
USA,9,1.1620095031178048,-0.07685033678417327,1.1645480065673242,True
JAPAN,0,10.616970441757479,-0.0,10.616970441757479,True
JAPAN,1,7.5353921441293235,-0.0,7.5353921441293235,True
JAPAN,2,2.371804770323159,2.6048409617186894,3.5228758570768908,True
JAPAN,3,2.371804770323159,-2.6048409617186894,3.5228758570768908,True
JAPAN,4,0.36604876976671724,2.3782159116131227,2.406221648996111,True
JAPAN,5,0.36604876976671724,-2.3782159116131227,2.406221648996111,True
JAPAN,6,-0.6342045864685203,1.9833285702108965,2.0822602322746566,True
JAPAN,7,-0.6342045864685203,-1.9833285702108965,2.0822602322746566,True
JAPAN,8,1.1648385391202518,0.36216169106911245,1.2198401176784774,True
JAPAN,9,1.1648385391202518,-0.36216169106911245,1.2198401176784774,True
UK,0,49.59411407570844,-0.0,49.59411407570844,True
UK,1,-16.11766649027237,-0.0,16.11766649027237,True
UK,2,-2.1495679836990353,0.2993002853439402,2.1703048581595397,True
UK,3,-2.1495679836990353,-0.2993002853439402,2.1703048581595397,True
UK,4,2.153774957195606,-0.0,2.153774957195606,True
UK,5,1.7163685554342607,-0.0,1.7163685554342607,True
UK,6,0.8785460655212163,1.4191853668793102,1.6691106298886158,True
UK,7,0.8785460655212163,-1.4191853668793102,1.6691106298886158,True
UK,8,1.1597905745752286,0.8402070263959097,1.4321529332018268,True
UK,9,1.1597905745752286,-0.8402070263959097,1.4321529332018268,True
GERMANY,0,3.727266643117277,-0.0,3.727266643117277,True
GERMANY,1,-2.4096978804557807,0.5308721552575395,2.4674823444760183,True
GERMANY,2,-2.4096978804557807,-0.5308721552575395,2.4674823444760183,True
GERMANY,3,-2.3365504524110277,-0.0,2.3365504524110277,True
GERMANY,4,1.1150245649420372,1.6620099625266938,2.001388741839566,True
GERMANY,5,1.1150245649420372,-1.6620099625266938,2.001388741839566,True
GERMANY,6,1.9490996843298452,-0.0,1.9490996843298452,True
GERMANY,7,1.4636129112160587,-0.0,1.4636129112160587,True
GERMANY,8,1.420990575504111,0.19196964350982587,1.4338990758420882,True
GERMANY,9,1.420990575504111,-0.19196964350982587,1.4338990758420882,True
