date,JAPAN_CPI_roll3_mean,JAPAN_CPI_roll3_std,JAPAN_CPI_roll12_mean,JAPAN_CPI_roll12_std,JAPAN_POLICY_RATE_roll3_mean,JAPAN_POLICY_RATE_roll3_std,JAPAN_POLICY_RATE_roll12_mean,JAPAN_POLICY_RATE_roll12_std,JAPAN_UNEMPLOYMENT_roll3_mean,JAPAN_UNEMPLOYMENT_roll3_std,JAPAN_UNEMPLOYMENT_roll12_mean,JAPAN_UNEMPLOYMENT_roll12_std,JAPAN_GDP_roll3_mean,JAPAN_GDP_roll3_std,JAPAN_GDP_roll12_mean,JAPAN_GDP_roll12_std,JAPAN_M2_roll3_mean,JAPAN_M2_roll3_std,JAPAN_M2_roll12_mean,JAPAN_M2_roll12_std
2008-06-01,0.40000000000000097,0.4582575694955799,0.15833333333333263,0.3203927514028904,-0.0006666666666666673,0.0045092497528224675,-8.333333333333341e-05,0.010103629710818353,0.06666666666666672,0.05773502691896248,0.024999999999999984,0.14222261679238196,-0.5154726666666667,0.15228612209038378,0.3636855833333333,0.7217982794653781,0.02232199999999999,0.25612839697503276,0.04618908333333333,0.1716892001937636
2008-07-01,0.5,0.29999999999999755,0.18333333333333357,0.3099364548751967,-0.0010000000000000009,0.004999999999999616,0.00033333333333333365,0.009707853740267322,0.0,0.1,0.024999999999999984,0.14222261679238196,-0.6680950000000001,0.15295762411528796,0.16532183333333336,0.6897534721142131,0.08750600000000001,0.14325888697389752,0.02334525,0.16810049863055404
2008-08-01,0.3333333333333333,0.15275252316519436,0.16666666666666666,0.2964435660944366,-0.00033333333333333365,0.00513160143944651,0.0015833333333333348,0.008596599045640849,0.033333333333333215,0.15275252316519453,0.03333333333333329,0.14974726182552525,-1.0935346666666668,0.6093552224608617,-0.09212474999999999,0.7968660798323034,0.11392766666666665,0.16972294615146555,0.060072249999999994,0.16394319129843005
2008-09-01,0.16666666666666666,0.15275252316519414,0.16666666666666666,0.2964435660944366,-0.0046666666666666705,0.005131601439446515,-0.0012500000000000011,0.005047501632220697,0.0,0.17320508075688745,0.00833333333333334,0.1443375672974064,-1.7903446666666667,0.968568080364166,-0.40854166666666664,1.0274962562536867,0.02933433333333335,0.18663778023308483,0.05677783333333334,0.1665027244346215
2008-10-01,0.06666666666666761,0.2081665999466096,0.1416666666666669,0.3058767824804696,-0.005333333333333338,0.00550757054728576,-0.0015833333333333348,0.005367551216393182,-0.03333333333333336,0.2081665999466131,-0.01666666666666668,0.15275252316519464,-2.757083666666667,0.9649070749778575,-0.7838159166666667,1.330789350676201,-0.07509933333333334,0.31800554398993314,-0.003513833333333327,0.18732702098097342
2008-11-01,-0.3333333333333333,0.49328828623162924,0.07499999999999929,0.4266678503771455,-0.06766666666666667,0.10248089252798948,-0.016583333333333335,0.053603694467882136,-0.033333333333333215,0.20816659994661335,0.01666666666666668,0.15275252316519464,-3.8969180000000008,1.2357719395050166,-1.2690036666666666,1.766112769268527,-0.12134,0.2513144338930814,0.0021126666666666607,0.1897059338518594
2008-12-01,-0.46666666666666384,0.40414518843274416,0.033333333333333805,0.44789067930250526,-0.09466666666666668,0.08909171304522845,-0.023833333333333335,0.0573519173545438,0.13333333333333344,0.3055050463303896,0.05833333333333335,0.18319554050414572,-5.210378,1.488649121327115,-1.8639993333333333,2.2687364373196175,-0.05327433333333335,0.2927476804900994,0.0044257499999999965,0.19113759737858765
2009-01-01,-0.5999999999999991,0.2645751311064651,0.0,0.47290206558690645,-0.12233333333333334,0.05513921774321187,-0.03183333333333333,0.05961518008837761,0.16666666666666666,0.25166114784235877,0.033333333333333326,0.18257418583505552,-6.697987333333334,1.4865691210304766,-2.568697166666667,2.796775674219281,0.139535,0.04244720847122944,0.01679858333333334,0.19824022884573805
2009-02-01,-0.40000000000000097,0.09999999999999362,-0.008333333333334044,0.47760450228830575,-0.06333333333333334,0.04705670338361294,-0.03275,0.059130249142349815,0.19999999999999987,0.2645751311064594,0.04999999999999997,0.19771421064483236,-7.5255426666666665,0.7569128733489223,-3.2148524166666665,3.0209365520269484,0.18263700000000002,0.0552685384373425,0.028272083333333337,0.2071358172795891
2009-03-01,-0.16666666666666666,0.4163331998932347,-0.01666666666666572,0.4706539615419724,-0.037,0.04677606225410595,-0.03425,0.05825199957551201,0.13333333333333316,0.2081665999466135,0.08333333333333333,0.18504708655481256,-7.693212333333334,0.49126071093088836,-3.8023519166666673,3.0563897121517734,0.18411999999999998,0.05296800646616794,0.04562549999999999,0.20608814048605512
2009-04-01,0.03333333333333144,0.30550504633040004,0.0,0.4709757762541325,-0.005333333333333333,0.008144527815246752,-0.0335,0.0587188989245293,0.2333333333333334,0.057735026918962234,0.09166666666666667,0.1880924981991252,-7.201161666666668,0.4928402115902502,-4.331081916666667,2.9544738009299976,0.24483333333333332,0.12017734820811013,0.09919375000000001,0.19905434427408597
2009-05-01,0.06666666666666761,0.25166114784236493,-0.08333333333333333,0.39962103260085186,-0.0030000000000000027,0.0075498344352704,-0.03358333333333333,0.05866927077553743,0.16666666666666666,0.057735026918962686,0.09166666666666663,0.1880924981991252,-6.824537666666667,0.33448494643604504,-4.83513325,2.7534112467514738,0.18746733333333335,0.16103977131855762,0.090673,0.19814065727016886
2009-06-01,-0.1000000000000038,0.17320508075688612,-0.1416666666666669,0.3553700589355837,0.0013333333333333298,0.003055050463303032,-0.03375,0.05855552920092172,0.13333333333333344,0.0577350269189624,0.10000000000000002,0.18586407545691716,-6.563506333333334,0.14473183517224167,-5.314360333333333,2.445392204669148,0.10203733333333331,0.2503008417012084,0.06555433333333333,0.2054805618067661
2009-07-01,-0.23333333333333428,0.05773502691895877,-0.18333333333333357,0.34067668846078564,-0.0006666666666666673,0.0023094010767573765,-0.03341666666666667,0.0587389576985764,0.16666666666666666,0.1154700538379249,0.13333333333333333,0.1825741858350555,-6.418231,0.14581734074173813,-5.7686159166666675,2.000725086463843,0.07274466666666668,0.20426978340012358,0.09550341666666666,0.2088454086706495
