country,horizon,shock,response,orth_irf,orth_se,ci_lo,ci_up,cum_irf,cum_se,cum_ci_lo,cum_ci_up
USA,0,GDP,CPI,0.0068623909396564545,0.020688204437634392,-0.03368648975810695,0.04741127163741986,0.0068623909396564545,0.020688204437634392,-0.03368648975810695,0.04741127163741986
USA,0,UNEMPLOYMENT,CPI,0.010907933826604365,0.020680878740995338,-0.029626588505746496,0.05144245615895522,0.010907933826604365,0.020680878740995338,-0.029626588505746496,0.05144245615895522
USA,0,CPI,CPI,0.3422425525219644,0.01461987727718355,0.3135875930586846,0.3708975119852442,0.3422425525219644,0.01461987727718355,0.3135875930586846,0.3708975119852442
USA,0,POLICY_RATE,CPI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,0,M2,CPI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,1,GDP,CPI,0.015389745232963561,0.03694487352525526,-0.05702220687653675,0.08780169734246387,0.022252136172620014,0.05364869414229276,-0.0828993043462738,0.1274035766915138
USA,1,UNEMPLOYMENT,CPI,0.14778934413161207,0.04020533070793557,0.06898689594405835,0.2265917923191658,0.15869727795821645,0.05588519780142851,0.04916229026741657,0.2682322656490163
USA,1,CPI,CPI,0.4295646835207633,0.0299762334446567,0.3708112659692362,0.48831810107229046,0.7718072360427277,0.04060625103520027,0.6922189840137352,0.8513954880717203
USA,1,POLICY_RATE,CPI,0.010072379477566153,0.020317313034831228,-0.029749554070703052,0.04989431302583536,0.010072379477566153,0.020317313034831228,-0.029749554070703052,0.04989431302583536
USA,1,M2,CPI,-0.007373083880546468,0.022190064589388867,-0.05086561047574864,0.03611944271465571,-0.007373083880546468,0.022190064589388867,-0.05086561047574864,0.03611944271465571
USA,2,GDP,CPI,0.05150415391461784,0.04601844285206573,-0.03869199407543099,0.14170030190466665,0.07375629008723786,0.09367231771538301,-0.10984145263491282,0.2573540328093885
USA,2,UNEMPLOYMENT,CPI,0.23686075958590497,0.05986665831622503,0.11952210928610392,0.35419940988570603,0.39555803754412144,0.1085064759990039,0.1828853445860738,0.608230730502169
USA,2,CPI,CPI,0.37455022396590826,0.04098899109873691,0.2942118014123839,0.4548886465194326,1.146357460008636,0.07583898590120965,0.997713047642265,1.2950018723750067
USA,2,POLICY_RATE,CPI,-0.03794347406931046,0.03470658175758589,-0.1059683743141788,0.03008142617555789,-0.027871094591744305,0.051871936778192296,-0.1295400906770012,0.07379790149351259
USA,2,M2,CPI,-0.0221739582780949,0.03405237676917055,-0.08891661674566918,0.04456870018947938,-0.029547042158641366,0.05302435368259745,-0.13347477537653235,0.07438069105924963
USA,3,GDP,CPI,0.09084540043557841,0.04994143961756762,-0.007039821214854122,0.18873062208601094,0.16460169052281626,0.13442966990119654,-0.09888046248352894,0.42808384352916146
USA,3,UNEMPLOYMENT,CPI,0.24131608419899647,0.07347924072155658,0.09729677238474557,0.3853353960132474,0.636874121743118,0.17313648030037979,0.2975266203543736,0.9762216231318623
USA,3,CPI,CPI,0.2854882916219256,0.04791613618602887,0.19157266469730905,0.3794039185465422,1.4318457516305616,0.1153805919170828,1.2056997914730794,1.6579917117880438
USA,3,POLICY_RATE,CPI,-0.11072528415458002,0.045227262121723705,-0.19937071791315847,-0.022079850396001563,-0.13859637874632433,0.091945324480203,-0.3188092147275222,0.04161645723487353
USA,3,M2,CPI,-0.019858438040809723,0.0405831413652856,-0.09940139511676949,0.05968451903515004,-0.04940548019945109,0.08869074421496201,-0.22323933886077663,0.12442837846187443
USA,4,GDP,CPI,0.08288144613645387,0.05763124720138792,-0.030075798378266447,0.1958386906511742,0.24748313665927013,0.1823323235389543,-0.10988821747708027,0.6048544907956206
USA,4,UNEMPLOYMENT,CPI,0.24294682137125492,0.0839312046147168,0.07844166032641,0.4074519824160998,0.8798209431143729,0.24753806618982607,0.39464633338231375,1.364995552846432
USA,4,CPI,CPI,0.26758405735369684,0.05336067450042357,0.16299713533286664,0.37217097937452703,1.6994298089842585,0.15792444132616162,1.3898979039849817,2.008961713983535
USA,4,POLICY_RATE,CPI,-0.14867182979952148,0.05050681846282435,-0.2476651939866572,-0.04967846561238576,-0.2872682085458458,0.1349883659519254,-0.5518454058116196,-0.022691011280072004
USA,4,M2,CPI,-0.0694162880482151,0.04269490126283554,-0.15309829452337276,0.014265718426942547,-0.11882176824766619,0.12401424543681179,-0.36188968930381726,0.12424615280848492
USA,5,GDP,CPI,0.0379334824952475,0.06554069640731368,-0.0905262824630873,0.1663932474535823,0.28541661915451766,0.23817970106650846,-0.18141559493583892,0.7522488332448742
USA,5,UNEMPLOYMENT,CPI,0.26687364403479324,0.0949262419874521,0.08081820973938714,0.45292907833019935,1.146694587149166,0.3323325826976689,0.495322725061735,1.7980664492365972
USA,5,CPI,CPI,0.22952644524015264,0.058509884488505616,0.11484707164268164,0.34420581883762363,1.9289562542244112,0.20417599563247674,1.5287713027847567,2.3291412056640657
USA,5,POLICY_RATE,CPI,-0.13889635926928404,0.05324293315693782,-0.24325250825688216,-0.0345402102816859,-0.4261645678151298,0.1791029485180582,-0.7772063469105238,-0.07512278871973577
USA,5,M2,CPI,-0.08873194806223782,0.04578622105998654,-0.17847294133981143,0.001009045215335791,-0.207553716309904,0.16112422812087152,-0.5233572034268121,0.10824977080700415
USA,6,GDP,CPI,0.01213916067533941,0.06962262504235323,-0.12432118440767292,0.14859950575835174,0.2975557798298571,0.2960257512695484,-0.2826546926584577,0.877766252318172
USA,6,UNEMPLOYMENT,CPI,0.16411011287634739,0.0876178873467723,-0.0076209463233263,0.33584117207602104,1.3108047000255134,0.4052539653435454,0.5165069279521645,2.1051024720988623
USA,6,CPI,CPI,0.1867470648264529,0.0630895280580132,0.06309158983274703,0.31040253982015875,2.1157033190508643,0.25330812887408155,1.6192193864576645,2.6121872516440643
USA,6,POLICY_RATE,CPI,-0.1239195614162687,0.055661927793249265,-0.23301693989103725,-0.014822182941500145,-0.5500841292313985,0.22397383901465143,-0.9890728537001152,-0.1110954047626817
USA,6,M2,CPI,-0.0932430880724188,0.04923554439900436,-0.18974475509446737,0.003258578949629762,-0.3007968043823228,0.20085128467656,-0.6944653223483803,0.09287171358373475
USA,7,GDP,CPI,0.013534923851332538,0.07267791858071514,-0.12891379656686913,0.1559836442695342,0.31109070368118963,0.35543188898450495,-0.38555579872844004,1.0077372060908192
USA,7,UNEMPLOYMENT,CPI,0.07230642060444852,0.07917765646292727,-0.08288178606288892,0.22749462727178593,1.383111120629962,0.4640552682252212,0.4735627949085285,2.2926594463513954
USA,7,CPI,CPI,0.17692110828654467,0.06565669425277036,0.04823398755111477,0.3056082290219746,2.292624427337409,0.30302715895067966,1.698691195794077,2.886557658880741
USA,7,POLICY_RATE,CPI,-0.1009329446264369,0.05539930072648849,-0.20951557405035434,0.007649684797480544,-0.6510170738578354,0.26399397969834193,-1.1684452740665856,-0.13358887364908523
USA,7,M2,CPI,-0.0813803326536288,0.050110486047247924,-0.17959688530623474,0.016836219998977123,-0.38217713703595163,0.24009301967940533,-0.8527594556075861,0.08840518153568283
USA,8,GDP,CPI,0.05381605801671277,0.07022554671626649,-0.08382601354716954,0.19145812958059508,0.36490676169790237,0.4131744917130956,-0.44491524205976507,1.1747287654555698
USA,8,UNEMPLOYMENT,CPI,0.07804596348292492,0.07304695547070449,-0.06512606923965586,0.2212179962055057,1.461157084112887,0.5145646371825949,0.4526103952350009,2.4697037729907727
USA,8,CPI,CPI,0.15409672291079024,0.0682180244332234,0.020389395021672363,0.2878040507999081,2.4467211502481994,0.35253656711915843,1.7557494786946488,3.1376928218017497
USA,8,POLICY_RATE,CPI,-0.07469971615776615,0.056662257873922144,-0.18575774159065356,0.03635830927512125,-0.7257167900156015,0.30013614503451846,-1.3139836342832578,-0.13744994574794533
USA,8,M2,CPI,-0.05779110175379671,0.04780352471230428,-0.1514860101899131,0.035903806682319676,-0.43996823878974833,0.2756040552411282,-0.9801521870623596,0.10021570948286296
USA,9,GDP,CPI,0.04719766899376235,0.06894074175504324,-0.08792618484612238,0.18232152283364708,0.4121044306916647,0.4694822621070696,-0.5080808030381917,1.3322896644215212
USA,9,UNEMPLOYMENT,CPI,0.09442460135146843,0.06892811053544357,-0.04067449529800096,0.22952369800093783,1.5555816854643554,0.560684832553226,0.45663941366003247,2.6545239572686783
USA,9,CPI,CPI,0.095780114562588,0.07052735126502381,-0.04245349391685865,0.23401372304203466,2.542501264810787,0.4021896212209177,1.7542096072177884,3.330792922403786
USA,9,POLICY_RATE,CPI,0.0060206458405984205,0.059527709931128686,-0.11065366562441381,0.12269495730561064,-0.719696144175003,0.3363942250376589,-1.3790288252488145,-0.06036346310119156
USA,9,M2,CPI,-0.05062027919906597,0.044139876165850946,-0.13713443648413381,0.03589387808600188,-0.4905885179888143,0.3061603400544803,-1.0906627844955956,0.109485748517967
USA,10,GDP,CPI,0.010352250353986068,0.0682733698263317,-0.12346355450562405,0.14416805521359619,0.42245668104565076,0.5248502943340776,-0.6062498958491414,1.4511632579404428
USA,10,UNEMPLOYMENT,CPI,0.06705087154183528,0.0639324862546466,-0.058256801517272055,0.19235854460094262,1.6226325570061906,0.5993110657915924,0.44798286805466936,2.797282245957712
USA,10,CPI,CPI,0.12143713620973293,0.07375848829789515,-0.02312950085414156,0.2660037732736074,2.6639384010205203,0.45281693423276537,1.7764172099243,3.5514595921167404
USA,10,POLICY_RATE,CPI,0.006351675713120414,0.06338596627799373,-0.11788481819174729,0.1305881696179881,-0.7133444684618826,0.37533025243741786,-1.4489917632392215,0.022302826315456437
USA,10,M2,CPI,-0.0175142792819618,0.04061163486665212,-0.09711308362059995,0.06208452505667636,-0.5081027972707761,0.33198267229783196,-1.1587888349745268,0.14258324043297455
