date,GERMANY_CPI_lag1,GERMANY_CPI_lag3,GERMANY_CPI_lag6,GERMANY_CPI_lag12,GERMANY_POLICY_RATE_lag1,GERMANY_POLICY_RATE_lag3,GERMANY_POLICY_RATE_lag6,GERMANY_POLICY_RATE_lag12,GERMANY_UNEMPLOYMENT_lag1,GERMANY_UNEMPLOYMENT_lag3,GERMANY_UNEMPLOYMENT_lag6,GERMANY_UNEMPLOYMENT_lag12,GERMANY_GDP_lag1,GERMANY_GDP_lag3,GERMANY_GDP_lag6,GERMANY_GDP_lag12,GERMANY_M2_lag1,GERMANY_M2_lag3,GERMANY_M2_lag6,GERMANY_M2_lag12
2014-08-01,0.27987999999999147,-0.0932899999999961,0.4664599999999979,0.0,-0.03250000000000001,-0.005900000000000016,-0.03939999999999999,-0.011099999999999999,0.0,-0.09999999999999964,0.0,0.0,3.616255,3.783506,4.416958,2.855485,0.3223369999999999,0.20631299999999997,0.35494500000000007,0.15955200000000014
2014-09-01,0.0,0.2798700000000025,0.2798700000000025,0.0,-0.0254,-0.1722,0.03519999999999998,-0.001700000000000007,0.0,0.0,0.0,0.0,3.830446,3.699604,4.141268,3.005627,0.22924900000000004,0.4699660000000001,-0.1545930000000001,0.09252599999999989
2014-10-01,0.0,0.27987999999999147,-0.1865800000000064,-0.1865799999999922,-0.0113,-0.03250000000000001,0.06200000000000003,0.012999999999999998,0.0,0.0,0.0,-0.10000000000000053,4.043855,3.616255,3.867965,3.155658,0.2705949999999999,0.3223369999999999,-0.32348999999999994,-0.478005
2014-11-01,-0.27987999999999147,0.0,-0.0932899999999961,0.1865799999999922,-0.011099999999999999,-0.0254,-0.005900000000000016,0.009800000000000003,0.0,0.0,-0.09999999999999964,0.0,4.256487,3.830446,3.783506,3.66968,0.3050040000000003,0.22924900000000004,0.20631299999999997,-0.09522900000000001
2014-12-01,0.0,0.0,0.2798700000000025,0.3731700000000018,-0.0070999999999999995,-0.0113,-0.1722,0.0655,-0.10000000000000053,0.0,0.0,0.0,3.761508,4.043855,3.699604,4.182816,0.3886729999999998,0.2705949999999999,0.4699660000000001,-0.3159899999999999
2015-01-01,0.0,-0.27987999999999147,0.27987999999999147,-0.559749999999994,-0.0185,-0.011099999999999999,-0.03250000000000001,0.027499999999999997,0.0,0.0,0.0,0.0,3.272252,4.256487,3.616255,4.695068,1.182302,0.3050040000000003,0.3223369999999999,-0.10686000000000007
2015-02-01,-1.026210000000006,0.0,0.0,0.4664599999999979,-0.0205,-0.0070999999999999995,-0.0254,-0.03939999999999999,-0.09999999999999964,-0.10000000000000053,0.0,0.0,2.788623,3.761508,3.830446,4.416958,1.1873839999999998,0.3886729999999998,0.22924900000000004,0.35494500000000007
2015-03-01,0.7001199999999983,0.0,0.0,0.2798700000000025,0.014600000000000002,-0.0185,-0.0113,0.03519999999999998,0.0,0.0,0.0,0.0,2.998901,3.272252,4.043855,4.141268,0.37077000000000027,1.182302,0.2705949999999999,-0.1545930000000001
2015-04-01,0.5000800000000112,-1.026210000000006,-0.27987999999999147,-0.1865800000000064,-0.014400000000000003,-0.0205,-0.011099999999999999,0.06200000000000003,0.0,-0.09999999999999964,0.0,0.0,3.208458,2.788623,4.256487,3.867965,0.18883399999999995,1.1873839999999998,0.3050040000000003,-0.32348999999999994
2015-05-01,0.500079999999997,0.7001199999999983,0.0,-0.0932899999999961,-0.024099999999999996,0.014600000000000002,-0.0070999999999999995,-0.005900000000000016,-0.09999999999999964,0.0,-0.10000000000000053,-0.09999999999999964,3.417298,2.998901,3.761508,3.783506,0.540864,0.37077000000000027,0.3886729999999998,0.20631299999999997
2015-06-01,0.20000000000000284,0.5000800000000112,0.0,0.2798700000000025,-0.03130000000000001,-0.014400000000000003,-0.0185,-0.1722,0.0,0.0,0.0,0.0,3.442742,3.208458,3.272252,3.699604,0.19834700000000005,0.18883399999999995,1.182302,0.4699660000000001
2015-07-01,0.0,0.500079999999997,-1.026210000000006,0.27987999999999147,-0.012699999999999989,-0.024099999999999996,-0.0205,-0.03250000000000001,0.0,-0.09999999999999964,-0.09999999999999964,0.0,3.46806,3.417298,2.788623,3.616255,-0.2779790000000002,0.540864,1.1873839999999998,0.3223369999999999
2015-08-01,0.20009999999999195,0.20000000000000284,0.7001199999999983,0.0,0.0007999999999999952,-0.03130000000000001,0.014600000000000002,-0.0254,-0.10000000000000053,0.0,0.0,0.0,3.493251,3.442742,2.998901,3.830446,0.12646800000000002,0.19834700000000005,0.37077000000000027,0.22924900000000004
2015-09-01,0.0,0.0,0.5000800000000112,0.0,-0.003600000000000006,-0.012699999999999989,-0.014400000000000003,-0.0113,0.0,0.0,0.0,0.0,3.341598,3.46806,3.208458,4.043855,-0.06929599999999958,-0.2779790000000002,0.18883399999999995,0.2705949999999999
2015-10-01,-0.20009999999999195,0.20009999999999195,0.500079999999997,-0.27987999999999147,-0.014399999999999982,0.0007999999999999952,-0.024099999999999996,-0.011099999999999999,0.0,-0.10000000000000053,-0.09999999999999964,0.0,3.19112,3.493251,3.417298,4.256487,-0.3467190000000002,0.12646800000000002,0.540864,0.3050040000000003
2015-11-01,0.0,0.0,0.20000000000000284,0.0,-0.0032000000000000084,-0.003600000000000006,-0.03130000000000001,-0.0070999999999999995,-0.09999999999999964,0.0,0.0,-0.10000000000000053,3.041803,3.341598,3.442742,3.761508,0.32657199999999964,-0.06929599999999958,0.19834700000000005,0.3886729999999998
2015-12-01,-0.7000799999999998,-0.20009999999999195,0.0,0.0,0.004200000000000009,-0.014399999999999982,-0.012699999999999989,-0.0185,0.0,0.0,0.0,0.0,3.353532,3.19112,3.46806,3.272252,0.22474500000000042,-0.3467190000000002,-0.2779790000000002,1.182302
2016-01-01,0.0,0.0,0.20009999999999195,-1.026210000000006,-0.06430000000000002,-0.0032000000000000084,0.0007999999999999952,-0.0205,0.0,-0.09999999999999964,-0.10000000000000053,-0.09999999999999964,3.664592,3.041803,3.493251,2.788623,-0.8572120000000005,0.32657199999999964,0.12646800000000002,1.1873839999999998
2016-02-01,-0.7001200000000125,-0.7000799999999998,0.0,0.7001199999999983,-0.039699999999999985,0.004200000000000009,-0.003600000000000006,0.014600000000000002,-0.10000000000000053,0.0,0.0,0.0,3.974986,3.353532,3.341598,2.998901,-0.6992919999999998,0.22474500000000042,-0.06929599999999958,0.37077000000000027
2016-03-01,0.30005000000001303,0.0,-0.20009999999999195,0.5000800000000112,-0.001700000000000007,-0.06430000000000002,-0.014399999999999982,-0.014400000000000003,0.0,0.0,0.0,0.0,3.783064,3.664592,3.19112,3.208458,0.03775200000000023,-0.8572120000000005,-0.3467190000000002,0.18883399999999995
2016-04-01,0.7001499999999936,-0.7001200000000125,0.0,0.500079999999997,-0.04730000000000001,-0.039699999999999985,-0.0032000000000000084,-0.024099999999999996,-0.09999999999999964,-0.10000000000000053,-0.09999999999999964,-0.09999999999999964,3.592579,3.974986,3.041803,3.417298,-0.0363749999999996,-0.6992919999999998,0.32657199999999964,0.540864
2016-05-01,0.09999999999999432,0.30005000000001303,-0.7000799999999998,0.20000000000000284,-0.05009999999999998,-0.001700000000000007,0.004200000000000009,-0.03130000000000001,0.0,0.0,0.0,0.0,3.403513,3.783064,3.353532,3.442742,-0.11616900000000019,0.03775200000000023,0.22474500000000042,0.19834700000000005
2016-06-01,0.5001000000000033,0.7001499999999936,0.0,0.0,-0.00020000000000003348,-0.04730000000000001,-0.06430000000000002,-0.012699999999999989,0.0,-0.09999999999999964,0.0,0.0,3.306755,3.592579,3.664592,3.46806,-0.015906000000000198,-0.0363749999999996,-0.8572120000000005,-0.2779790000000002
2016-07-01,0.10000000000000853,0.09999999999999432,-0.7001200000000125,0.20009999999999195,0.005500000000000005,-0.05009999999999998,-0.039699999999999985,0.0007999999999999952,0.0,0.0,-0.10000000000000053,-0.10000000000000053,3.210528,3.403513,3.974986,3.493251,0.10979799999999962,-0.11616900000000019,-0.6992919999999998,0.12646800000000002
2016-08-01,0.4000999999999948,0.5001000000000033,0.30005000000001303,0.0,0.0037000000000000366,-0.00020000000000003348,-0.001700000000000007,-0.003600000000000006,-0.10000000000000009,0.0,0.0,0.0,3.114827,3.306755,3.783064,3.341598,0.16974300000000042,-0.015906000000000198,0.03775200000000023,-0.06929599999999958
2016-09-01,-0.10009999999999764,0.10000000000000853,0.7001499999999936,-0.20009999999999195,-0.010000000000000009,0.005500000000000005,-0.04730000000000001,-0.014399999999999982,0.0,0.0,-0.09999999999999964,0.0,3.149064,3.210528,3.592579,3.19112,0.027032000000000167,0.10979799999999962,-0.0363749999999996,-0.3467190000000002
2016-10-01,0.0,0.4000999999999948,0.09999999999999432,0.0,-0.004200000000000037,0.0037000000000000366,-0.05009999999999998,-0.0032000000000000084,-0.10000000000000009,-0.10000000000000009,0.0,-0.09999999999999964,3.183135,3.114827,3.403513,3.041803,-0.0008620000000005845,0.16974300000000042,-0.11616900000000019,0.32657199999999964
2016-11-01,0.20009999999999195,-0.10009999999999764,0.5001000000000033,-0.7000799999999998,-0.003599999999999992,-0.010000000000000009,-0.00020000000000003348,0.004200000000000009,-0.09999999999999964,0.0,0.0,0.0,3.217042,3.149064,3.306755,3.353532,-0.3415169999999996,0.027032000000000167,-0.015906000000000198,0.22474500000000042
2016-12-01,-0.700099999999992,0.0,0.10000000000000853,0.0,-0.0020999999999999908,-0.004200000000000037,0.005500000000000005,-0.06430000000000002,0.0,-0.10000000000000009,0.0,0.0,3.344652,3.183135,3.210528,3.664592,-0.24673799999999968,-0.0008620000000005845,0.10979799999999962,-0.8572120000000005
2017-01-01,0.700099999999992,0.20009999999999195,0.4000999999999948,-0.7001200000000125,-0.0016999999999999793,-0.003599999999999992,0.0037000000000000366,-0.039699999999999985,0.0,-0.09999999999999964,-0.10000000000000009,-0.10000000000000053,3.471223,3.217042,3.114827,3.974986,0.3741659999999998,-0.3415169999999996,0.16974300000000042,-0.6992919999999998
