country,pi0,candidate_date,wald_f
USA,0.1,2014-09-01,2.1770886704047983
USA,0.1,2014-10-01,2.2255087917074965
USA,0.1,2014-11-01,2.277992424203118
USA,0.1,2014-12-01,2.2712853408192646
USA,0.1,2015-01-01,2.4247933287777497
USA,0.1,2015-02-01,2.372428007490968
USA,0.1,2015-03-01,2.576983064833058
USA,0.1,2015-04-01,2.704224415020668
USA,0.1,2015-05-01,2.787271685314352
USA,0.1,2015-06-01,2.75004685043523
USA,0.1,2015-07-01,3.045303532969905
USA,0.1,2015-08-01,3.1987251243790054
USA,0.1,2015-09-01,3.3475138609345954
USA,0.1,2015-10-01,3.4940368710937806
USA,0.1,2015-11-01,3.578347684624211
USA,0.1,2015-12-01,3.6355502947270772
USA,0.1,2016-01-01,3.8338270498366285
USA,0.1,2016-02-01,3.9149319876123614
USA,0.1,2016-03-01,4.001482139414287
USA,0.1,2016-04-01,4.048704023380042
USA,0.1,2016-05-01,4.089735276003026
USA,0.1,2016-06-01,4.202679509384367
USA,0.1,2016-07-01,4.25666520972646
USA,0.1,2016-08-01,4.393153007749247
USA,0.1,2016-09-01,4.447476121266847
USA,0.1,2016-10-01,4.472378254191912
USA,0.1,2016-11-01,4.518921093565901
USA,0.1,2016-12-01,4.586800086927347
USA,0.1,2017-01-01,4.630358210837516
USA,0.1,2017-02-01,4.601539177116315
USA,0.1,2017-03-01,4.506247372840995
USA,0.1,2017-04-01,4.390970404643227
USA,0.1,2017-05-01,4.434749101384892
USA,0.1,2017-06-01,4.503436357112198
USA,0.1,2017-07-01,4.724796956784731
USA,0.1,2017-08-01,4.889081904050126
USA,0.1,2017-09-01,4.931146159523484
USA,0.1,2017-10-01,4.9781361906247
USA,0.1,2017-11-01,5.069004434294426
USA,0.1,2017-12-01,5.141324715874449
USA,0.1,2018-01-01,5.378838184962815
USA,0.1,2018-02-01,5.599208521633863
USA,0.1,2018-03-01,5.659897564214302
USA,0.1,2018-04-01,5.858976237193777
USA,0.1,2018-05-01,6.141174134884379
USA,0.1,2018-06-01,6.166149856277117
USA,0.1,2018-07-01,6.306563389584435
USA,0.1,2018-08-01,6.325248637900679
USA,0.1,2018-09-01,6.370757199124016
USA,0.1,2018-10-01,6.49988207894504
USA,0.1,2018-11-01,6.897662631285584
USA,0.1,2018-12-01,7.043339701563805
USA,0.1,2019-01-01,7.366978041637651
USA,0.1,2019-02-01,8.14018635939254
USA,0.1,2019-03-01,8.50723852288331
USA,0.1,2019-04-01,8.740498915625237
USA,0.1,2019-05-01,8.932824018485547
USA,0.1,2019-06-01,9.156475536280428
USA,0.1,2019-07-01,9.43653521979979
USA,0.1,2019-08-01,9.665512126209363
USA,0.1,2019-09-01,9.545610739496514
USA,0.1,2019-10-01,9.573749245344
USA,0.1,2019-11-01,9.318650330726664
USA,0.1,2019-12-01,9.294798826617031
USA,0.1,2020-01-01,9.30737615122506
USA,0.1,2020-02-01,9.152508487950758
USA,0.1,2020-03-01,8.224634932469593
USA,0.1,2020-04-01,18.30543859470637
USA,0.1,2020-05-01,19.15182108580924
USA,0.1,2020-06-01,18.61674425669654
USA,0.1,2020-07-01,17.87200003098541
USA,0.1,2020-08-01,17.875108645550686
USA,0.1,2020-09-01,17.696602182496875
USA,0.1,2020-10-01,17.768981363956286
USA,0.1,2020-11-01,17.795056288042392
USA,0.1,2020-12-01,17.414758671934855
USA,0.1,2021-01-01,16.825169210273916
USA,0.1,2021-02-01,16.95733604257147
USA,0.1,2021-03-01,18.40969472662218
USA,0.1,2021-04-01,20.591384678717453
USA,0.1,2021-05-01,22.320382418357983
USA,0.1,2021-06-01,23.736688267242336
USA,0.1,2021-07-01,25.442497687224897
USA,0.1,2021-08-01,26.09962125959102
USA,0.1,2021-09-01,27.483859064254993
USA,0.1,2021-10-01,29.51749795338906
USA,0.1,2021-11-01,31.937900176593917
USA,0.1,2021-12-01,33.56704863666515
USA,0.1,2022-01-01,37.73436681035747
USA,0.1,2022-02-01,33.67273005315921
