date,JAPAN_CPI_lag1,JAPAN_CPI_lag3,JAPAN_CPI_lag6,JAPAN_CPI_lag12,JAPAN_POLICY_RATE_lag1,JAPAN_POLICY_RATE_lag3,JAPAN_POLICY_RATE_lag6,JAPAN_POLICY_RATE_lag12,JAPAN_UNEMPLOYMENT_lag1,JAPAN_UNEMPLOYMENT_lag3,JAPAN_UNEMPLOYMENT_lag6,JAPAN_UNEMPLOYMENT_lag12,JAPAN_GDP_lag1,JAPAN_GDP_lag3,JAPAN_GDP_lag6,JAPAN_GDP_lag12,JAPAN_M2_lag1,JAPAN_M2_lag3,JAPAN_M2_lag6,JAPAN_M2_lag12
2015-06-01,0.29999999999999716,0.30000000000001137,0.0,-0.09999999999999432,0.010000000000000009,-0.009999999999999995,0.010000000000000009,0.0,-0.10000000000000009,-0.10000000000000009,0.0,0.10000000000000009,2.442776,1.942407,0.738318,-0.105381,0.22365900000000005,0.1645620000000001,0.011829999999999785,-0.1397029999999999
2015-07-01,-0.29999999999999716,0.5,-0.10000000000000853,0.09999999999999432,0.0,-0.010000000000000009,0.0,0.0,0.10000000000000009,0.0,0.20000000000000018,0.0,2.426429,2.459145,0.923778,-0.353473,-0.11559700000000017,-0.0001929999999998877,-0.11684499999999964,-0.026997999999999855
2015-08-01,-0.10000000000000853,0.29999999999999716,-0.20000000000000284,0.20000000000000284,0.0,0.010000000000000009,0.009999999999999995,0.0,-0.10000000000000009,-0.10000000000000009,-0.10000000000000009,-0.20000000000000018,2.410103,2.442776,1.430642,-0.114691,0.05404600000000004,0.22365900000000005,0.13880199999999965,-0.0007030000000001202
2015-09-01,0.10000000000000853,-0.29999999999999716,0.30000000000001137,0.20000000000000284,0.009999999999999995,0.0,-0.009999999999999995,0.0,0.10000000000000009,0.10000000000000009,-0.10000000000000009,0.0,2.147362,2.426429,1.942407,0.12431,0.11225299999999994,-0.11559700000000017,0.1645620000000001,0.05210099999999995
2015-10-01,0.09999999999999432,-0.10000000000000853,0.5,-0.29999999999999716,-0.009999999999999995,0.0,-0.010000000000000009,-0.010000000000000009,0.0,-0.10000000000000009,0.0,0.10000000000000009,1.885633,2.410103,2.459145,0.363532,-0.276408,0.05404600000000004,-0.0001929999999998877,0.06428000000000011
2015-11-01,0.0,0.10000000000000853,0.29999999999999716,-0.29999999999999716,0.009999999999999995,0.009999999999999995,0.010000000000000009,0.0,-0.19999999999999973,0.10000000000000009,-0.10000000000000009,-0.20000000000000018,1.624912,2.147362,2.442776,0.551574,-0.16152999999999995,0.11225299999999994,0.22365900000000005,0.268259
2015-12-01,-0.4000000000000057,0.09999999999999432,-0.29999999999999716,0.0,0.0,-0.009999999999999995,0.0,0.010000000000000009,0.09999999999999964,0.0,0.10000000000000009,0.0,1.375138,1.885633,2.426429,0.738318,-0.26997099999999996,-0.276408,-0.11559700000000017,0.011829999999999785
2016-01-01,0.0,0.0,-0.10000000000000853,-0.10000000000000853,-0.009999999999999995,0.009999999999999995,0.0,0.0,0.0,-0.19999999999999973,-0.10000000000000009,0.20000000000000018,1.12801,1.624912,2.410103,0.923778,-0.13360299999999992,-0.16152999999999995,0.05404600000000004,-0.11684499999999964
2016-02-01,-0.3999999999999915,-0.4000000000000057,0.10000000000000853,-0.20000000000000284,0.0,0.0,0.009999999999999995,0.009999999999999995,-0.09999999999999964,0.09999999999999964,0.10000000000000009,-0.10000000000000009,0.883488,1.375138,2.147362,1.430642,0.030734999999999957,-0.26997099999999996,0.11225299999999994,0.13880199999999965
2016-03-01,0.09999999999999432,0.0,0.09999999999999432,0.30000000000001137,-0.04000000000000001,-0.009999999999999995,-0.009999999999999995,-0.009999999999999995,0.09999999999999964,0.0,0.0,-0.10000000000000009,0.74835,1.12801,1.885633,1.942407,0.006168000000000173,-0.13360299999999992,-0.276408,0.1645620000000001
