country,indicator,window,stat,column,source_column,n_total,n_nan,n_valid,source_first_valid,expected_first_valid,got_first_valid,first_valid_match,spot_check_match,spot_check_got,spot_check_expected,nan_is_leading_only,last_valid_date,dtype
JAPAN,UNEMPLOYMENT,3,std,JAPAN_UNEMPLOYMENT_roll3_std,JAPAN_UNEMPLOYMENT,298,3,295,2001-02-01,2001-04-01,2001-04-01,True,True,0.09999999999999964,0.09999999999999964,True,2025-10-01,float64
JAPAN,UNEMPLOYMENT,12,mean,JAPAN_UNEMPLOYMENT_roll12_mean,JAPAN_UNEMPLOYMENT,298,12,286,2001-02-01,2002-01-01,2002-01-01,True,True,0.03333333333333336,0.03333333333333336,True,2025-10-01,float64
JAPAN,UNEMPLOYMENT,12,std,JAPAN_UNEMPLOYMENT_roll12_std,JAPAN_UNEMPLOYMENT,298,12,286,2001-02-01,2002-01-01,2002-01-01,True,True,0.10730867399773197,0.10730867399773199,True,2025-10-01,float64
JAPAN,GDP,3,mean,JAPAN_GDP_roll3_mean,JAPAN_GDP,298,2,296,2001-01-01,2001-03-01,2001-03-01,True,True,1.7369560000000002,1.7369560000000002,True,2025-10-01,float64
JAPAN,GDP,3,std,JAPAN_GDP_roll3_std,JAPAN_GDP,298,2,296,2001-01-01,2001-03-01,2001-03-01,True,True,0.46465432031887965,0.4646543203188796,True,2025-10-01,float64
JAPAN,GDP,12,mean,JAPAN_GDP_roll12_mean,JAPAN_GDP,298,11,287,2001-01-01,2001-12-01,2001-12-01,True,True,-0.06390766666666665,-0.0639076666666667,True,2025-10-01,float64
JAPAN,GDP,12,std,JAPAN_GDP_roll12_std,JAPAN_GDP,298,11,287,2001-01-01,2001-12-01,2001-12-01,True,True,1.3734996963427095,1.3734996963427095,True,2025-10-01,float64
JAPAN,M2,3,mean,JAPAN_M2_roll3_mean,JAPAN_M2,298,3,295,2001-02-01,2001-04-01,2001-04-01,True,True,-0.023129000000000028,-0.023129000000000028,True,2025-10-01,float64
JAPAN,M2,3,std,JAPAN_M2_roll3_std,JAPAN_M2,298,3,295,2001-02-01,2001-04-01,2001-04-01,True,True,0.036714076741762185,0.036714076741762185,True,2025-10-01,float64
JAPAN,M2,12,mean,JAPAN_M2_roll12_mean,JAPAN_M2,298,12,286,2001-02-01,2002-01-01,2002-01-01,True,True,0.053007499999999985,0.053007499999999985,True,2025-10-01,float64
JAPAN,M2,12,std,JAPAN_M2_roll12_std,JAPAN_M2,298,12,286,2001-02-01,2002-01-01,2002-01-01,True,True,0.11045786540289303,0.11045786540289303,True,2025-10-01,float64
