country,form,n_features,n_train,n_test,selected_alpha,log10_alpha,cv_val_mse,sum_abs_coef_full,max_abs_coef_full,sign_stable_count,top1_feature,top1_coef,top1_category,top2_feature,top2_coef,top3_feature,top3_coef,mase_h1,mase_h3,mase_h6,mase_h12,rmse_ratio_h1,rmse_ratio_h3,rmse_ratio_h6,rmse_ratio_h12,beats_naive_rmse_n,beats_naive_mase_n
USA,primary,52,204,70,10.0,1.0,0.5200000335463595,3.6384745379950543,0.713829379569579,28,USA_CPI_roll3_mean,0.713829379569579,rolling,USA_CPI_lag1,0.3895643467927136,USA_CPI_roll12_mean,0.2243831082036058,2.6748562091556805,5.901966729910061,15.73534923517532,17.039284118654678,2.9819710273193,2.2462047590741943,3.970600522769913,2.4563578892204725,0,0
JAPAN,primary,49,215,70,3162.2776601683795,3.5,0.085375888386915,0.06969774866973699,0.0099687103394111,25,JAPAN_CPI_roll3_mean,0.0099687103394111,rolling,JAPAN_CPI_lag12,0.0068866956163567,JAPAN_CPI_roll12_mean,0.0042760843674707,0.9783689574525566,1.0393295885894789,1.0799653518828982,1.1217308016968277,0.7421711894585887,0.8708765142055385,0.9776227628571816,0.9170790425044476,4,1
UK,primary,50,215,63,100.0,2.0,0.0504999323190279,0.5133275435769058,0.0990667826740486,25,UK_CPI_lag12,0.0990667826740486,lag,UK_CPI_roll3_mean,0.0794646519366306,UK_CPI_lag1,-0.0414606567877136,1.0974380912526305,0.9677728654657616,1.042598085093945,1.022917898233705,0.7711323658991084,0.5990821998930561,0.9956649399738856,0.881509984974151,4,1
GERMANY,primary,51,215,63,31.622776601683796,1.5,0.0508707581303116,1.005021596405507,0.1534930067940903,29,GERMANY_CPI_roll3_mean,0.1534930067940903,rolling,GERMANY_CPI_lag12,0.1253177894374261,GERMANY_CPI_lag1,-0.1065852689251094,1.015364237333911,1.0533234740460595,1.1656152929503247,1.3834665770873549,0.9330957208767322,0.7611130943764194,1.0491480492196383,1.0101080431534455,2,0
USA,first_diff_secondary,52,215,70,31.622776601683796,1.5,0.3198141124397347,1.9224046157272774,0.3560058606810951,19,USA_CPI_roll3_mean,0.3560058606810951,rolling,USA_POLICY_RATE_lag3,-0.1360901912218807,USA_CPI_lag3,-0.1339811448426065,1.6335739414904598,2.338666507161581,2.3923549554082317,3.13177989334619,1.1253886292104658,1.37140544281091,1.5912079122637552,2.157308898739951,0,0
