country,variable,horizon,rank,origin_date,target_date,forecast,actual,abs_error
GERMANY,CPI,1,1,2022-03-01,2022-04-01,3.6297633285403466,0.7379999999999995,2.891763328540347
GERMANY,CPI,1,2,2022-08-01,2022-09-01,0.0995185671186231,2.10860000000001,2.009081432881387
GERMANY,CPI,1,3,2020-06-01,2020-07-01,1.13402374504938,-0.8434000000000026,1.9774237450493823
GERMANY,CPI,1,4,2022-02-01,2022-03-01,0.7415501612063006,2.214000000000013,1.4724498387937124
GERMANY,CPI,1,5,2022-11-01,2022-12-01,0.9395123637257866,-0.5272000000000077,1.4667123637257942
GERMANY,CPI,3,1,2022-03-01,2022-06-01,8.311797174040297,0.0,8.311797174040297
GERMANY,CPI,3,2,2020-04-01,2020-07-01,1.1144687947638452,-0.8434000000000026,1.957868794763848
GERMANY,CPI,3,3,2022-06-01,2022-09-01,0.2792553456159833,2.10860000000001,1.8293446543840264
GERMANY,CPI,3,4,2022-09-01,2022-12-01,1.0712917959058317,-0.5272000000000077,1.5984917959058391
GERMANY,CPI,3,5,2021-12-01,2022-03-01,0.9131151512471756,2.214000000000013,1.3008848487528373
GERMANY,CPI,6,1,2022-03-01,2022-09-01,7.554520649689485,2.10860000000001,5.445920649689476
GERMANY,CPI,6,2,2022-09-01,2023-03-01,2.332302340329292,0.9488999999999947,1.3834023403292974
GERMANY,CPI,6,3,2022-11-01,2023-05-01,1.2723658159295816,-0.105400000000003,1.3777658159295847
GERMANY,CPI,6,4,2021-09-01,2022-03-01,0.968844463559871,2.214000000000013,1.245155536440142
GERMANY,CPI,6,5,2020-08-01,2021-02-01,-0.6029764370550764,0.6325000000000074,1.235476437055084
GERMANY,CPI,12,1,2022-03-01,2023-03-01,13.215183188873354,0.9488999999999947,12.26628318887336
GERMANY,CPI,12,2,2022-05-01,2023-05-01,1.802621909230397,-0.105400000000003,1.9080219092304
GERMANY,CPI,12,3,2022-09-01,2023-09-01,2.060938929988657,0.3161999999999949,1.744738929988662
GERMANY,CPI,12,4,2020-01-01,2021-01-01,-0.4391810532068913,1.265199999999993,1.7043810532068844
GERMANY,CPI,12,5,2020-07-01,2021-07-01,-1.0860629675197209,0.5272000000000077,1.6132629675197283
GERMANY,GDP,1,1,2020-04-01,2020-05-01,-10.229736273118087,-6.217563,4.012173273118089
GERMANY,GDP,1,2,2021-01-01,2021-02-01,0.4765737030339934,4.421864,3.945290296966007
GERMANY,GDP,1,3,2021-04-01,2021-05-01,13.683991628378283,10.446393,3.2375986283782847
GERMANY,GDP,1,4,2020-01-01,2020-02-01,0.3223104355021382,-2.400524,2.722834435502138
GERMANY,GDP,1,5,2021-02-01,2021-03-01,10.258587581718473,8.226585,2.032002581718473
GERMANY,GDP,3,1,2021-01-01,2021-04-01,-1.2036592198578115,12.255584,13.459243219857813
GERMANY,GDP,3,2,2020-04-01,2020-07-01,-15.010761405509855,-2.439213,12.571548405509857
GERMANY,GDP,3,3,2021-02-01,2021-05-01,22.065276719789043,10.446393,11.618883719789045
GERMANY,GDP,3,4,2022-05-01,2022-08-01,-3.702973355981793,7.766949,11.469922355981794
GERMANY,GDP,3,5,2020-03-01,2020-06-01,-14.010570453008423,-4.321977,9.688593453008425
GERMANY,GDP,6,1,2022-03-01,2022-09-01,-44.69879494023156,7.864924,52.56371894023156
GERMANY,GDP,6,2,2022-04-01,2022-10-01,-17.505813974632936,7.961898,25.46771197463293
GERMANY,GDP,6,3,2022-05-01,2022-11-01,-16.698216915351143,7.606231,24.304447915351144
GERMANY,GDP,6,4,2020-04-01,2020-10-01,-21.338949593165037,-1.171035,20.167914593165037
GERMANY,GDP,6,5,2020-05-01,2020-11-01,18.86799165629931,-0.512442,19.38043365629931
GERMANY,GDP,12,1,2022-03-01,2023-03-01,-208.59645666487867,6.413625,215.01008166487867
GERMANY,GDP,12,2,2022-05-01,2023-05-01,-71.54549309822943,6.058344,77.60383709822943
GERMANY,GDP,12,3,2022-04-01,2023-04-01,-69.67692297516307,6.167559,75.84448197516306
GERMANY,GDP,12,4,2020-04-01,2021-04-01,-29.73648703542065,12.255584,41.99207103542065
GERMANY,GDP,12,5,2020-05-01,2021-05-01,50.59783205503086,10.446393,40.151439055030856
GERMANY,M2,1,1,2022-03-01,2022-04-01,-1.4322609201901535,0.1756890000000002,1.607949920190154
GERMANY,M2,1,2,2020-03-01,2020-04-01,2.568540121211654,1.223445,1.3450951212116542
GERMANY,M2,1,3,2020-02-01,2020-03-01,-0.2625279967106484,1.0499869999999998,1.3125149967106482
GERMANY,M2,1,4,2022-02-01,2022-03-01,1.111557594345018,-0.045395,1.156952594345018
GERMANY,M2,1,5,2020-05-01,2020-06-01,1.6743602463931977,0.5180620000000005,1.1562982463931972
GERMANY,M2,3,1,2022-03-01,2022-06-01,-9.48701365603083,-0.2633130000000001,9.22370065603083
GERMANY,M2,3,2,2022-04-01,2022-07-01,-3.774690061643778,-0.2200560000000004,3.554634061643778
GERMANY,M2,3,3,2020-05-01,2020-08-01,3.126995618431166,-0.2703299999999995,3.3973256184311653
GERMANY,M2,3,4,2020-04-01,2020-07-01,2.8980293773274903,0.1808569999999996,2.7171723773274907
GERMANY,M2,3,5,2021-02-01,2021-05-01,-2.786223021800925,-0.8261959999999995,1.9600270218009257
GERMANY,M2,6,1,2022-03-01,2022-09-01,-12.09655508306149,0.1499630000000005,12.246518083061492
GERMANY,M2,6,2,2022-04-01,2022-10-01,-4.1163519717313815,-0.6583459999999999,3.4580059717313816
GERMANY,M2,6,3,2021-01-01,2021-07-01,-1.9868176910971995,0.2253160000000003,2.2121336910972
GERMANY,M2,6,4,2020-11-01,2021-05-01,-2.799192199849303,-0.8261959999999995,1.9729961998493035
GERMANY,M2,6,5,2020-05-01,2020-11-01,2.2312794136252285,0.2878579999999999,1.9434214136252288
GERMANY,M2,12,1,2022-03-01,2023-03-01,-30.078292756780773,-0.5486219999999999,29.52967075678077
GERMANY,M2,12,2,2022-04-01,2023-04-01,-10.584132513215891,-0.7157889999999998,9.868343513215894
GERMANY,M2,12,3,2020-05-01,2021-05-01,6.574992583730055,-0.8261959999999995,7.401188583730055
GERMANY,M2,12,4,2020-04-01,2021-04-01,4.857798272640915,-1.527659,6.385457272640915
GERMANY,M2,12,5,2022-05-01,2023-05-01,-4.403715820143041,-0.600776,3.802939820143041
GERMANY,POLICY_RATE,1,1,2022-07-01,2022-08-01,-0.0603411537645662,0.476412,0.5367531537645662
GERMANY,POLICY_RATE,1,2,2023-04-01,2023-05-01,0.51369310433068,0.1472280000000001,0.3664651043306799
GERMANY,POLICY_RATE,1,3,2020-10-01,2020-11-01,0.2830739004839541,-0.0015749999999999,0.2846489004839541
GERMANY,POLICY_RATE,1,4,2023-08-01,2023-09-01,0.3448706611985501,0.1021549999999997,0.2427156611985503
GERMANY,POLICY_RATE,1,5,2022-12-01,2023-01-01,0.1569415358604612,0.3973469999999999,0.2404054641395386
GERMANY,POLICY_RATE,3,1,2022-05-01,2022-08-01,-0.5435001487612754,0.476412,1.0199121487612754
GERMANY,POLICY_RATE,3,2,2022-04-01,2022-07-01,-0.6572890763275089,0.01156,0.6688490763275089
GERMANY,POLICY_RATE,3,3,2023-02-01,2023-05-01,0.7788111385117191,0.1472280000000001,0.631583138511719
GERMANY,POLICY_RATE,3,4,2020-05-01,2020-08-01,0.587067515074496,-0.0025319999999999,0.5895995150744959
GERMANY,POLICY_RATE,3,5,2022-06-01,2022-09-01,-0.1584486382719468,0.349236,0.5076846382719469
GERMANY,POLICY_RATE,6,1,2022-03-01,2022-09-01,-1.351121848115846,0.349236,1.700357848115846
GERMANY,POLICY_RATE,6,2,2022-04-01,2022-10-01,-0.9674667992857758,0.400795,1.368261799285776
GERMANY,POLICY_RATE,6,3,2022-05-01,2022-11-01,-0.7120930214051231,0.611241,1.323334021405123
