country,form,alpha,log10_alpha,fold,train_start,train_end,val_start,val_end,n_train,n_val,train_mse,val_mse
USA,primary,0.0031622776601683794,-2.5,3,2003-01-01,2014-04-01,2014-05-01,2017-02-01,136,34,0.03551932761864604,0.18603982430768543
USA,primary,0.01,-2.0,3,2003-01-01,2014-04-01,2014-05-01,2017-02-01,136,34,0.03557371981271227,0.18348051636470572
USA,primary,0.03162277660168379,-1.5,3,2003-01-01,2014-04-01,2014-05-01,2017-02-01,136,34,0.03585856412996204,0.17936475534646643
USA,primary,0.1,-1.0,3,2003-01-01,2014-04-01,2014-05-01,2017-02-01,136,34,0.03703059268855097,0.1808362583405604
USA,primary,0.31622776601683794,-0.5,3,2003-01-01,2014-04-01,2014-05-01,2017-02-01,136,34,0.041152410526223905,0.1980213211201856
USA,primary,1.0,0.0,3,2003-01-01,2014-04-01,2014-05-01,2017-02-01,136,34,0.05247083779856286,0.22691272193232118
USA,primary,3.1622776601683795,0.5,3,2003-01-01,2014-04-01,2014-05-01,2017-02-01,136,34,0.07175568297775058,0.2558839233769174
USA,primary,10.0,1.0,3,2003-01-01,2014-04-01,2014-05-01,2017-02-01,136,34,0.09734267669868324,0.27188749134548
USA,primary,31.622776601683793,1.5,3,2003-01-01,2014-04-01,2014-05-01,2017-02-01,136,34,0.14451073945918397,0.3162720414957499
USA,primary,100.0,2.0,3,2003-01-01,2014-04-01,2014-05-01,2017-02-01,136,34,0.25765910820086724,0.5014192808057466
USA,primary,316.22776601683796,2.5,3,2003-01-01,2014-04-01,2014-05-01,2017-02-01,136,34,0.48900926343489376,0.923148211430065
USA,primary,1000.0,3.0,3,2003-01-01,2014-04-01,2014-05-01,2017-02-01,136,34,0.8292150527118393,1.5133066561936446
USA,primary,0.001,-3.0,4,2003-01-01,2017-02-01,2017-03-01,2019-12-01,170,34,0.04169252615219189,0.019993047298340724
USA,primary,0.0031622776601683794,-2.5,4,2003-01-01,2017-02-01,2017-03-01,2019-12-01,170,34,0.041702380755572796,0.02005548212499817
USA,primary,0.01,-2.0,4,2003-01-01,2017-02-01,2017-03-01,2019-12-01,170,34,0.0417593969621758,0.020233395452805503
USA,primary,0.03162277660168379,-1.5,4,2003-01-01,2017-02-01,2017-03-01,2019-12-01,170,34,0.04197472319429128,0.020631067112827712
