country,p_star,n_obs,n_exog,n_reg_per_eq,residual_dof,log_likelihood,aic,bic,hqic,max_abs_root,is_stable,lb12_any_reject,lb24_any_reject,lb12_n_reject,lb24_n_reject
USA,12,286,8,69,217,96.71331372673399,-12.377073753409748,-7.827697123103601,-10.551071455555629,9.17632728673377,True,True,True,3,4
JAPAN,5,297,5,31,266,934.150356008701,-19.526031606078924,-17.574330101450215,-18.744258790126093,2.44818642280557,True,True,True,3,5
UK,12,290,6,67,223,-16.013551100901168,-11.664107985997079,-7.2926940540317435,-9.910330409495067,4.296621435746981,True,True,True,2,2
GERMANY,12,290,7,68,222,656.6459595310328,-16.467413817881496,-12.030754901856975,-14.687460456655574,2.3333316376870474,True,True,True,1,1
