country,indicator,column,original_regression,original_classification,retest_regression,adf_stat,adf_pvalue,adf_usedlag,adf_nobs,adf_crit_1pct,adf_crit_5pct,adf_crit_10pct,adf_maxlag,adf_error,kpss_stat,kpss_pvalue,kpss_lags,kpss_crit_1pct,kpss_crit_5pct,kpss_crit_10pct,kpss_interp_flag,kpss_error,classification,n_obs
USA,UNEMPLOYMENT,USA_UNEMPLOYMENT,c,Trend-stationary (conflict),ct,-3.193027403312338,0.08580005475945335,0,297,-3.9895792190177497,-3.4253766620686186,-3.135801074760346,15,,0.2981793061993021,0.01,10,0.216,0.146,0.119,True,,Non-stationary,298
GERMANY,POLICY_RATE,GERMANY_POLICY_RATE,c,Trend-stationary (conflict),ct,-2.9476849315546705,0.1472991493631658,6,284,-3.991005429190148,-3.426063167124648,-3.1362038658353613,15,,0.3600460558001072,0.01,10,0.216,0.146,0.119,True,,Non-stationary,291
